D_TEMPORAL_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
2013;P1_C01;Gasto medio diario;60.712808951;A
2013;2352;Gasto medio diario;48.240819188;A
2013;2402;Gasto medio diario;65.672276223;A
2013;2482;Gasto medio diario;54.90204721;A
2013;2713;Gasto medio diario;63.36956293;A
2013;2797;Gasto medio diario;54.650511678;A
2013;2911;Gasto medio diario;93.852290014;A
2013;3023;Gasto medio diario;55.877971653;A
2013;3142;Gasto medio diario;74.042212616;A
2014;P1_C01;Gasto medio diario;61.870534715;A
2014;2352;Gasto medio diario;52.393890685;A
2014;2402;Gasto medio diario;66.45263781;A
2014;2482;Gasto medio diario;57.595336607;A
2014;2713;Gasto medio diario;62.069613424;A
2014;2797;Gasto medio diario;55.033677834;A
2014;2911;Gasto medio diario;96.811667616;A
2014;3023;Gasto medio diario;55.687643178;A
2014;3142;Gasto medio diario;78.840886918;A
2015;P1_C01;Gasto medio diario;63.085036996;A
2015;2352;Gasto medio diario;52.586169423;A
2015;2402;Gasto medio diario;67.21237379;A
2015;2482;Gasto medio diario;56.035267556;A
2015;2713;Gasto medio diario;63.597169355;A
2015;2797;Gasto medio diario;51.840323225;A
2015;2911;Gasto medio diario;87.557144308;A
2015;3023;Gasto medio diario;55.024505483;A
2015;3142;Gasto medio diario;82.657717861;A
2016;P1_C01;Gasto medio diario;64.699298471;A
2016;2352;Gasto medio diario;56.551163057;A
2016;2402;Gasto medio diario;69.957578995;A
2016;2482;Gasto medio diario;58.954559448;A
2016;2713;Gasto medio diario;65.747362575;A
2016;2797;Gasto medio diario;54.486706708;A
2016;2911;Gasto medio diario;92.120199003;A
2016;3023;Gasto medio diario;57.973021713;A
2016;3142;Gasto medio diario;81.768880489;A
2017;P1_C01;Gasto medio diario;66.087783156;A
2017;2352;Gasto medio diario;60.313873104;A
2017;2402;Gasto medio diario;69.582114743;A
2017;2482;Gasto medio diario;62.155433141;A
2017;2713;Gasto medio diario;66.183815811;A
2017;2797;Gasto medio diario;58.216734881;A
2017;2911;Gasto medio diario;82.310266767;A
2017;3023;Gasto medio diario;61.880898465;A
2017;3142;Gasto medio diario;78.893224038;A
2018;P1_C01;Gasto medio diario;66.757279363;A
2018;2352;Gasto medio diario;61.494837843;A
2018;2402;Gasto medio diario;70.970218721;A
2018;2482;Gasto medio diario;63.937469635;A
2018;2713;Gasto medio diario;70.416129175;A
2018;2797;Gasto medio diario;58.618354621;A
2018;2911;Gasto medio diario;85.194470227;A
2018;3023;Gasto medio diario;61.367194563;A
2018;3142;Gasto medio diario;75.988011637;A
2019;P1_C01;Gasto medio diario;67.566358632;A
2019;2352;Gasto medio diario;63.14161132;A
2019;2402;Gasto medio diario;77.1517901;A
2019;2482;Gasto medio diario;64.717558126;A
2019;2713;Gasto medio diario;69.310486006;A
2019;2797;Gasto medio diario;56.143762778;A
2019;2911;Gasto medio diario;79.384837427;A
2019;3023;Gasto medio diario;63.283256012;A
2019;3142;Gasto medio diario;73.034596076;A
2020;P1_C01;Gasto medio diario;63.621797307;A
2020;2352;Gasto medio diario;59.960372988;A
2020;2402;Gasto medio diario;72.024205871;A
2020;2482;Gasto medio diario;65.178382817;A
2020;2713;Gasto medio diario;63.924344958;A
