D_TEMPORAL_0;D_TIPO_ALOJAM_ECTA_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
2011;P1_00;3143;Estancia media;9.053612601;A
2011;6784;3143;Estancia media;5.543964491;A
2011;6785;3143;Estancia media;3.064451178;A
2011;6786;3143;Estancia media;14.507141532;A
2011;6787;3143;Estancia media;15.115265838;A
2011;6789;3143;Estancia media;7.729211969;A
2011;6790;3143;Estancia media;6.554322873;A
2011;6791;3143;Estancia media;1.90706041;A
2011;6792;3143;Estancia media;4.928974763;A
2012;P1_00;3143;Estancia media;9.145334408;A
2012;6784;3143;Estancia media;5.327818787;A
2012;6785;3143;Estancia media;3.582328147;A
2012;6786;3143;Estancia media;14.205343076;A
2012;6787;3143;Estancia media;15.064218391;A
2012;6789;3143;Estancia media;8.603193334;A
2012;6790;3143;Estancia media;4.959218114;A
2012;6791;3143;Estancia media;2.172005879;A
2012;6792;3143;Estancia media;5.89401639;A
2013;P1_00;3143;Estancia media;9.022718259;A
2013;6784;3143;Estancia media;5.33081999;A
2013;6785;3143;Estancia media;4.425676032;A
2013;6786;3143;Estancia media;13.409058751;A
2013;6787;3143;Estancia media;15.688391594;A
2013;6789;3143;Estancia media;7.344066886;A
2013;6790;3143;Estancia media;5.746880331;A
2013;6791;3143;Estancia media;1.682295297;A
2013;6792;3143;Estancia media;6.256815994;A
2014;P1_00;3143;Estancia media;8.867510014;A
2014;6784;3143;Estancia media;4.853973342;A
2014;6785;3143;Estancia media;4.048020006;A
2014;6786;3143;Estancia media;12.099493114;A
2014;6787;3143;Estancia media;13.876870082;A
2014;6789;3143;Estancia media;6.410674332;A
2014;6790;3143;Estancia media;5.880684661;A
2014;6791;3143;Estancia media;1.795421854;A
2014;6792;3143;Estancia media;6.406654425;A
2015;P1_00;3143;Estancia media;8.694870927;A
2015;6784;3143;Estancia media;5.11689088;A
2015;6785;3143;Estancia media;4.471905974;A
2015;6786;3143;Estancia media;11.664396862;A
2015;6787;3143;Estancia media;13.159387685;A
2015;6789;3143;Estancia media;7.20273064;A
2015;6790;3143;Estancia media;7.329252227;A
2015;6791;3143;Estancia media;2.714452244;A
2015;6792;3143;Estancia media;5.104410266;A
2016;P1_00;3143;Estancia media;8.579452834;A
2016;6784;3143;Estancia media;4.847854331;A
2016;6785;3143;Estancia media;3.654875692;A
2016;6786;3143;Estancia media;9.841646518;A
2016;6787;3143;Estancia media;12.890619239;A
2016;6789;3143;Estancia media;6.653055784;A
2016;6790;3143;Estancia media;4.963793854;A
2016;6791;3143;Estancia media;2.20126466;A
2016;6792;3143;Estancia media;4.275278302;A
2017;P1_00;3143;Estancia media;8.517037301;A
2017;6784;3143;Estancia media;5.020055171;A
2017;6785;3143;Estancia media;4.425282429;A
2017;6786;3143;Estancia media;9.064619405;A
2017;6787;3143;Estancia media;10.727411214;A
2017;6789;3143;Estancia media;6.419415779;A
2017;6790;3143;Estancia media;3.065800781;A
2017;6791;3143;Estancia media;3.484957493;A
2017;6792;3143;Estancia media;4.814863925;A
2018;P1_00;3143;Estancia media;8.287717311;A
2018;6784;3143;Estancia media;4.700059713;A
2018;6785;3143;Estancia media;3.645635271;A
2018;6786;3143;Estancia media;8.783174228;A
2018;6787;3143;Estancia media;11.079311135;A
2018;6789;3143;Estancia media;6.32283202;A
2018;6790;3143;Estancia media;3.277966965;A
2018;6791;3143;Estancia media;2.65554073;A
2018;6792;3143;Estancia media;4.47247581;A
2019;P1_00;3143;Estancia media;8.199248489;A
2019;6784;3143;Estancia media;4.565297335;A
2019;6785;3143;Estancia media;4.694644124;A
2019;6786;3143;Estancia media;9.010208243;A
2019;6787;3143;Estancia media;13.228938832;A
2019;6789;3143;Estancia media;6.664303786;A
2019;6790;3143;Estancia media;3.194008297;A
2019;6791;3143;Estancia media;1.7642997;A
2019;6792;3143;Estancia media;5.519936752;A
2020;P1_00;3143;Estancia media;7.877292242;A
2020;6784;3143;Estancia media;4.403279763;A
2020;6785;3143;Estancia media;3.09093358;A
2020;6786;3143;Estancia media;9.745224437;A
2020;6787;3143;Estancia media;17.007382165;A
2020;6789;3143;Estancia media;7.030422303;A
2020;6790;3143;Estancia media;3.848650787;A
2020;6791;3143;Estancia media;2.676256045;A
2020;6792;3143;Estancia media;4.001740962;A
2021;P1_00;3143;Estancia media;6.948186352;A
2021;6784;3143;Estancia media;4.159390852;A
2021;6785;3143;Estancia media;3.140687331;A
2021;6786;3143;Estancia media;6.771823325;A
2021;6787;3143;Estancia media;15.075666235;A
2021;6789;3143;Estancia media;6.216036342;A
2021;6790;3143;Estancia media;3.036130357;A
2021;6791;3143;Estancia media;2.07715673;A
2021;6792;3143;Estancia media;4.296602536;A
