D_TEMPORAL_0;D_SEXO_0;D_PROCEDENCIA_ECTA_0;INDICATOR;OBS_VALUE;FREQ
1998;3691;6782;Turistas;100.0;A
1998;3691;6775;Turistas;23.294820551759944;A
1998;3691;6776;Turistas;31.071551324169604;A
1998;3691;6778;Turistas;38.28585554475427;A
1998;3691;6779;Turistas;7.3477725793161905;A
1998;3691;6783;Turistas;;A
1998;3689;6782;Turistas;49.12727280806421;A
1998;3689;6775;Turistas;11.605483403608376;A
1998;3689;6776;Turistas;15.327686557464135;A
1998;3689;6778;Turistas;18.584654002739843;A
1998;3689;6779;Turistas;3.6094488442518604;A
1998;3689;6783;Turistas;;A
1998;3690;6782;Turistas;50.87272719193581;A
1998;3690;6775;Turistas;11.689337148151564;A
1998;3690;6776;Turistas;15.743864766705473;A
1998;3690;6778;Turistas;19.70120154201443;A
1998;3690;6779;Turistas;3.7383237350643297;A
1998;3690;6783;Turistas;;A
1999;3691;6782;Turistas;100.0;A
1999;3691;6775;Turistas;23.05644771788288;A
1999;3691;6776;Turistas;32.70746586078877;A
1999;3691;6778;Turistas;34.26821234565291;A
1999;3691;6779;Turistas;9.967874075675455;A
1999;3691;6783;Turistas;;A
1999;3689;6782;Turistas;49.158213771402174;A
1999;3689;6775;Turistas;11.51398526168608;A
1999;3689;6776;Turistas;16.151820793014586;A
1999;3689;6778;Turistas;16.65054365672676;A
1999;3689;6779;Turistas;4.84186405997474;A
1999;3689;6783;Turistas;;A
1999;3690;6782;Turistas;50.841786228597826;A
1999;3690;6775;Turistas;11.542462456196793;A
1999;3690;6776;Turistas;16.555645067774176;A
1999;3690;6778;Turistas;17.61766868892615;A
1999;3690;6779;Turistas;5.126010015700713;A
1999;3690;6783;Turistas;;A
2000;3691;6782;Turistas;100.0;A
2000;3691;6775;Turistas;19.168583207454798;A
2000;3691;6776;Turistas;35.07799769957339;A
2000;3691;6778;Turistas;37.04339475145204;A
2000;3691;6779;Turistas;8.710024341519768;A
2000;3691;6783;Turistas;;A
2000;3689;6782;Turistas;49.11912404135535;A
2000;3689;6775;Turistas;9.57413672189463;A
2000;3689;6776;Turistas;17.317600385003683;A
2000;3689;6778;Turistas;17.993727586485893;A
2000;3689;6779;Turistas;4.233659347971138;A
2000;3689;6783;Turistas;;A
2000;3690;6782;Turistas;50.880875958644666;A
2000;3690;6775;Turistas;9.594446485560171;A
2000;3690;6776;Turistas;17.760397314569705;A
2000;3690;6778;Turistas;19.049667164966152;A
2000;3690;6779;Turistas;4.476364993548632;A
2000;3690;6783;Turistas;;A
2001;3691;6782;Turistas;100.0;A
2001;3691;6775;Turistas;18.343316907407477;A
2001;3691;6776;Turistas;35.761649652984985;A
2001;3691;6778;Turistas;37.39870655482902;A
2001;3691;6779;Turistas;8.496326884778512;A
2001;3691;6783;Turistas;;A
2001;3689;6782;Turistas;49.10535835964935;A
2001;3689;6775;Turistas;9.1532198880707;A
2001;3689;6776;Turistas;17.65003460134234;A
2001;3689;6778;Turistas;18.17108650613759;A
2001;3689;6779;Turistas;4.131017364098727;A
2001;3689;6783;Turistas;;A
2001;3690;6782;Turistas;50.894641640350635;A
2001;3690;6775;Turistas;9.190097019336779;A
2001;3690;6776;Turistas;18.111615051642644;A
2001;3690;6778;Turistas;19.227620048691428;A
2001;3690;6779;Turistas;4.365309520679785;A
2001;3690;6783;Turistas;;A
2002;3691;6782;Turistas;100.0;A
2002;3691;6775;Turistas;20.12782213601322;A
2002;3691;6776;Turistas;34.53620853707798;A
2002;3691;6778;Turistas;36.77443593206969;A
2002;3691;6779;Turistas;8.561533394839119;A
2002;3691;6783;Turistas;;A
2002;3689;6782;Turistas;51.012056378064976;A
2002;3689;6775;Turistas;10.40792448256374;A
2002;3689;6776;Turistas;18.01394764339958;A
2002;3689;6778;Turistas;18.018349731335295;A
2002;3689;6779;Turistas;4.571834520766372;A
2002;3689;6783;Turistas;;A
2002;3690;6782;Turistas;48.98794362193501;A
2002;3690;6775;Turistas;9.719897653449477;A
2002;3690;6776;Turistas;16.522260893678396;A
2002;3690;6778;Turistas;18.756086200734394;A
2002;3690;6779;Turistas;3.9896988740727446;A
2002;3690;6783;Turistas;;A
2003;3691;6782;Turistas;100.0;A
2003;3691;6775;Turistas;23.005030763313606;A
2003;3691;6776;Turistas;34.374670927455334;A
2003;3691;6778;Turistas;34.404097186458515;A
2003;3691;6779;Turistas;8.21620112277255;A
2003;3691;6783;Turistas;;A
2003;3689;6782;Turistas;50.101537583657375;A
2003;3689;6775;Turistas;11.600727803408773;A
2003;3689;6776;Turistas;17.38356131467008;A
2003;3689;6778;Turistas;17.030424719596525;A
2003;3689;6779;Turistas;4.086823745982005;A
2003;3689;6783;Turistas;;A
2003;3690;6782;Turistas;49.89846241634262;A
2003;3690;6775;Turistas;11.404302959904832;A
2003;3690;6776;Turistas;16.99110961278525;A
2003;3690;6778;Turistas;17.37367246686199;A
2003;3690;6779;Turistas;4.1293773767905435;A
2003;3690;6783;Turistas;;A
2004;3691;6782;Turistas;100.0;A
2004;3691;6775;Turistas;24.361914821468194;A
2004;3691;6776;Turistas;34.79032252353875;A
2004;3691;6778;Turistas;33.484604273962645;A
2004;3691;6779;Turistas;7.363158381030413;A
2004;3691;6783;Turistas;;A
2004;3689;6782;Turistas;52.600056012332566;A
2004;3689;6775;Turistas;13.299869650291917;A
2004;3689;6776;Turistas;18.868296619855702;A
2004;3689;6778;Turistas;16.57305023088976;A
2004;3689;6779;Turistas;3.8588395112951797;A
2004;3689;6783;Turistas;;A
2004;3690;6782;Turistas;47.39994398766744;A
2004;3690;6775;Turistas;11.062045171176274;A
2004;3690;6776;Turistas;15.922025903683046;A
2004;3690;6778;Turistas;16.911554043072886;A
2004;3690;6779;Turistas;3.5043188697352337;A
2004;3690;6783;Turistas;;A
2005;3691;6782;Turistas;100.0;A
2005;3691;6775;Turistas;27.48284557523076;A
2005;3691;6776;Turistas;32.54504593227708;A
2005;3691;6778;Turistas;32.66133587978944;A
2005;3691;6779;Turistas;7.310772612702729;A
2005;3691;6783;Turistas;;A
2005;3689;6782;Turistas;52.39435335145759;A
2005;3689;6775;Turistas;14.483595270254582;A
2005;3689;6776;Turistas;17.164800460270662;A
2005;3689;6778;Turistas;17.214032814946613;A
2005;3689;6779;Turistas;3.5319248059857338;A
2005;3689;6783;Turistas;;A
2005;3690;6782;Turistas;47.60564664854241;A
2005;3690;6775;Turistas;12.999250304976176;A
2005;3690;6776;Turistas;15.380245472006415;A
2005;3690;6778;Turistas;15.447303064842824;A
2005;3690;6779;Turistas;3.7788478067169953;A
2005;3690;6783;Turistas;;A
2006;3691;6782;Turistas;100.0;A
2006;3691;6775;Turistas;31.590536445000012;A
2006;3691;6776;Turistas;29.778805130272524;A
2006;3691;6778;Turistas;29.49609463935622;A
2006;3691;6779;Turistas;9.134563785371249;A
2006;3691;6783;Turistas;;A
2006;3689;6782;Turistas;52.29409455574307;A
2006;3689;6775;Turistas;16.602067267098228;A
2006;3689;6776;Turistas;15.748407279158464;A
2006;3689;6778;Turistas;15.11175469824709;A
2006;3689;6779;Turistas;4.8318653112392935;A
2006;3689;6783;Turistas;;A
2006;3690;6782;Turistas;47.70590544425692;A
2006;3690;6775;Turistas;14.988469177901779;A
2006;3690;6776;Turistas;14.030397851114055;A
2006;3690;6778;Turistas;14.384339941109122;A
2006;3690;6779;Turistas;4.302698474131956;A
2006;3690;6783;Turistas;;A
2007;3691;6782;Turistas;100.0;A
2007;3691;6775;Turistas;31.673873427445244;A
2007;3691;6776;Turistas;29.62205986196455;A
2007;3691;6778;Turistas;29.715066201438972;A
2007;3691;6779;Turistas;8.989000509151236;A
2007;3691;6783;Turistas;;A
2007;3689;6782;Turistas;48.984992480959555;A
2007;3689;6775;Turistas;15.689316587303114;A
2007;3689;6776;Turistas;14.558819447273724;A
2007;3689;6778;Turistas;14.263954263224207;A
2007;3689;6779;Turistas;4.472902183158507;A
2007;3689;6783;Turistas;;A
2007;3690;6782;Turistas;51.015007519040445;A
2007;3690;6775;Turistas;15.984556840142128;A
2007;3690;6776;Turistas;15.063240414690826;A
2007;3690;6778;Turistas;15.451111938214765;A
2007;3690;6779;Turistas;4.516098325992729;A
2007;3690;6783;Turistas;;A
2008;3691;6782;Turistas;100.0;A
2008;3691;6775;Turistas;31.64360525325175;A
2008;3691;6776;Turistas;29.60263009991353;A
2008;3691;6778;Turistas;29.166328145212322;A
2008;3691;6779;Turistas;9.587436501622406;A
2008;3691;6783;Turistas;;A
2008;3689;6782;Turistas;47.98046123448147;A
2008;3689;6775;Turistas;15.141862547228758;A
2008;3689;6776;Turistas;14.251828607373337;A
2008;3689;6778;Turistas;14.106074112874534;A
2008;3689;6779;Turistas;4.480695967004835;A
2008;3689;6783;Turistas;;A
2008;3690;6782;Turistas;52.01953876551853;A
2008;3690;6775;Turistas;16.501742706022984;A
2008;3690;6776;Turistas;15.350801492540189;A
2008;3690;6778;Turistas;15.060254032337786;A
2008;3690;6779;Turistas;5.10674053461757;A
2008;3690;6783;Turistas;;A
2009;3691;6782;Turistas;100.0;A
2009;3691;6775;Turistas;33.80490641417987;A
2009;3691;6776;Turistas;29.417665462630225;A
2009;3691;6778;Turistas;27.115203590189495;A
2009;3691;6779;Turistas;9.662224533000431;A
2009;3691;6783;Turistas;;A
2009;3689;6782;Turistas;48.41598245678204;A
2009;3689;6775;Turistas;16.433917601456653;A
2009;3689;6776;Turistas;14.200124160645759;A
2009;3689;6778;Turistas;13.156312379195665;A
2009;3689;6779;Turistas;4.625628315483967;A
2009;3689;6783;Turistas;;A
2009;3690;6782;Turistas;51.58401754321795;A
2009;3690;6775;Turistas;17.370988812723205;A
2009;3690;6776;Turistas;15.217541301984458;A
2009;3690;6778;Turistas;13.958891210993823;A
2009;3690;6779;Turistas;5.036596217516462;A
2009;3690;6783;Turistas;;A
2010;3691;6782;Turistas;100.0;A
2010;3691;6775;Turistas;33.13872736164215;A
2010;3691;6776;Turistas;29.046371254072312;A
2010;3691;6778;Turistas;26.985355665038618;A
2010;3691;6779;Turistas;10.829545719246921;A
2010;3691;6783;Turistas;;A
2010;3689;6782;Turistas;48.59194014026524;A
2010;3689;6775;Turistas;16.168659442887083;A
2010;3689;6776;Turistas;14.286574932670662;A
2010;3689;6778;Turistas;12.965106168635298;A
2010;3689;6779;Turistas;5.1715995960721965;A
2010;3689;6783;Turistas;;A
2010;3690;6782;Turistas;51.408059859734756;A
2010;3690;6775;Turistas;16.970067918755063;A
2010;3690;6776;Turistas;14.75979632140165;A
2010;3690;6778;Turistas;14.020249496403325;A
2010;3690;6779;Turistas;5.6579461231747255;A
2010;3690;6783;Turistas;;A
2011;3691;6782;Turistas;100.0;A
2011;3691;6775;Turistas;32.59211424808406;A
2011;3691;6776;Turistas;28.35455403930271;A
2011;3691;6778;Turistas;28.37719345757102;A
2011;3691;6779;Turistas;10.6761382550422;A
2011;3691;6783;Turistas;;A
2011;3689;6782;Turistas;48.00414759418183;A
2011;3689;6775;Turistas;15.969833883859183;A
2011;3689;6776;Turistas;13.400246011604208;A
2011;3689;6778;Turistas;13.68285341630337;A
2011;3689;6779;Turistas;4.951214282415069;A
2011;3689;6783;Turistas;;A
2011;3690;6782;Turistas;51.99585240581818;A
2011;3690;6775;Turistas;16.622280364224885;A
2011;3690;6776;Turistas;14.954308027698508;A
2011;3690;6778;Turistas;14.694340041267656;A
2011;3690;6779;Turistas;5.724923972627132;A
2011;3690;6783;Turistas;;A
2012;3691;6782;Turistas;100.0;A
2012;3691;6775;Turistas;33.43509694782329;A
2012;3691;6776;Turistas;30.229299955374124;A
2012;3691;6778;Turistas;26.579661639879713;A
2012;3691;6779;Turistas;9.755941456922875;A
2012;3691;6783;Turistas;;A
2012;3689;6782;Turistas;47.801021590377005;A
2012;3689;6775;Turistas;16.117886337832545;A
2012;3689;6776;Turistas;14.489129703240591;A
2012;3689;6778;Turistas;12.661157146366902;A
2012;3689;6779;Turistas;4.532848402936968;A
2012;3689;6783;Turistas;;A
2012;3690;6782;Turistas;52.198978409622995;A
2012;3690;6775;Turistas;17.317210609990745;A
2012;3690;6776;Turistas;15.740170252133531;A
2012;3690;6778;Turistas;13.918504493512811;A
2012;3690;6779;Turistas;5.223093053985908;A
2012;3690;6783;Turistas;;A
2013;3691;6782;Turistas;100.0;A
2013;3691;6775;Turistas;33.302135882192175;A
2013;3691;6776;Turistas;30.039651440960856;A
2013;3691;6778;Turistas;26.848796383066876;A
2013;3691;6779;Turistas;9.809416293780098;A
2013;3691;6783;Turistas;;A
2013;3689;6782;Turistas;47.575740130977415;A
2013;3689;6775;Turistas;15.94923554761411;A
2013;3689;6776;Turistas;14.132101460700191;A
2013;3689;6778;Turistas;12.531286226013275;A
2013;3689;6779;Turistas;4.963116896649832;A
2013;3689;6783;Turistas;;A
2013;3690;6782;Turistas;52.42425986902259;A
2013;3690;6775;Turistas;17.352900334578063;A
2013;3690;6776;Turistas;15.907549980260663;A
2013;3690;6778;Turistas;14.317510157053597;A
2013;3690;6779;Turistas;4.846299397130265;A
2013;3690;6783;Turistas;;A
2014;3691;6782;Turistas;100.0;A
2014;3691;6775;Turistas;33.84407228841496;A
2014;3691;6776;Turistas;30.054954609755768;A
2014;3691;6778;Turistas;26.13058978726534;A
2014;3691;6779;Turistas;9.970383314563945;A
2014;3691;6783;Turistas;;A
2014;3689;6782;Turistas;47.86740656992198;A
2014;3689;6775;Turistas;17.5914428059189;A
2014;3689;6776;Turistas;13.262599909167971;A
2014;3689;6778;Turistas;11.754415750722215;A
2014;3689;6779;Turistas;5.2589481041129025;A
2014;3689;6783;Turistas;;A
2014;3690;6782;Turistas;52.132593430078025;A
2014;3690;6775;Turistas;16.252629482496054;A
2014;3690;6776;Turistas;16.792354700587797;A
2014;3690;6778;Turistas;14.376174036543127;A
2014;3690;6779;Turistas;4.711435210451043;A
2014;3690;6783;Turistas;;A
2015;3691;6782;Turistas;100.0;A
2015;3691;6775;Turistas;33.009872767064294;A
2015;3691;6776;Turistas;30.278024185807624;A
2015;3691;6778;Turistas;26.390255477516405;A
2015;3691;6779;Turistas;10.321847569611672;A
2015;3691;6783;Turistas;;A
2015;3689;6782;Turistas;47.57498503175367;A
2015;3689;6775;Turistas;15.71523232738059;A
2015;3689;6776;Turistas;14.470945249987205;A
2015;3689;6778;Turistas;12.503059128774888;A
2015;3689;6779;Turistas;4.885748325610998;A
2015;3689;6783;Turistas;;A
2015;3690;6782;Turistas;52.42501496824633;A
2015;3690;6775;Turistas;17.29464043968371;A
2015;3690;6776;Turistas;15.807078935820426;A
2015;3690;6778;Turistas;13.88719634874153;A
2015;3690;6779;Turistas;5.436099244000678;A
2015;3690;6783;Turistas;;A
2016;3691;6782;Turistas;100.0;A
2016;3691;6775;Turistas;31.87559905377017;A
2016;3691;6776;Turistas;29.953314078076826;A
2016;3691;6778;Turistas;27.521358239533043;A
2016;3691;6779;Turistas;10.649728628619965;A
2016;3691;6783;Turistas;;A
2016;3689;6782;Turistas;47.7310714221767;A
2016;3689;6775;Turistas;15.316008283501855;A
2016;3689;6776;Turistas;14.369533569354873;A
2016;3689;6778;Turistas;13.31076333461047;A
2016;3689;6779;Turistas;4.734766234709492;A
2016;3689;6783;Turistas;;A
2016;3690;6782;Turistas;52.2689285778233;A
2016;3690;6775;Turistas;16.559590770268308;A
2016;3690;6776;Turistas;15.583780508721953;A
2016;3690;6778;Turistas;14.21059490492257;A
2016;3690;6779;Turistas;5.9149623939104705;A
2016;3690;6783;Turistas;;A
2017;3691;6782;Turistas;100.0;A
2017;3691;6775;Turistas;31.6742688375028;A
2017;3691;6776;Turistas;28.138798181328102;A
2017;3691;6778;Turistas;29.30462284498602;A
2017;3691;6779;Turistas;10.882310136183088;A
2017;3691;6783;Turistas;;A
2017;3689;6782;Turistas;47.84606348415829;A
2017;3689;6775;Turistas;15.32356482472241;A
2017;3689;6776;Turistas;13.335180756129827;A
2017;3689;6778;Turistas;14.47201958774379;A
2017;3689;6779;Turistas;4.715298315562261;A
2017;3689;6783;Turistas;;A
2017;3690;6782;Turistas;52.153936515841714;A
2017;3690;6775;Turistas;16.350704012780383;A
2017;3690;6776;Turistas;14.803617425198276;A
2017;3690;6778;Turistas;14.83260325724223;A
2017;3690;6779;Turistas;6.167011820620825;A
2017;3690;6783;Turistas;;A
2018;3691;6782;Turistas;100.0;A
2018;3691;6775;Turistas;31.914159598769004;A
2018;3691;6776;Turistas;28.552187873319607;A
2018;3691;6778;Turistas;28.74275720310998;A
2018;3691;6779;Turistas;10.790895324801419;A
2018;3691;6783;Turistas;;A
2018;3689;6782;Turistas;48.39417407107605;A
2018;3689;6775;Turistas;15.486799341096555;A
2018;3689;6776;Turistas;13.581192040498754;A
2018;3689;6778;Turistas;14.233566300166489;A
2018;3689;6779;Turistas;5.092616389314252;A
2018;3689;6783;Turistas;;A
2018;3690;6782;Turistas;51.605825928923956;A
2018;3690;6775;Turistas;16.427360257672447;A
2018;3690;6776;Turistas;14.970995832820847;A
2018;3690;6778;Turistas;14.50919090294349;A
2018;3690;6779;Turistas;5.698278935487167;A
2018;3690;6783;Turistas;;A
2019;3691;6782;Turistas;100.0;A
2019;3691;6775;Turistas;32.66999416100666;A
2019;3691;6776;Turistas;28.514618749942912;A
2019;3691;6778;Turistas;27.77739984793354;A
2019;3691;6779;Turistas;11.037987241116888;A
2019;3691;6783;Turistas;;A
2019;3689;6782;Turistas;49.26751011395572;A
2019;3689;6775;Turistas;16.286597729881606;A
2019;3689;6776;Turistas;13.558009297874097;A
2019;3689;6778;Turistas;14.262592808989687;A
2019;3689;6779;Turistas;5.160310277210331;A
2019;3689;6783;Turistas;;A
2019;3690;6782;Turistas;50.73248988604428;A
2019;3690;6775;Turistas;16.383396431125057;A
2019;3690;6776;Turistas;14.956609452068815;A
2019;3690;6778;Turistas;13.514807038943852;A
2019;3690;6779;Turistas;5.877676963906556;A
2019;3690;6783;Turistas;;A
2020;3691;6782;Turistas;100.0;A
2020;3691;6775;Turistas;38.06187772351471;A
2020;3691;6776;Turistas;32.50955136049038;A
2020;3691;6778;Turistas;15.292655909216116;A
2020;3691;6779;Turistas;5.460422277299055;A
2020;3691;6783;Turistas;8.675492729479746;A
2020;3689;6782;Turistas;44.15470136007881;A
2020;3689;6775;Turistas;18.0890491425835;A
2020;3689;6776;Turistas;15.815477299806386;A
2020;3689;6778;Turistas;7.608771149037246;A
2020;3689;6779;Turistas;2.6414037686516787;A
2020;3689;6783;Turistas;;A
2020;3690;6782;Turistas;47.16980591044145;A
2020;3690;6775;Turistas;19.97282858093121;A
2020;3690;6776;Turistas;16.69407406068399;A
2020;3690;6778;Turistas;7.683884760178869;A
2020;3690;6779;Turistas;2.819018508647377;A
2020;3690;6783;Turistas;;A
