D_TEMPORAL_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
1998;P1_C01;Estancia media;12.077384571;A
1998;2352;Estancia media;11.176910787;A
1998;2402;Estancia media;9.574617926;A
1998;2482;Estancia media;4.709976132;A
1998;2713;Estancia media;8.529787945;A
1998;2797;Estancia media;8.692087147;A
1998;2911;Estancia media;4.029780182;A
1998;3023;Estancia media;14.835764934;A
1998;3142;Estancia media;5.418201487;A
1999;P1_C01;Estancia media;10.504657378;A
1999;2352;Estancia media;10.749182491;A
1999;2402;Estancia media;8.223745366;A
1999;2482;Estancia media;2.543592221;A
1999;2713;Estancia media;5.484792829;A
1999;2797;Estancia media;9.376794665;A
1999;2911;Estancia media;3.117622891;A
1999;3023;Estancia media;11.976814154;A
1999;3142;Estancia media;3.232467813;A
2000;P1_C01;Estancia media;10.901667026;A
2000;2352;Estancia media;9.30221355;A
2000;2402;Estancia media;8.780725337;A
2000;2482;Estancia media;2.303201477;A
2000;2713;Estancia media;5.959584023;A
2000;2797;Estancia media;8.018368296;A
2000;2911;Estancia media;2.728108729;A
2000;3023;Estancia media;13.041566881;A
2000;3142;Estancia media;3.858808209;A
2001;P1_C01;Estancia media;11.456943973;A
2001;2352;Estancia media;13.052435341;A
2001;2402;Estancia media;8.200989637;A
2001;2482;Estancia media;2.608025206;A
2001;2713;Estancia media;5.367688659;A
2001;2797;Estancia media;10.603345873;A
2001;2911;Estancia media;2.853014708;A
2001;3023;Estancia media;15.493935512;A
2001;3142;Estancia media;5.081820765;A
2002;P1_C01;Estancia media;11.597492749;A
2002;2352;Estancia media;14.270080932;A
2002;2402;Estancia media;8.226004649;A
2002;2482;Estancia media;2.647372557;A
2002;2713;Estancia media;5.437081583;A
2002;2797;Estancia media;8.727563365;A
2002;2911;Estancia media;3.150820789;A
2002;3023;Estancia media;14.795166482;A
2002;3142;Estancia media;3.906182603;A
2003;P1_C01;Estancia media;10.532484337;A
2003;2352;Estancia media;12.585617648;A
2003;2402;Estancia media;8.553556164;A
2003;2482;Estancia media;3.881461346;A
2003;2713;Estancia media;5.557276303;A
2003;2797;Estancia media;8.499863308;A
2003;2911;Estancia media;3.663486951;A
2003;3023;Estancia media;12.923494155;A
2003;3142;Estancia media;4.183567469;A
2004;P1_C01;Estancia media;9.988952904;A
2004;2352;Estancia media;9.477265771;A
2004;2402;Estancia media;6.888914376;A
2004;2482;Estancia media;4.753311255;A
2004;2713;Estancia media;5.475077966;A
2004;2797;Estancia media;8.162001191;A
2004;2911;Estancia media;4.525690122;A
2004;3023;Estancia media;14.229000678;A
2004;3142;Estancia media;4.397237462;A
2005;P1_C01;Estancia media;7.543677646;A
2005;2352;Estancia media;6.801530029;A
2005;2402;Estancia media;7.664815561;A
2005;2482;Estancia media;3.404460401;A
2005;2713;Estancia media;5.474261277;A
2005;2797;Estancia media;8.036260139;A
2005;2911;Estancia media;4.353119493;A
2005;3023;Estancia media;13.414015277;A
2005;3142;Estancia media;4.454271738;A
2006;P1_C01;Estancia media;8.975502801;A
2006;2352;Estancia media;8.206014417;A
2006;2402;Estancia media;7.120393897;A
2006;2482;Estancia media;3.647200355;A
2006;2713;Estancia media;4.47415215;A
2006;2797;Estancia media;9.658111481;A
2006;2911;Estancia media;4.53986292;A
2006;3023;Estancia media;11.316963932;A
2006;3142;Estancia media;4.043909411;A
2007;P1_C01;Estancia media;8.223302548;A
2007;2352;Estancia media;7.534650651;A
2007;2402;Estancia media;6.606045092;A
2007;2482;Estancia media;3.097931031;A
2007;2713;Estancia media;5.130785348;A
2007;2797;Estancia media;8.785986069;A
2007;2911;Estancia media;4.353401302;A
2007;3023;Estancia media;10.374025313;A
2007;3142;Estancia media;4.040498111;A
2008;P1_C01;Estancia media;8.55107921;A
2008;2352;Estancia media;7.496669282;A
2008;2402;Estancia media;7.266211568;A
2008;2482;Estancia media;2.937347726;A
2008;2713;Estancia media;5.039534306;A
2008;2797;Estancia media;7.902512169;A
2008;2911;Estancia media;4.325959952;A
2008;3023;Estancia media;11.189517577;A
2008;3142;Estancia media;4.070347939;A
2009;P1_C01;Estancia media;8.788552838;A
2009;2352;Estancia media;7.82244169;A
2009;2402;Estancia media;7.810492021;A
2009;2482;Estancia media;2.902318775;A
2009;2713;Estancia media;5.302892539;A
2009;2797;Estancia media;7.920065556;A
