D_TEMPORAL_0;D_PROCEDENCIA_ECTA_0;INDICATOR;OBS_VALUE;FREQ
1997;P1_00;Gasto medio diario;55.338097477;A
1997;6777;Gasto medio diario;;A
1997;6775;Gasto medio diario;40.583324646;A
1997;6776;Gasto medio diario;58.507099834;A
1997;6781;Gasto medio diario;;A
1997;6778;Gasto medio diario;55.789769531;A
1997;6779;Gasto medio diario;79.791686999;A
1998;P1_00;Gasto medio diario;52.531877185;A
1998;6777;Gasto medio diario;;A
1998;6775;Gasto medio diario;29.024575611;A
1998;6776;Gasto medio diario;43.346488576;A
1998;6781;Gasto medio diario;;A
1998;6778;Gasto medio diario;66.26965749;A
1998;6779;Gasto medio diario;86.093667839;A
1999;P1_00;Gasto medio diario;43.500212467;A
1999;6777;Gasto medio diario;;A
1999;6775;Gasto medio diario;33.647510786;A
1999;6776;Gasto medio diario;42.582849087;A
1999;6781;Gasto medio diario;;A
1999;6778;Gasto medio diario;45.514073824;A
1999;6779;Gasto medio diario;61.541945925;A
2000;P1_00;Gasto medio diario;43.571978021;A
2000;6777;Gasto medio diario;;A
2000;6775;Gasto medio diario;34.983421767;A
2000;6776;Gasto medio diario;46.15419298;A
2000;6781;Gasto medio diario;;A
2000;6778;Gasto medio diario;41.237417836;A
2000;6779;Gasto medio diario;60.830884287;A
2001;P1_00;Gasto medio diario;43.784255814;A
2001;6777;Gasto medio diario;;A
2001;6775;Gasto medio diario;36.982743963;A
2001;6776;Gasto medio diario;32.323547316;A
2001;6781;Gasto medio diario;;A
2001;6778;Gasto medio diario;41.123107878;A
2001;6779;Gasto medio diario;58.1073901;A
2002;P1_00;Gasto medio diario;44.372753969;A
2002;6777;Gasto medio diario;;A
2002;6775;Gasto medio diario;40.841053634;A
2002;6776;Gasto medio diario;46.152116528;A
2002;6781;Gasto medio diario;;A
2002;6778;Gasto medio diario;41.329216159;A
2002;6779;Gasto medio diario;59.560685675;A
2003;P1_00;Gasto medio diario;46.819149378;A
2003;6777;Gasto medio diario;;A
2003;6775;Gasto medio diario;41.329453656;A
2003;6776;Gasto medio diario;51.01003228;A
2003;6781;Gasto medio diario;;A
2003;6778;Gasto medio diario;46.147589001;A
2003;6779;Gasto medio diario;58.481602145;A
2004;P1_00;Gasto medio diario;49.47593044;A
2004;6777;Gasto medio diario;;A
2004;6775;Gasto medio diario;45.815831797;A
2004;6776;Gasto medio diario;51.587706282;A
2004;6781;Gasto medio diario;;A
2004;6778;Gasto medio diario;48.206721384;A
