D_TEMPORAL_0;D_PROCEDENCIA_ECTA_0;INDICATOR;OBS_VALUE;FREQ
2001;6778;Tasa de variación interanual;-2.638330341305353;A
2001;6779;Tasa de variación interanual;0.23577071218924456;A
2001;P1_00;Tasa de variación interanual;5.093504926133665;A
2002;6775;Tasa de variación interanual;3.6111226181452167;A
2002;6776;Tasa de variación interanual;77.39618815299542;A
2002;6778;Tasa de variación interanual;3.205516796586842;A
2002;6779;Tasa de variación interanual;9.661599394738102;A
2002;P1_00;Tasa de variación interanual;1.2267562478373397;A
2003;6775;Tasa de variación interanual;-6.329986693745497;A
2003;6776;Tasa de variación interanual;-0.8762080162517083;A
2003;6778;Tasa de variación interanual;-16.440108383112985;A
2003;6779;Tasa de variación interanual;-8.528342112714855;A
2003;P1_00;Tasa de variación interanual;-9.183091854847952;A
2004;6775;Tasa de variación interanual;-12.661556167382384;A
2004;6776;Tasa de variación interanual;-17.860167089609362;A
2004;6778;Tasa de variación interanual;13.013322311170395;A
2004;6779;Tasa de variación interanual;-4.742153582604269;A
2004;P1_00;Tasa de variación interanual;-5.160524484148588;A
2005;6775;Tasa de variación interanual;-2.286997081761559;A
2005;6776;Tasa de variación interanual;-12.193296689415622;A
2005;6778;Tasa de variación interanual;-36.992770165577795;A
2005;6779;Tasa de variación interanual;-21.171974057070635;A
2005;P1_00;Tasa de variación interanual;-24.47979564525535;A
2006;6775;Tasa de variación interanual;9.64828196880103;A
2006;6776;Tasa de variación interanual;15.88212263092661;A
2006;6778;Tasa de variación interanual;25.689119339390913;A
2006;6779;Tasa de variación interanual;30.641156122873376;A
2006;P1_00;Tasa de variación interanual;18.980465791234042;A
2007;6775;Tasa de variación interanual;-14.60322884886753;A
2007;6776;Tasa de variación interanual;-6.533659394109738;A
2007;6778;Tasa de variación interanual;-4.455416957440271;A
2007;6779;Tasa de variación interanual;-12.819248410328631;A
2007;P1_00;Tasa de variación interanual;-8.380591813933744;A
2008;6775;Tasa de variación interanual;0.8704935500190666;A
2008;6776;Tasa de variación interanual;6.378550606293736;A
2008;6778;Tasa de variación interanual;3.936776806491455;A
2008;6779;Tasa de variación interanual;6.371176629479811;A
2008;P1_00;Tasa de variación interanual;3.9859491984728055;A
2009;6775;Tasa de variación interanual;7.824696655035564;A
2009;6776;Tasa de variación interanual;4.5251242322884275;A
2009;6778;Tasa de variación interanual;0.7596204901285928;A
2009;6779;Tasa de variación interanual;2.4188831942977096;A
2009;P1_00;Tasa de variación interanual;2.777118795979438;A
2010;6775;Tasa de variación interanual;-3.5495902699363366;A
2010;6776;Tasa de variación interanual;4.379929096634242;A
2010;6778;Tasa de variación interanual;6.551024586837979;A
2010;6779;Tasa de variación interanual;-5.33347619586889;A
2010;P1_00;Tasa de variación interanual;2.5368562618864243;A
2011;6775;Tasa de variación interanual;2.1701492925800014;A
2011;6776;Tasa de variación interanual;0.564972378384906;A
2011;6778;Tasa de variación interanual;-3.7763473786339445;A
2011;6779;Tasa de variación interanual;5.300042754527357;A
2011;P1_00;Tasa de variación interanual;0.4672560943372304;A
2012;6775;Tasa de variación interanual;4.063070294332824;A
2012;6776;Tasa de variación interanual;5.5209163367801875;A
2012;6778;Tasa de variación interanual;-3.4440095130019923;A
2012;6779;Tasa de variación interanual;6.901796292479139;A
2012;P1_00;Tasa de variación interanual;1.0130962196225384;A
2013;6775;Tasa de variación interanual;-7.244318075855345;A
2013;6776;Tasa de variación interanual;1.0741588182932533;A
2013;6778;Tasa de variación interanual;-1.1580275515496943;A
2013;6779;Tasa de variación interanual;3.84882503176457;A
2013;P1_00;Tasa de variación interanual;-1.340750852070981;A
2014;6775;Tasa de variación interanual;1.135479357086844;A
2014;6776;Tasa de variación interanual;-3.3834953358708777;A
2014;6778;Tasa de variación interanual;-0.9295433166433569;A
2014;6779;Tasa de variación interanual;-3.9585043427264535;A
2014;P1_00;Tasa de variación interanual;-1.7201938544981334;A
2015;6775;Tasa de variación interanual;-1.8183629558047698;A
2015;6776;Tasa de variación interanual;-5.1376057817509055;A
2015;6778;Tasa de variación interanual;-6.795584045143965;A
2015;6779;Tasa de variación interanual;-0.42835030610583996;A
