LUG_DEF;MES;D_G102_0;SEXO;TIME_PERIOD;REF_AREA;INDICATOR;OBS_VALUE;FREQ;EDAD;CIE10;G102_OTRAS_CAUSAS
838404;55914;838410;_T;2020;ES61;DEATHS;;A;_Z;_Z;_Z
838404;55914;838411;M;2020;ES61;DEATHS;3.0;A;_Z;_Z;_Z
838404;55914;838411;F;2020;ES61;DEATHS;4.0;A;_Z;_Z;_Z
838404;55914;838411;_T;2020;ES61;DEATHS;7.0;A;_Z;_Z;_Z
838404;55914;57731;M;2020;ES61;DEATHS;1147.0;A;_Z;_Z;_Z
838404;55914;57731;F;2020;ES61;DEATHS;1170.0;A;_Z;_Z;_Z
838404;55914;57731;_T;2020;ES61;DEATHS;2317.0;A;_Z;_Z;_Z
838404;55914;;M;2020;ES61;DEATHS;1150.0;A;_Z;_Z;_Z
838404;55914;;F;2020;ES61;DEATHS;1174.0;A;_Z;_Z;_Z
838404;55914;;_T;2020;ES61;DEATHS;2324.0;A;_Z;_Z;_Z
838404;55915;838410;M;2020;ES61;DEATHS;1.0;A;_Z;_Z;_Z
838404;55915;838410;F;2020;ES61;DEATHS;;A;_Z;_Z;_Z
838404;55915;838410;_T;2020;ES61;DEATHS;1.0;A;_Z;_Z;_Z
838404;55915;838411;M;2020;ES61;DEATHS;4.0;A;_Z;_Z;_Z
838404;55915;838411;F;2020;ES61;DEATHS;4.0;A;_Z;_Z;_Z
838404;55915;838411;_T;2020;ES61;DEATHS;8.0;A;_Z;_Z;_Z
838404;55915;57731;M;2020;ES61;DEATHS;1032.0;A;_Z;_Z;_Z
838404;55915;57731;F;2020;ES61;DEATHS;1098.0;A;_Z;_Z;_Z
838404;55915;57731;_T;2020;ES61;DEATHS;2130.0;A;_Z;_Z;_Z
838404;55915;;M;2020;ES61;DEATHS;1037.0;A;_Z;_Z;_Z
838404;55915;;F;2020;ES61;DEATHS;1102.0;A;_Z;_Z;_Z
838404;55915;;_T;2020;ES61;DEATHS;2139.0;A;_Z;_Z;_Z
838404;55916;838410;M;2020;ES61;DEATHS;14.0;A;_Z;_Z;_Z
838404;55916;838410;F;2020;ES61;DEATHS;15.0;A;_Z;_Z;_Z
838404;55916;838410;_T;2020;ES61;DEATHS;29.0;A;_Z;_Z;_Z
838404;55916;838411;M;2020;ES61;DEATHS;3.0;A;_Z;_Z;_Z
838404;55916;838411;F;2020;ES61;DEATHS;2.0;A;_Z;_Z;_Z
838404;55916;838411;_T;2020;ES61;DEATHS;5.0;A;_Z;_Z;_Z
838404;55916;57731;M;2020;ES61;DEATHS;969.0;A;_Z;_Z;_Z
838404;55916;57731;F;2020;ES61;DEATHS;940.0;A;_Z;_Z;_Z
838404;55916;57731;_T;2020;ES61;DEATHS;1909.0;A;_Z;_Z;_Z
838404;55916;;M;2020;ES61;DEATHS;986.0;A;_Z;_Z;_Z
838404;55916;;F;2020;ES61;DEATHS;957.0;A;_Z;_Z;_Z
838404;55916;;_T;2020;ES61;DEATHS;1943.0;A;_Z;_Z;_Z
838404;55917;838410;M;2020;ES61;DEATHS;26.0;A;_Z;_Z;_Z
838404;55917;838410;F;2020;ES61;DEATHS;24.0;A;_Z;_Z;_Z
838404;55917;838410;_T;2020;ES61;DEATHS;50.0;A;_Z;_Z;_Z
838404;55917;838411;M;2020;ES61;DEATHS;2.0;A;_Z;_Z;_Z
838404;55917;838411;F;2020;ES61;DEATHS;1.0;A;_Z;_Z;_Z
838404;55917;838411;_T;2020;ES61;DEATHS;3.0;A;_Z;_Z;_Z
838404;55917;57731;M;2020;ES61;DEATHS;1054.0;A;_Z;_Z;_Z
838404;55917;57731;F;2020;ES61;DEATHS;1079.0;A;_Z;_Z;_Z
838404;55917;57731;_T;2020;ES61;DEATHS;2133.0;A;_Z;_Z;_Z
838404;55917;;M;2020;ES61;DEATHS;1082.0;A;_Z;_Z;_Z
838404;55917;;F;2020;ES61;DEATHS;1104.0;A;_Z;_Z;_Z
838404;55917;;_T;2020;ES61;DEATHS;2186.0;A;_Z;_Z;_Z
838404;55918;838410;M;2020;ES61;DEATHS;71.0;A;_Z;_Z;_Z
838404;55918;838410;F;2020;ES61;DEATHS;71.0;A;_Z;_Z;_Z
838404;55918;838410;_T;2020;ES61;DEATHS;142.0;A;_Z;_Z;_Z
838404;55918;838411;M;2020;ES61;DEATHS;4.0;A;_Z;_Z;_Z
838404;55918;838411;F;2020;ES61;DEATHS;5.0;A;_Z;_Z;_Z
838404;55918;838411;_T;2020;ES61;DEATHS;9.0;A;_Z;_Z;_Z
838404;55918;57731;M;2020;ES61;DEATHS;1154.0;A;_Z;_Z;_Z
838404;55918;57731;F;2020;ES61;DEATHS;1158.0;A;_Z;_Z;_Z
838404;55918;57731;_T;2020;ES61;DEATHS;2312.0;A;_Z;_Z;_Z
838404;55918;;M;2020;ES61;DEATHS;1229.0;A;_Z;_Z;_Z
838404;55918;;F;2020;ES61;DEATHS;1234.0;A;_Z;_Z;_Z
838404;55918;;_T;2020;ES61;DEATHS;2463.0;A;_Z;_Z;_Z
838404;55919;838410;M;2020;ES61;DEATHS;30.0;A;_Z;_Z;_Z
838404;55919;838410;F;2020;ES61;DEATHS;25.0;A;_Z;_Z;_Z
838404;55919;838410;_T;2020;ES61;DEATHS;55.0;A;_Z;_Z;_Z
838404;55919;838411;M;2020;ES61;DEATHS;3.0;A;_Z;_Z;_Z
838404;55919;838411;F;2020;ES61;DEATHS;;A;_Z;_Z;_Z
838404;55919;838411;_T;2020;ES61;DEATHS;3.0;A;_Z;_Z;_Z
838404;55919;57731;M;2020;ES61;DEATHS;1145.0;A;_Z;_Z;_Z
838404;55919;57731;F;2020;ES61;DEATHS;1266.0;A;_Z;_Z;_Z
838404;55919;57731;_T;2020;ES61;DEATHS;2411.0;A;_Z;_Z;_Z
838404;55919;;M;2020;ES61;DEATHS;1178.0;A;_Z;_Z;_Z
838404;55919;;F;2020;ES61;DEATHS;1291.0;A;_Z;_Z;_Z
838404;55919;;_T;2020;ES61;DEATHS;2469.0;A;_Z;_Z;_Z
838404;55920;838410;M;2020;ES61;DEATHS;159.0;A;_Z;_Z;_Z
838404;55920;838410;F;2020;ES61;DEATHS;152.0;A;_Z;_Z;_Z
838404;55920;838410;_T;2020;ES61;DEATHS;311.0;A;_Z;_Z;_Z
838404;55920;838411;M;2020;ES61;DEATHS;93.0;A;_Z;_Z;_Z
838404;55920;838411;F;2020;ES61;DEATHS;95.0;A;_Z;_Z;_Z
838404;55920;838411;_T;2020;ES61;DEATHS;188.0;A;_Z;_Z;_Z
838404;55920;57731;M;2020;ES61;DEATHS;12939.0;A;_Z;_Z;_Z
838404;55920;57731;F;2020;ES61;DEATHS;13490.0;A;_Z;_Z;_Z
838404;55920;57731;_T;2020;ES61;DEATHS;26429.0;A;_Z;_Z;_Z
838404;55920;;M;2020;ES61;DEATHS;13191.0;A;_Z;_Z;_Z
838404;55920;;F;2020;ES61;DEATHS;13737.0;A;_Z;_Z;_Z
838404;55920;;_T;2020;ES61;DEATHS;26928.0;A;_Z;_Z;_Z
838405;55908;838410;M;2020;ES61;DEATHS;;A;_Z;_Z;_Z
838405;55908;838410;F;2020;ES61;DEATHS;;A;_Z;_Z;_Z
838405;55908;838410;_T;2020;ES61;DEATHS;;A;_Z;_Z;_Z
838405;55908;838411;M;2020;ES61;DEATHS;;A;_Z;_Z;_Z
838405;55908;838411;F;2020;ES61;DEATHS;;A;_Z;_Z;_Z
838405;55908;838411;_T;2020;ES61;DEATHS;;A;_Z;_Z;_Z
838405;55908;57731;M;2020;ES61;DEATHS;2196.0;A;_Z;_Z;_Z
838405;55908;57731;F;2020;ES61;DEATHS;1954.0;A;_Z;_Z;_Z
838405;55908;57731;_T;2020;ES61;DEATHS;4150.0;A;_Z;_Z;_Z
838405;55908;;M;2020;ES61;DEATHS;2196.0;A;_Z;_Z;_Z
838405;55908;;F;2020;ES61;DEATHS;1954.0;A;_Z;_Z;_Z
