TEMPORAL;EDAD;TERRITORIO;SEXO;RELAC_RESID_NAC;INDICATOR;OBS_VALUE;FREQ
2016;TOTAL;ES615;_T;53585;HAB;35527.0;A
2016;TOTAL;ES615;_T;53586;HAB;27335.0;A
2016;TOTAL;ES615;_T;53587;HAB;46945.0;A
2016;TOTAL;ES615;M;53588;HAB;257571.0;A
2016;TOTAL;ES615;M;53583;HAB;139498.0;A
2016;TOTAL;ES615;M;53584;HAB;64290.0;A
2016;TOTAL;ES615;M;53585;HAB;17737.0;A
2016;TOTAL;ES615;M;53586;HAB;13357.0;A
2016;TOTAL;ES615;M;53587;HAB;22689.0;A
2016;TOTAL;ES615;F;53588;HAB;262025.0;A
2016;TOTAL;ES615;F;53583;HAB;140396.0;A
2016;TOTAL;ES615;F;53584;HAB;65605.0;A
2016;TOTAL;ES615;F;53585;HAB;17790.0;A
2016;TOTAL;ES615;F;53586;HAB;13978.0;A
2016;TOTAL;ES615;F;53587;HAB;24256.0;A
2016;TOTAL;ES616;_T;53588;HAB;648250.0;A
2016;TOTAL;ES616;_T;53583;HAB;443549.0;A
2016;TOTAL;ES616;_T;53584;HAB;121731.0;A
2016;TOTAL;ES616;_T;53585;HAB;26843.0;A
2016;TOTAL;ES616;_T;53586;HAB;34634.0;A
2016;TOTAL;ES616;_T;53587;HAB;21493.0;A
2016;TOTAL;ES616;M;53588;HAB;320862.0;A
2016;TOTAL;ES616;M;53583;HAB;223067.0;A
2016;TOTAL;ES616;M;53584;HAB;57398.0;A
2016;TOTAL;ES616;M;53585;HAB;12619.0;A
2016;TOTAL;ES616;M;53586;HAB;16349.0;A
2016;TOTAL;ES616;M;53587;HAB;11429.0;A
2016;TOTAL;ES616;F;53588;HAB;327388.0;A
2016;TOTAL;ES616;F;53583;HAB;220482.0;A
2016;TOTAL;ES616;F;53584;HAB;64333.0;A
2016;TOTAL;ES616;F;53585;HAB;14224.0;A
2016;TOTAL;ES616;F;53586;HAB;18285.0;A
2016;TOTAL;ES616;F;53587;HAB;10064.0;A
2016;TOTAL;ES617;_T;53588;HAB;1629298.0;A
2016;TOTAL;ES617;_T;53583;HAB;736778.0;A
2016;TOTAL;ES617;_T;53584;HAB;332046.0;A
2016;TOTAL;ES617;_T;53585;HAB;137686.0;A
2016;TOTAL;ES617;_T;53586;HAB;124821.0;A
2016;TOTAL;ES617;_T;53587;HAB;297967.0;A
2016;TOTAL;ES617;M;53588;HAB;800630.0;A
2016;TOTAL;ES617;M;53583;HAB;368239.0;A
2016;TOTAL;ES617;M;53584;HAB;163114.0;A
2016;TOTAL;ES617;M;53585;HAB;65487.0;A
2016;TOTAL;ES617;M;53586;HAB;59552.0;A
2016;TOTAL;ES617;M;53587;HAB;144238.0;A
2016;TOTAL;ES617;F;53588;HAB;828668.0;A
2016;TOTAL;ES617;F;53583;HAB;368539.0;A
2016;TOTAL;ES617;F;53584;HAB;168932.0;A
2016;TOTAL;ES617;F;53585;HAB;72199.0;A
2016;TOTAL;ES617;F;53586;HAB;65269.0;A
2016;TOTAL;ES617;F;53587;HAB;153729.0;A
2016;TOTAL;ES618;_T;53588;HAB;1939775.0;A
2016;TOTAL;ES618;_T;53583;HAB;1034009.0;A
2016;TOTAL;ES618;_T;53584;HAB;547607.0;A
2016;TOTAL;ES618;_T;53585;HAB;138118.0;A
2016;TOTAL;ES618;_T;53586;HAB;122083.0;A
2016;TOTAL;ES618;_T;53587;HAB;97958.0;A
2016;TOTAL;ES618;M;53588;HAB;949432.0;A
2016;TOTAL;ES618;M;53583;HAB;513551.0;A
2016;TOTAL;ES618;M;53584;HAB;271248.0;A
2016;TOTAL;ES618;M;53585;HAB;62763.0;A
2016;TOTAL;ES618;M;53586;HAB;56990.0;A
2016;TOTAL;ES618;M;53587;HAB;44880.0;A
2016;TOTAL;ES618;F;53588;HAB;990343.0;A
2016;TOTAL;ES618;F;53583;HAB;520458.0;A
2016;TOTAL;ES618;F;53584;HAB;276359.0;A
2016;TOTAL;ES618;F;53585;HAB;75355.0;A
2016;TOTAL;ES618;F;53586;HAB;65093.0;A
2016;TOTAL;ES618;F;53587;HAB;53078.0;A
2016;Y_LT15;ES61;_T;53588;HAB;1359808.0;A
2016;Y_LT15;ES61;_T;53583;HAB;1052417.0;A
2016;Y_LT15;ES61;_T;53584;HAB;194395.0;A
2016;Y_LT15;ES61;_T;53585;HAB;30078.0;A
2016;Y_LT15;ES61;_T;53586;HAB;34944.0;A
2016;Y_LT15;ES61;_T;53587;HAB;47974.0;A
2016;Y_LT15;ES61;M;53588;HAB;698556.0;A
2016;Y_LT15;ES61;M;53583;HAB;541297.0;A
2016;Y_LT15;ES61;M;53584;HAB;99970.0;A
2016;Y_LT15;ES61;M;53585;HAB;15368.0;A
2016;Y_LT15;ES61;M;53586;HAB;17877.0;A
2016;Y_LT15;ES61;M;53587;HAB;24044.0;A
2016;Y_LT15;ES61;F;53588;HAB;661252.0;A
2016;Y_LT15;ES61;F;53583;HAB;511120.0;A
2016;Y_LT15;ES61;F;53584;HAB;94425.0;A
2016;Y_LT15;ES61;F;53585;HAB;14710.0;A
2016;Y_LT15;ES61;F;53586;HAB;17067.0;A
2016;Y_LT15;ES61;F;53587;HAB;23930.0;A
2016;Y_LT15;ES611;_T;53588;HAB;121061.0;A
2016;Y_LT15;ES611;_T;53583;HAB;86490.0;A
2016;Y_LT15;ES611;_T;53584;HAB;20198.0;A
2016;Y_LT15;ES611;_T;53585;HAB;2761.0;A
2016;Y_LT15;ES611;_T;53586;HAB;3604.0;A
2016;Y_LT15;ES611;_T;53587;HAB;8008.0;A
2016;Y_LT15;ES611;M;53588;HAB;62026.0;A
