TEMPORAL;EDAD;TERRITORIO;SEXO;RELAC_RESID_NAC;INDICATOR;OBS_VALUE;FREQ
2001;TOTAL;ES61;_T;53588;HAB;7403967.9724804;A
2001;TOTAL;ES61;_T;53583;HAB;4380206.0763633;A
2001;TOTAL;ES61;_T;53584;HAB;1769434.585862;A
2001;TOTAL;ES61;_T;53585;HAB;535427.2526284;A
2001;TOTAL;ES61;_T;53586;HAB;462489.2390998;A
2001;TOTAL;ES61;_T;53587;HAB;252417.8185269;A
2001;TOTAL;ES61;_T;53589;HAB;3993.0;A
2001;TOTAL;ES61;M;53588;HAB;3647193.9860618;A
2001;TOTAL;ES61;M;53583;HAB;2188673.8455279;A
2001;TOTAL;ES61;M;53584;HAB;856448.7520939;A
2001;TOTAL;ES61;M;53585;HAB;249490.2324061;A
2001;TOTAL;ES61;M;53586;HAB;219886.5485439;A
2001;TOTAL;ES61;M;53587;HAB;130686.60749;A
2001;TOTAL;ES61;M;53589;HAB;2008.0;A
2001;TOTAL;ES61;F;53588;HAB;3756773.9864186;A
2001;TOTAL;ES61;F;53583;HAB;2191532.2308354;A
2001;TOTAL;ES61;F;53584;HAB;912985.8337681;A
2001;TOTAL;ES61;F;53585;HAB;285937.0202223;A
2001;TOTAL;ES61;F;53586;HAB;242602.6905559;A
2001;TOTAL;ES61;F;53587;HAB;121731.2110369;A
2001;TOTAL;ES61;F;53589;HAB;1985.0;A
2001;TOTAL;ES611;_T;53588;HAB;533167.9965793;A
2001;TOTAL;ES611;_T;53583;HAB;252308.0701367;A
2001;TOTAL;ES611;_T;53584;HAB;155176.6834642;A
2001;TOTAL;ES611;_T;53585;HAB;50585.6736916;A
2001;TOTAL;ES611;_T;53586;HAB;38035.9362889;A
2001;TOTAL;ES611;_T;53587;HAB;37061.6329979;A
2001;TOTAL;ES611;M;53588;HAB;269544.9982954;A
2001;TOTAL;ES611;M;53583;HAB;126544.5706593;A
2001;TOTAL;ES611;M;53584;HAB;76013.6827819;A
2001;TOTAL;ES611;M;53585;HAB;24748.3849143;A
2001;TOTAL;ES611;M;53586;HAB;18508.3571581;A
2001;TOTAL;ES611;M;53587;HAB;23730.0027818;A
2001;TOTAL;ES611;F;53588;HAB;263622.9982839;A
2001;TOTAL;ES611;F;53583;HAB;125763.4994774;A
2001;TOTAL;ES611;F;53584;HAB;79163.0006823;A
2001;TOTAL;ES611;F;53585;HAB;25837.2887773;A
2001;TOTAL;ES611;F;53586;HAB;19527.5791308;A
2001;TOTAL;ES611;F;53587;HAB;13331.6302161;A
2001;TOTAL;ES612;_T;53588;HAB;1131345.9962465;A
2001;TOTAL;ES612;_T;53583;HAB;721338.9548538;A
2001;TOTAL;ES612;_T;53584;HAB;255107.937562;A
2001;TOTAL;ES612;_T;53585;HAB;68119.0560652;A
