TEMPORAL;EDAD;TERRITORIO;SEXO;RELAC_RESID_NAC;INDICATOR;OBS_VALUE;FREQ
2011;TOTAL;ES61;_T;53588;HAB;8424102.0;A
2011;TOTAL;ES61;_T;53583;HAB;4540941.0;A
2011;TOTAL;ES61;_T;53584;HAB;1950303.0;A
2011;TOTAL;ES61;_T;53585;HAB;562734.0;A
2011;TOTAL;ES61;_T;53586;HAB;534374.0;A
2011;TOTAL;ES61;_T;53587;HAB;835750.0;A
2011;TOTAL;ES61;M;53588;HAB;4169634.0;A
2011;TOTAL;ES61;M;53583;HAB;2269731.0;A
2011;TOTAL;ES61;M;53584;HAB;952087.0;A
2011;TOTAL;ES61;M;53585;HAB;263592.0;A
2011;TOTAL;ES61;M;53586;HAB;255948.0;A
2011;TOTAL;ES61;M;53587;HAB;428276.0;A
2011;TOTAL;ES61;F;53588;HAB;4254468.0;A
2011;TOTAL;ES61;F;53583;HAB;2271210.0;A
2011;TOTAL;ES61;F;53584;HAB;998216.0;A
2011;TOTAL;ES61;F;53585;HAB;299142.0;A
2011;TOTAL;ES61;F;53586;HAB;278426.0;A
2011;TOTAL;ES61;F;53587;HAB;407474.0;A
2011;TOTAL;ES611;_T;53588;HAB;702819.0;A
2011;TOTAL;ES611;_T;53583;HAB;275643.0;A
2011;TOTAL;ES611;_T;53584;HAB;169184.0;A
2011;TOTAL;ES611;_T;53585;HAB;54310.0;A
2011;TOTAL;ES611;_T;53586;HAB;45567.0;A
2011;TOTAL;ES611;_T;53587;HAB;158115.0;A
2011;TOTAL;ES611;M;53588;HAB;361189.0;A
2011;TOTAL;ES611;M;53583;HAB;138598.0;A
2011;TOTAL;ES611;M;53584;HAB;83517.0;A
2011;TOTAL;ES611;M;53585;HAB;26462.0;A
2011;TOTAL;ES611;M;53586;HAB;22446.0;A
2011;TOTAL;ES611;M;53587;HAB;90166.0;A
2011;TOTAL;ES611;F;53588;HAB;341630.0;A
2011;TOTAL;ES611;F;53583;HAB;137045.0;A
2011;TOTAL;ES611;F;53584;HAB;85667.0;A
2011;TOTAL;ES611;F;53585;HAB;27848.0;A
2011;TOTAL;ES611;F;53586;HAB;23121.0;A
