TEMPORAL;TERRITORIO;SEXO;NACIONALIDAD;EDAD;INDICATOR;OBS_VALUE;FREQ
2021;ES612;_T;TOTAL;TOTAL;HAB;1245960.0;A
2021;ES612;_T;TOTAL;Y_LT15;HAB;188666.0;A
2021;ES612;_T;TOTAL;Y1-4;HAB;51330.0;A
2021;ES612;_T;TOTAL;4154;HAB;8270.0;A
2021;ES612;_T;TOTAL;4155;HAB;9595.0;A
2021;ES612;_T;TOTAL;4156;HAB;10350.0;A
2021;ES612;_T;TOTAL;4157;HAB;11100.0;A
2021;ES612;_T;TOTAL;4158;HAB;12015.0;A
2021;ES612;_T;TOTAL;Y5-9;HAB;63056.0;A
2021;ES612;_T;TOTAL;4160;HAB;12112.0;A
2021;ES612;_T;TOTAL;4161;HAB;12396.0;A
2021;ES612;_T;TOTAL;4162;HAB;12094.0;A
2021;ES612;_T;TOTAL;4163;HAB;13096.0;A
2021;ES612;_T;TOTAL;4164;HAB;13358.0;A
2021;ES612;_T;TOTAL;Y10-14;HAB;74280.0;A
2021;ES612;_T;TOTAL;4166;HAB;13955.0;A
2021;ES612;_T;TOTAL;4167;HAB;14244.0;A
2021;ES612;_T;TOTAL;4168;HAB;15235.0;A
2021;ES612;_T;TOTAL;4169;HAB;15223.0;A
2021;ES612;_T;TOTAL;4170;HAB;15623.0;A
2021;ES612;_T;TOTAL;Y15-19;HAB;202359.0;A
2021;ES612;_T;TOTAL;Y15-19;HAB;71113.0;A
2021;ES612;_T;TOTAL;4173;HAB;14963.0;A
2021;ES612;_T;TOTAL;4174;HAB;14600.0;A
2021;ES612;_T;TOTAL;4175;HAB;14116.0;A
2021;ES612;_T;TOTAL;4176;HAB;13729.0;A
2021;ES612;_T;TOTAL;4177;HAB;13705.0;A
2021;ES612;_T;TOTAL;Y20-24;HAB;64563.0;A
2021;ES612;_T;TOTAL;4179;HAB;13447.0;A
2021;ES612;_T;TOTAL;4180;HAB;13129.0;A
2021;ES612;_T;TOTAL;4181;HAB;12579.0;A
2021;ES612;_T;TOTAL;4182;HAB;12922.0;A
2021;ES612;_T;TOTAL;4183;HAB;12486.0;A
2021;ES612;_T;TOTAL;Y25-29;HAB;66683.0;A
2021;ES612;_T;TOTAL;4185;HAB;12734.0;A
2021;ES612;_T;TOTAL;4186;HAB;12809.0;A
2021;ES612;_T;TOTAL;4187;HAB;13405.0;A
2021;ES612;_T;TOTAL;4188;HAB;13918.0;A
2021;ES612;_T;TOTAL;4189;HAB;13817.0;A
2021;ES612;_T;TOTAL;Y40-44;HAB;264673.0;A
2021;ES612;_T;TOTAL;Y30-34;HAB;74468.0;A
2021;ES612;_T;TOTAL;4192;HAB;14425.0;A
2021;ES612;_T;TOTAL;4193;HAB;14541.0;A
2021;ES612;_T;TOTAL;4194;HAB;14822.0;A
2021;ES612;_T;TOTAL;4195;HAB;15160.0;A
2021;ES612;_T;TOTAL;4196;HAB;15520.0;A
2021;ES612;_T;TOTAL;Y35-39;HAB;87048.0;A
2021;ES612;_T;TOTAL;4198;HAB;15950.0;A
2021;ES612;_T;TOTAL;4199;HAB;16698.0;A
2021;ES612;_T;TOTAL;4200;HAB;17456.0;A
2021;ES612;_T;TOTAL;4201;HAB;18141.0;A
2021;ES612;_T;TOTAL;4202;HAB;18803.0;A
2021;ES612;_T;TOTAL;Y40-44;HAB;103157.0;A
2021;ES612;_T;TOTAL;4204;HAB;19711.0;A
2021;ES612;_T;TOTAL;4205;HAB;20191.0;A
2021;ES612;_T;TOTAL;4206;HAB;20758.0;A
2021;ES612;_T;TOTAL;4207;HAB;21215.0;A
2021;ES612;_T;TOTAL;4208;HAB;21282.0;A
2021;ES612;_T;TOTAL;Y45-49;HAB;375772.0;A
2021;ES612;_T;TOTAL;Y45-49;HAB;103181.0;A
2021;ES612;_T;TOTAL;4211;HAB;20973.0;A
2021;ES612;_T;TOTAL;4212;HAB;21053.0;A
2021;ES612;_T;TOTAL;4213;HAB;20412.0;A
2021;ES612;_T;TOTAL;4214;HAB;20654.0;A
2021;ES612;_T;TOTAL;4215;HAB;20089.0;A
2021;ES612;_T;TOTAL;Y50-54;HAB;100591.0;A
2021;ES612;_T;TOTAL;4217;HAB;20565.0;A
2021;ES612;_T;TOTAL;4218;HAB;20092.0;A
2021;ES612;_T;TOTAL;4219;HAB;20051.0;A
2021;ES612;_T;TOTAL;4220;HAB;20377.0;A
2021;ES612;_T;TOTAL;4221;HAB;19506.0;A
2021;ES612;_T;TOTAL;Y55-59;HAB;91680.0;A
2021;ES612;_T;TOTAL;4223;HAB;19377.0;A
2021;ES612;_T;TOTAL;4224;HAB;19677.0;A
2021;ES612;_T;TOTAL;4225;HAB;18295.0;A
2021;ES612;_T;TOTAL;4226;HAB;17334.0;A
2021;ES612;_T;TOTAL;4227;HAB;16997.0;A
2021;ES612;_T;TOTAL;Y60-64;HAB;80320.0;A
2021;ES612;_T;TOTAL;4229;HAB;16992.0;A
2021;ES612;_T;TOTAL;4230;HAB;16880.0;A
2021;ES612;_T;TOTAL;4231;HAB;16334.0;A
2021;ES612;_T;TOTAL;4232;HAB;16016.0;A
2021;ES612;_T;TOTAL;4233;HAB;14098.0;A
2021;ES612;_T;TOTAL;Y_GE50;HAB;214490.0;A
2021;ES612;_T;TOTAL;Y65-69;HAB;64276.0;A
2021;ES612;_T;TOTAL;4236;HAB;13888.0;A
2021;ES612;_T;TOTAL;4237;HAB;12767.0;A
2021;ES612;_T;TOTAL;4238;HAB;13154.0;A
2021;ES612;_T;TOTAL;4239;HAB;12783.0;A
2021;ES612;_T;TOTAL;4240;HAB;11684.0;A
2021;ES612;_T;TOTAL;Y70-74;HAB;53047.0;A
2021;ES612;_T;TOTAL;4242;HAB;10557.0;A
2021;ES612;_T;TOTAL;4243;HAB;11007.0;A
2021;ES612;_T;TOTAL;4244;HAB;11604.0;A
2021;ES612;_T;TOTAL;4245;HAB;10153.0;A
2021;ES612;_T;TOTAL;4246;HAB;9726.0;A
2021;ES612;_T;TOTAL;Y75-79;HAB;41630.0;A
2021;ES612;_T;TOTAL;4248;HAB;10017.0;A
2021;ES612;_T;TOTAL;4249;HAB;9092.0;A
2021;ES612;_T;TOTAL;4250;HAB;9443.0;A
2021;ES612;_T;TOTAL;4251;HAB;6998.0;A
2021;ES612;_T;TOTAL;4252;HAB;6080.0;A
2021;ES612;_T;TOTAL;Y80-84;HAB;28490.0;A
2021;ES612;_T;TOTAL;4254;HAB;7478.0;A
2021;ES612;_T;TOTAL;4255;HAB;5689.0;A
2021;ES612;_T;TOTAL;4256;HAB;5195.0;A
2021;ES612;_T;TOTAL;4257;HAB;5097.0;A
2021;ES612;_T;TOTAL;4258;HAB;5031.0;A
2021;ES612;_T;TOTAL;4265;HAB;18542.0;A
2021;ES612;_T;TOTAL;4260;HAB;4580.0;A
2021;ES612;_T;TOTAL;4261;HAB;4006.0;A
2021;ES612;_T;TOTAL;4262;HAB;3802.0;A
2021;ES612;_T;TOTAL;4263;HAB;3513.0;A
2021;ES612;_T;TOTAL;4264;HAB;2641.0;A
2021;ES612;_T;TOTAL;4271;HAB;6764.0;A
2021;ES612;_T;TOTAL;4266;HAB;2152.0;A
2021;ES612;_T;TOTAL;4267;HAB;1680.0;A
2021;ES612;_T;TOTAL;4268;HAB;1312.0;A
2021;ES612;_T;TOTAL;4269;HAB;916.0;A
2021;ES612;_T;TOTAL;4270;HAB;704.0;A
2021;ES612;_T;TOTAL;Y95-99;HAB;1478.0;A
2021;ES612;_T;TOTAL;4272;HAB;510.0;A
2021;ES612;_T;TOTAL;4273;HAB;408.0;A
2021;ES612;_T;TOTAL;4274;HAB;261.0;A
2021;ES612;_T;TOTAL;4275;HAB;178.0;A
2021;ES612;_T;TOTAL;4276;HAB;121.0;A
2021;ES612;_T;TOTAL;Y_GE100;HAB;263.0;A
2021;ES612;_T;TOTAL;4278;HAB;68.0;A
2021;ES612;_T;TOTAL;4279;HAB;47.0;A
2021;ES612;_T;TOTAL;4280;HAB;31.0;A
2021;ES612;_T;TOTAL;4281;HAB;22.0;A
2021;ES612;_T;TOTAL;4282;HAB;17.0;A
2021;ES612;_T;TOTAL;4283;HAB;18.0;A
2021;ES612;_T;TOTAL;4284;HAB;5.0;A
2021;ES612;_T;TOTAL;4285;HAB;10.0;A
2021;ES612;_T;TOTAL;4286;HAB;7.0;A
2021;ES612;_T;TOTAL;4287;HAB;11.0;A
2021;ES612;_T;TOTAL;4288;HAB;11.0;A
2021;ES612;_T;TOTAL;4289;HAB;2.0;A
2021;ES612;_T;TOTAL;4290;HAB;4.0;A
2021;ES612;_T;TOTAL;4291;HAB;8.0;A
2021;ES612;_T;TOTAL;4292;HAB;2.0;A
2021;ES612;_T;ES;TOTAL;HAB;1195351.0;A
2021;ES612;_T;ES;Y_LT15;HAB;182024.0;A
2021;ES612;_T;ES;Y1-4;HAB;49239.0;A
2021;ES612;_T;ES;4154;HAB;7940.0;A
2021;ES612;_T;ES;4155;HAB;9199.0;A
2021;ES612;_T;ES;4156;HAB;9950.0;A
2021;ES612;_T;ES;4157;HAB;10624.0;A
2021;ES612;_T;ES;4158;HAB;11526.0;A
2021;ES612;_T;ES;Y5-9;HAB;60649.0;A
2021;ES612;_T;ES;4160;HAB;11615.0;A
2021;ES612;_T;ES;4161;HAB;11874.0;A
2021;ES612;_T;ES;4162;HAB;11642.0;A
2021;ES612;_T;ES;4163;HAB;12634.0;A
2021;ES612;_T;ES;4164;HAB;12884.0;A
2021;ES612;_T;ES;Y10-14;HAB;72136.0;A
2021;ES612;_T;ES;4166;HAB;13477.0;A
2021;ES612;_T;ES;4167;HAB;13812.0;A
2021;ES612;_T;ES;4168;HAB;14837.0;A
2021;ES612;_T;ES;4169;HAB;14804.0;A
2021;ES612;_T;ES;4170;HAB;15206.0;A
2021;ES612;_T;ES;Y15-19;HAB;192717.0;A
2021;ES612;_T;ES;Y15-19;HAB;68656.0;A
2021;ES612;_T;ES;4173;HAB;14571.0;A
2021;ES612;_T;ES;4174;HAB;14180.0;A
2021;ES612;_T;ES;4175;HAB;13664.0;A
2021;ES612;_T;ES;4176;HAB;13181.0;A
2021;ES612;_T;ES;4177;HAB;13060.0;A
2021;ES612;_T;ES;Y20-24;HAB;61374.0;A
2021;ES612;_T;ES;4179;HAB;12861.0;A
2021;ES612;_T;ES;4180;HAB;12521.0;A
2021;ES612;_T;ES;4181;HAB;11979.0;A
2021;ES612;_T;ES;4182;HAB;12271.0;A
2021;ES612;_T;ES;4183;HAB;11742.0;A
2021;ES612;_T;ES;Y25-29;HAB;62687.0;A
2021;ES612;_T;ES;4185;HAB;12019.0;A
2021;ES612;_T;ES;4186;HAB;12048.0;A
2021;ES612;_T;ES;4187;HAB;12618.0;A
2021;ES612;_T;ES;4188;HAB;13085.0;A
2021;ES612;_T;ES;4189;HAB;12917.0;A
2021;ES612;_T;ES;Y40-44;HAB;248220.0;A
2021;ES612;_T;ES;Y30-34;HAB;69257.0;A
2021;ES612;_T;ES;4192;HAB;13426.0;A
2021;ES612;_T;ES;4193;HAB;13560.0;A
2021;ES612;_T;ES;4194;HAB;13777.0;A
2021;ES612;_T;ES;4195;HAB;14082.0;A
2021;ES612;_T;ES;4196;HAB;14412.0;A
2021;ES612;_T;ES;Y35-39;HAB;81267.0;A
2021;ES612;_T;ES;4198;HAB;14837.0;A
2021;ES612;_T;ES;4199;HAB;15586.0;A
2021;ES612;_T;ES;4200;HAB;16261.0;A
2021;ES612;_T;ES;4201;HAB;16990.0;A
2021;ES612;_T;ES;4202;HAB;17593.0;A
2021;ES612;_T;ES;Y40-44;HAB;97696.0;A
2021;ES612;_T;ES;4204;HAB;18516.0;A
2021;ES612;_T;ES;4205;HAB;19081.0;A
2021;ES612;_T;ES;4206;HAB;19631.0;A
2021;ES612;_T;ES;4207;HAB;20158.0;A
2021;ES612;_T;ES;4208;HAB;20310.0;A
2021;ES612;_T;ES;Y45-49;HAB;362373.0;A
2021;ES612;_T;ES;Y45-49;HAB;98678.0;A
2021;ES612;_T;ES;4211;HAB;20035.0;A
2021;ES612;_T;ES;4212;HAB;20075.0;A
2021;ES612;_T;ES;4213;HAB;19535.0;A
2021;ES612;_T;ES;4214;HAB;19800.0;A
2021;ES612;_T;ES;4215;HAB;19233.0;A
2021;ES612;_T;ES;Y50-54;HAB;96917.0;A
2021;ES612;_T;ES;4217;HAB;19759.0;A
2021;ES612;_T;ES;4218;HAB;19320.0;A
2021;ES612;_T;ES;4219;HAB;19338.0;A
2021;ES612;_T;ES;4220;HAB;19676.0;A
2021;ES612;_T;ES;4221;HAB;18824.0;A
2021;ES612;_T;ES;Y55-59;HAB;88725.0;A
2021;ES612;_T;ES;4223;HAB;18748.0;A
2021;ES612;_T;ES;4224;HAB;19042.0;A
2021;ES612;_T;ES;4225;HAB;17679.0;A
2021;ES612;_T;ES;4226;HAB;16775.0;A
2021;ES612;_T;ES;4227;HAB;16481.0;A
2021;ES612;_T;ES;Y60-64;HAB;78053.0;A
2021;ES612;_T;ES;4229;HAB;16479.0;A
2021;ES612;_T;ES;4230;HAB;16403.0;A
2021;ES612;_T;ES;4231;HAB;15873.0;A
2021;ES612;_T;ES;4232;HAB;15605.0;A
2021;ES612;_T;ES;4233;HAB;13693.0;A
2021;ES612;_T;ES;Y_GE50;HAB;210017.0;A
2021;ES612;_T;ES;Y65-69;HAB;62452.0;A
2021;ES612;_T;ES;4236;HAB;13485.0;A
2021;ES612;_T;ES;4237;HAB;12384.0;A
2021;ES612;_T;ES;4238;HAB;12767.0;A
2021;ES612;_T;ES;4239;HAB;12452.0;A
2021;ES612;_T;ES;4240;HAB;11364.0;A
2021;ES612;_T;ES;Y70-74;HAB;51788.0;A
2021;ES612;_T;ES;4242;HAB;10274.0;A
2021;ES612;_T;ES;4243;HAB;10758.0;A
2021;ES612;_T;ES;4244;HAB;11347.0;A
2021;ES612;_T;ES;4245;HAB;9912.0;A
