TEMPORAL;NACIONALIDAD;TERRITORIO;SEXO;EDAD;INDICATOR;OBS_VALUE;FREQ
2006;OTHER_SPAIN;ES61;_T;TOTAL;HAB;488928.0;A
2006;OTHER_SPAIN;ES61;_T;Y1-4;HAB;18242.0;A
2006;OTHER_SPAIN;ES61;_T;Y5-9;HAB;22050.0;A
2006;OTHER_SPAIN;ES61;_T;Y10-14;HAB;22755.0;A
2006;OTHER_SPAIN;ES61;_T;Y15-19;HAB;23394.0;A
2006;OTHER_SPAIN;ES61;_T;Y20-24;HAB;43889.0;A
2006;OTHER_SPAIN;ES61;_T;Y25-29;HAB;67937.0;A
2006;OTHER_SPAIN;ES61;_T;Y30-34;HAB;63133.0;A
2006;OTHER_SPAIN;ES61;_T;Y35-39;HAB;53491.0;A
2006;OTHER_SPAIN;ES61;_T;Y40-44;HAB;40784.0;A
2006;OTHER_SPAIN;ES61;_T;Y45-49;HAB;30943.0;A
2006;OTHER_SPAIN;ES61;_T;Y50-54;HAB;23231.0;A
2006;OTHER_SPAIN;ES61;_T;Y55-59;HAB;21041.0;A
2006;OTHER_SPAIN;ES61;_T;Y60-64;HAB;18443.0;A
2006;OTHER_SPAIN;ES61;_T;Y65-69;HAB;15846.0;A
2006;OTHER_SPAIN;ES61;_T;Y70-74;HAB;10396.0;A
2006;OTHER_SPAIN;ES61;_T;Y75-79;HAB;6532.0;A
2006;OTHER_SPAIN;ES61;_T;Y80-84;HAB;4053.0;A
2006;OTHER_SPAIN;ES61;_T;Y85-89;HAB;1766.0;A
2006;OTHER_SPAIN;ES61;_T;Y90-94;HAB;752.0;A
2006;OTHER_SPAIN;ES61;_T;Y95-99;HAB;204.0;A
2006;OTHER_SPAIN;ES61;_T;Y_GE100;HAB;46.0;A
2006;OTHER_SPAIN;ES61;M;TOTAL;HAB;266149.0;A
2006;OTHER_SPAIN;ES61;M;Y1-4;HAB;9572.0;A
2006;OTHER_SPAIN;ES61;M;Y5-9;HAB;11514.0;A
2006;OTHER_SPAIN;ES61;M;Y10-14;HAB;11841.0;A
2006;OTHER_SPAIN;ES61;M;Y15-19;HAB;12564.0;A
2006;OTHER_SPAIN;ES61;M;Y20-24;HAB;24157.0;A
2006;OTHER_SPAIN;ES61;M;Y25-29;HAB;39224.0;A
2006;OTHER_SPAIN;ES61;M;Y30-34;HAB;36559.0;A
2006;OTHER_SPAIN;ES61;M;Y35-39;HAB;30376.0;A
2006;OTHER_SPAIN;ES61;M;Y40-44;HAB;22146.0;A
2006;OTHER_SPAIN;ES61;M;Y45-49;HAB;16159.0;A
2006;OTHER_SPAIN;ES61;M;Y50-54;HAB;11573.0;A
2006;OTHER_SPAIN;ES61;M;Y55-59;HAB;10291.0;A
2006;OTHER_SPAIN;ES61;M;Y60-64;HAB;9364.0;A
2006;OTHER_SPAIN;ES61;M;Y65-69;HAB;8392.0;A
2006;OTHER_SPAIN;ES61;M;Y70-74;HAB;5643.0;A
2006;OTHER_SPAIN;ES61;M;Y75-79;HAB;3460.0;A
2006;OTHER_SPAIN;ES61;M;Y80-84;HAB;2016.0;A
2006;OTHER_SPAIN;ES61;M;Y85-89;HAB;852.0;A
2006;OTHER_SPAIN;ES61;M;Y90-94;HAB;339.0;A
2006;OTHER_SPAIN;ES61;M;Y95-99;HAB;85.0;A
2006;OTHER_SPAIN;ES61;M;Y_GE100;HAB;22.0;A
2006;OTHER_SPAIN;ES61;F;TOTAL;HAB;222779.0;A
2006;OTHER_SPAIN;ES61;F;Y1-4;HAB;8670.0;A
2006;OTHER_SPAIN;ES61;F;Y5-9;HAB;10536.0;A
2006;OTHER_SPAIN;ES61;F;Y10-14;HAB;10914.0;A
2006;OTHER_SPAIN;ES61;F;Y15-19;HAB;10830.0;A
2006;OTHER_SPAIN;ES61;F;Y20-24;HAB;19732.0;A
2006;OTHER_SPAIN;ES61;F;Y25-29;HAB;28713.0;A
2006;OTHER_SPAIN;ES61;F;Y30-34;HAB;26574.0;A
2006;OTHER_SPAIN;ES61;F;Y35-39;HAB;23115.0;A
2006;OTHER_SPAIN;ES61;F;Y40-44;HAB;18638.0;A
2006;OTHER_SPAIN;ES61;F;Y45-49;HAB;14784.0;A
2006;OTHER_SPAIN;ES61;F;Y50-54;HAB;11658.0;A
2006;OTHER_SPAIN;ES61;F;Y55-59;HAB;10750.0;A
2006;OTHER_SPAIN;ES61;F;Y60-64;HAB;9079.0;A
2006;OTHER_SPAIN;ES61;F;Y65-69;HAB;7454.0;A
2006;OTHER_SPAIN;ES61;F;Y70-74;HAB;4753.0;A
2006;OTHER_SPAIN;ES61;F;Y75-79;HAB;3072.0;A
2006;OTHER_SPAIN;ES61;F;Y80-84;HAB;2037.0;A
2006;OTHER_SPAIN;ES61;F;Y85-89;HAB;914.0;A
2006;OTHER_SPAIN;ES61;F;Y90-94;HAB;413.0;A
2006;OTHER_SPAIN;ES61;F;Y95-99;HAB;119.0;A
2006;OTHER_SPAIN;ES61;F;Y_GE100;HAB;24.0;A
2006;OTHER_SPAIN;ES611;_T;TOTAL;HAB;110656.0;A
2006;OTHER_SPAIN;ES611;_T;Y1-4;HAB;5190.0;A
2006;OTHER_SPAIN;ES611;_T;Y5-9;HAB;5266.0;A
2006;OTHER_SPAIN;ES611;_T;Y10-14;HAB;5300.0;A
2006;OTHER_SPAIN;ES611;_T;Y15-19;HAB;5616.0;A
2006;OTHER_SPAIN;ES611;_T;Y20-24;HAB;12322.0;A
2006;OTHER_SPAIN;ES611;_T;Y25-29;HAB;19192.0;A
2006;OTHER_SPAIN;ES611;_T;Y30-34;HAB;16406.0;A
2006;OTHER_SPAIN;ES611;_T;Y35-39;HAB;12337.0;A
2006;OTHER_SPAIN;ES611;_T;Y40-44;HAB;8301.0;A
2006;OTHER_SPAIN;ES611;_T;Y45-49;HAB;5894.0;A
2006;OTHER_SPAIN;ES611;_T;Y50-54;HAB;3993.0;A
2006;OTHER_SPAIN;ES611;_T;Y55-59;HAB;3495.0;A
2006;OTHER_SPAIN;ES611;_T;Y60-64;HAB;2875.0;A
2006;OTHER_SPAIN;ES611;_T;Y65-69;HAB;2251.0;A
2006;OTHER_SPAIN;ES611;_T;Y70-74;HAB;1185.0;A
2006;OTHER_SPAIN;ES611;_T;Y75-79;HAB;593.0;A
2006;OTHER_SPAIN;ES611;_T;Y80-84;HAB;293.0;A
2006;OTHER_SPAIN;ES611;_T;Y85-89;HAB;94.0;A
2006;OTHER_SPAIN;ES611;_T;Y90-94;HAB;41.0;A
2006;OTHER_SPAIN;ES611;_T;Y95-99;HAB;10.0;A
2006;OTHER_SPAIN;ES611;_T;Y_GE100;HAB;2.0;A
2006;OTHER_SPAIN;ES611;M;TOTAL;HAB;68824.0;A
2006;OTHER_SPAIN;ES611;M;Y1-4;HAB;2680.0;A
2006;OTHER_SPAIN;ES611;M;Y5-9;HAB;2779.0;A
2006;OTHER_SPAIN;ES611;M;Y10-14;HAB;2764.0;A
2006;OTHER_SPAIN;ES611;M;Y15-19;HAB;3133.0;A
2006;OTHER_SPAIN;ES611;M;Y20-24;HAB;8047.0;A
2006;OTHER_SPAIN;ES611;M;Y25-29;HAB;13164.0;A
2006;OTHER_SPAIN;ES611;M;Y30-34;HAB;11167.0;A
2006;OTHER_SPAIN;ES611;M;Y35-39;HAB;8274.0;A
2006;OTHER_SPAIN;ES611;M;Y40-44;HAB;5327.0;A
2006;OTHER_SPAIN;ES611;M;Y45-49;HAB;3590.0;A
2006;OTHER_SPAIN;ES611;M;Y50-54;HAB;2224.0;A
2006;OTHER_SPAIN;ES611;M;Y55-59;HAB;1727.0;A
2006;OTHER_SPAIN;ES611;M;Y60-64;HAB;1474.0;A
2006;OTHER_SPAIN;ES611;M;Y65-69;HAB;1270.0;A
2006;OTHER_SPAIN;ES611;M;Y70-74;HAB;655.0;A
2006;OTHER_SPAIN;ES611;M;Y75-79;HAB;315.0;A
2006;OTHER_SPAIN;ES611;M;Y80-84;HAB;167.0;A
