TEMPORAL;TERRITORIO;SEXO;NACIONALIDAD;EDAD;INDICATOR;OBS_VALUE;FREQ
2001;ES61;_T;TOTAL;Y64;HAB;71816.2765249;A
2001;ES61;_T;TOTAL;Y65-100;HAB;1089559.003023;A
2001;ES61;_T;TOTAL;Y65-69;HAB;346862.1556222;A
2001;ES61;_T;TOTAL;Y65;HAB;69770.073579;A
2001;ES61;_T;TOTAL;Y66;HAB;67428.9393437;A
2001;ES61;_T;TOTAL;Y67;HAB;72275.1356392;A
2001;ES61;_T;TOTAL;Y68;HAB;70661.9387446;A
2001;ES61;_T;TOTAL;Y69;HAB;66726.0683157;A
2001;ES61;_T;TOTAL;Y70-74;HAB;294325.8021507;A
2001;ES61;_T;TOTAL;Y70;HAB;65784.2264311;A
2001;ES61;_T;TOTAL;Y71;HAB;62123.113404;A
2001;ES61;_T;TOTAL;Y72;HAB;59474.2951881;A
2001;ES61;_T;TOTAL;Y73;HAB;53866.1585447;A
2001;ES61;_T;TOTAL;Y74;HAB;53078.0085828;A
2001;ES61;_T;TOTAL;Y75-79;HAB;218223.8428371;A
2001;ES61;_T;TOTAL;Y75;HAB;49552.0817105;A
2001;ES61;_T;TOTAL;Y76;HAB;46984.3154955;A
2001;ES61;_T;TOTAL;Y77;HAB;43588.2039656;A
2001;ES61;_T;TOTAL;Y78;HAB;41634.1419451;A
2001;ES61;_T;TOTAL;Y79;HAB;36465.0997204;A
2001;ES61;_T;TOTAL;Y80-84;HAB;127261.6274443;A
2001;ES61;_T;TOTAL;Y80;HAB;33570.2631597;A
2001;ES61;_T;TOTAL;Y81;HAB;27310.1815706;A
2001;ES61;_T;TOTAL;Y82;HAB;24981.0553764;A
2001;ES61;_T;TOTAL;Y83;HAB;22300.0490588;A
2001;ES61;_T;TOTAL;Y84;HAB;19100.0782788;A
2001;ES61;_T;TOTAL;Y85-89;HAB;69584.3056152;A
2001;ES61;_T;TOTAL;Y85;HAB;18297.0427197;A
2001;ES61;_T;TOTAL;Y86;HAB;16063.1634593;A
2001;ES61;_T;TOTAL;Y87;HAB;13728.0380908;A
2001;ES61;_T;TOTAL;Y88;HAB;11618.038386;A
2001;ES61;_T;TOTAL;Y89;HAB;9878.0229594;A
2001;ES61;_T;TOTAL;Y90-94;HAB;25887.2594696;A
2001;ES61;_T;TOTAL;Y90;HAB;8506.1240348;A
2001;ES61;_T;TOTAL;Y91;HAB;6155.0748179;A
2001;ES61;_T;TOTAL;Y92;HAB;4843.0233246;A
2001;ES61;_T;TOTAL;Y93;HAB;3749.0150257;A
2001;ES61;_T;TOTAL;Y94;HAB;2634.0222666;A
2001;ES61;_T;TOTAL;Y95-99;HAB;5756.9991068;A
2001;ES61;_T;TOTAL;Y95;HAB;2149.0050124;A
2001;ES61;_T;TOTAL;Y96;HAB;1322.9981484;A
2001;ES61;_T;TOTAL;Y97;HAB;1009.9979267;A
2001;ES61;_T;TOTAL;Y98;HAB;750.0100069;A
2001;ES61;_T;TOTAL;Y99;HAB;524.9880124;A
2001;ES61;_T;TOTAL;Y_GE100;HAB;1657.0107771;A
2001;ES61;_T;TOTAL;_Z;HAB;3993.0;A
2001;ES61;_T;ES;TOTAL;HAB;7235855.5262371;A
2001;ES61;_T;ES;Y_LT15;HAB;1236517.300677;A
2001;ES61;_T;ES;Y1-4;HAB;344511.8019884;A
2001;ES61;_T;ES;Y_LT1;HAB;63837.7439946;A
2001;ES61;_T;ES;Y1;HAB;63351.8304881;A
2001;ES61;_T;ES;Y2;HAB;70936.1925554;A
2001;ES61;_T;ES;Y3;HAB;73227.1559298;A
2001;ES61;_T;ES;Y4;HAB;73158.8790205;A
2001;ES61;_T;ES;Y5-9;HAB;425360.8012866;A
2001;ES61;_T;ES;Y5;HAB;79422.1069089;A
2001;ES61;_T;ES;Y6;HAB;80930.066462;A
2001;ES61;_T;ES;Y7;HAB;85894.8241535;A
2001;ES61;_T;ES;Y8;HAB;89902.8813734;A
2001;ES61;_T;ES;Y9;HAB;89210.9223888;A
2001;ES61;_T;ES;Y10-14;HAB;466644.697402;A
2001;ES61;_T;ES;Y10;HAB;91791.2235608;A
2001;ES61;_T;ES;Y11;HAB;92689.8334957;A
2001;ES61;_T;ES;Y12;HAB;92013.9117317;A
2001;ES61;_T;ES;Y13;HAB;93979.0332845;A
2001;ES61;_T;ES;Y14;HAB;96170.6953293;A
2001;ES61;_T;ES;Y15-29;HAB;1766469.2625557;A
2001;ES61;_T;ES;Y15-19;HAB;534113.1262037;A
2001;ES61;_T;ES;Y15;HAB;99506.9298621;A
2001;ES61;_T;ES;Y16;HAB;103402.7495892;A
2001;ES61;_T;ES;Y17;HAB;106303.7038808;A
2001;ES61;_T;ES;Y18;HAB;111176.6747125;A
2001;ES61;_T;ES;Y19;HAB;113723.0681591;A
2001;ES61;_T;ES;Y20-24;HAB;619476.4295142;A
2001;ES61;_T;ES;Y20;HAB;120231.8782858;A
2001;ES61;_T;ES;Y21;HAB;121188.738149;A
2001;ES61;_T;ES;Y22;HAB;125299.6863461;A
2001;ES61;_T;ES;Y23;HAB;125551.530441;A
2001;ES61;_T;ES;Y24;HAB;127204.5962923;A
2001;ES61;_T;ES;Y25-29;HAB;612879.7068378;A
2001;ES61;_T;ES;Y25;HAB;126186.0363863;A
2001;ES61;_T;ES;Y26;HAB;123702.897313;A
2001;ES61;_T;ES;Y27;HAB;121968.9559404;A
2001;ES61;_T;ES;Y28;HAB;121585.8294021;A
2001;ES61;_T;ES;Y29;HAB;119435.987796;A
2001;ES61;_T;ES;Y30-44;HAB;1693101.4641904;A
2001;ES61;_T;ES;Y30-34;HAB;600694.9043881;A
