TEMPORAL;EDAD;TERRITORIO;LUG_NAC_PADRON;SEXO;INDICATOR;OBS_VALUE;FREQ
2021;TOTAL;ES612;54888;_T;HAB;1245960.0;A
2021;TOTAL;ES612;54888;M;HAB;614084.0;A
2021;TOTAL;ES612;54888;F;HAB;631876.0;A
2021;TOTAL;ES612;53700;_T;HAB;1173162.0;A
2021;TOTAL;ES612;53700;M;HAB;579041.0;A
2021;TOTAL;ES612;53700;F;HAB;594121.0;A
2021;TOTAL;ES612;54560;_T;HAB;1098701.0;A
2021;TOTAL;ES612;54560;M;HAB;542497.0;A
2021;TOTAL;ES612;54560;F;HAB;556204.0;A
2021;TOTAL;ES612;53809;_T;HAB;1619.0;A
2021;TOTAL;ES612;53809;M;HAB;801.0;A
2021;TOTAL;ES612;53809;F;HAB;818.0;A
2021;TOTAL;ES612;53855;_T;HAB;1030334.0;A
2021;TOTAL;ES612;53855;M;HAB;510281.0;A
2021;TOTAL;ES612;53855;F;HAB;520053.0;A
2021;TOTAL;ES612;53933;_T;HAB;7281.0;A
2021;TOTAL;ES612;53933;M;HAB;3370.0;A
2021;TOTAL;ES612;53933;F;HAB;3911.0;A
2021;TOTAL;ES612;54155;_T;HAB;5237.0;A
2021;TOTAL;ES612;54155;M;HAB;2546.0;A
2021;TOTAL;ES612;54155;F;HAB;2691.0;A
2021;TOTAL;ES612;54236;_T;HAB;4145.0;A
2021;TOTAL;ES612;54236;M;HAB;1910.0;A
2021;TOTAL;ES612;54236;F;HAB;2235.0;A
2021;TOTAL;ES612;54344;_T;HAB;4785.0;A
2021;TOTAL;ES612;54344;M;HAB;2261.0;A
2021;TOTAL;ES612;54344;F;HAB;2524.0;A
2021;TOTAL;ES612;54452;_T;HAB;16762.0;A
2021;TOTAL;ES612;54452;M;HAB;7970.0;A
2021;TOTAL;ES612;54452;F;HAB;8792.0;A
2021;TOTAL;ES612;54559;_T;HAB;28538.0;A
2021;TOTAL;ES612;54559;M;HAB;13358.0;A
2021;TOTAL;ES612;54559;F;HAB;15180.0;A
2021;TOTAL;ES612;54565;_T;HAB;74461.0;A
2021;TOTAL;ES612;54565;M;HAB;36544.0;A
2021;TOTAL;ES612;54565;F;HAB;37917.0;A
2021;TOTAL;ES612;54887;_T;HAB;72798.0;A
2021;TOTAL;ES612;54887;M;HAB;35043.0;A
2021;TOTAL;ES612;54887;F;HAB;37755.0;A
2021;TOTAL;2353;54888;_T;HAB;5245.0;A
2021;TOTAL;2353;54888;M;HAB;2697.0;A
2021;TOTAL;2353;54888;F;HAB;2548.0;A
2021;TOTAL;2353;53700;_T;HAB;5120.0;A
2021;TOTAL;2353;53700;M;HAB;2639.0;A
2021;TOTAL;2353;53700;F;HAB;2481.0;A
2021;TOTAL;2353;54560;_T;HAB;5001.0;A
2021;TOTAL;2353;54560;M;HAB;2582.0;A
2021;TOTAL;2353;54560;F;HAB;2419.0;A
2021;TOTAL;2353;53809;_T;HAB;1.0;A
2021;TOTAL;2353;53809;F;HAB;1.0;A
2021;TOTAL;2353;53855;_T;HAB;4882.0;A
2021;TOTAL;2353;53855;M;HAB;2519.0;A
2021;TOTAL;2353;53855;F;HAB;2363.0;A
2021;TOTAL;2353;53933;_T;HAB;14.0;A
2021;TOTAL;2353;53933;M;HAB;9.0;A
2021;TOTAL;2353;53933;F;HAB;5.0;A
2021;TOTAL;2353;54155;_T;HAB;6.0;A
2021;TOTAL;2353;54155;M;HAB;4.0;A
2021;TOTAL;2353;54155;F;HAB;2.0;A
2021;TOTAL;2353;54236;_T;HAB;7.0;A
2021;TOTAL;2353;54236;M;HAB;3.0;A
2021;TOTAL;2353;54236;F;HAB;4.0;A
2021;TOTAL;2353;54344;_T;HAB;15.0;A
2021;TOTAL;2353;54344;M;HAB;9.0;A
2021;TOTAL;2353;54344;F;HAB;6.0;A
2021;TOTAL;2353;54452;_T;HAB;46.0;A
2021;TOTAL;2353;54452;M;HAB;25.0;A
2021;TOTAL;2353;54452;F;HAB;21.0;A
2021;TOTAL;2353;54559;_T;HAB;30.0;A
2021;TOTAL;2353;54559;M;HAB;13.0;A
2021;TOTAL;2353;54559;F;HAB;17.0;A
2021;TOTAL;2353;54565;_T;HAB;119.0;A
2021;TOTAL;2353;54565;M;HAB;57.0;A
2021;TOTAL;2353;54565;F;HAB;62.0;A
2021;TOTAL;2353;54887;_T;HAB;125.0;A
