TEMPORAL;NACIONALIDAD;TERRITORIO;SEXO;EDAD;INDICATOR;OBS_VALUE;FREQ
2016;OTHER_SPAIN;ES61;_T;TOTAL;HAB;620006.0;A
2016;OTHER_SPAIN;ES61;_T;Y1-4;HAB;31456.0;A
2016;OTHER_SPAIN;ES61;_T;Y5-9;HAB;28540.0;A
2016;OTHER_SPAIN;ES61;_T;Y10-14;HAB;24724.0;A
2016;OTHER_SPAIN;ES61;_T;Y15-19;HAB;28386.0;A
2016;OTHER_SPAIN;ES61;_T;Y20-24;HAB;35723.0;A
2016;OTHER_SPAIN;ES61;_T;Y25-29;HAB;52292.0;A
2016;OTHER_SPAIN;ES61;_T;Y30-34;HAB;70595.0;A
2016;OTHER_SPAIN;ES61;_T;Y35-39;HAB;76814.0;A
2016;OTHER_SPAIN;ES61;_T;Y40-44;HAB;62691.0;A
2016;OTHER_SPAIN;ES61;_T;Y45-49;HAB;50140.0;A
2016;OTHER_SPAIN;ES61;_T;Y50-54;HAB;37257.0;A
2016;OTHER_SPAIN;ES61;_T;Y55-59;HAB;29437.0;A
2016;OTHER_SPAIN;ES61;_T;Y60-64;HAB;24505.0;A
2016;OTHER_SPAIN;ES61;_T;Y65-69;HAB;25686.0;A
2016;OTHER_SPAIN;ES61;_T;Y70-74;HAB;19707.0;A
2016;OTHER_SPAIN;ES61;_T;Y75-79;HAB;12349.0;A
2016;OTHER_SPAIN;ES61;_T;Y80-84;HAB;5809.0;A
2016;OTHER_SPAIN;ES61;_T;Y85-89;HAB;2549.0;A
2016;OTHER_SPAIN;ES61;_T;Y90-94;HAB;1032.0;A
2016;OTHER_SPAIN;ES61;_T;Y95-99;HAB;260.0;A
2016;OTHER_SPAIN;ES61;_T;Y_GE100;HAB;54.0;A
2016;OTHER_SPAIN;ES61;M;TOTAL;HAB;316798.0;A
2016;OTHER_SPAIN;ES61;M;Y1-4;HAB;16192.0;A
2016;OTHER_SPAIN;ES61;M;Y5-9;HAB;14629.0;A
