TEMPORAL;EDAD;TERRITORIO;LUG_NAC_PADRON;SEXO;INDICATOR;OBS_VALUE;FREQ
2021;TOTAL;ES616;54888;_T;HAB;627190.0;A
2021;TOTAL;ES616;54888;M;HAB;310323.0;A
2021;TOTAL;ES616;54888;F;HAB;316867.0;A
2021;TOTAL;ES616;53700;_T;HAB;603986.0;A
2021;TOTAL;ES616;53700;M;HAB;298559.0;A
2021;TOTAL;ES616;53700;F;HAB;305427.0;A
2021;TOTAL;ES616;54560;_T;HAB;569950.0;A
2021;TOTAL;ES616;54560;M;HAB;282479.0;A
2021;TOTAL;ES616;54560;F;HAB;287471.0;A
2021;TOTAL;ES616;53809;_T;HAB;1436.0;A
2021;TOTAL;ES616;53809;M;HAB;689.0;A
2021;TOTAL;ES616;53809;F;HAB;747.0;A
2021;TOTAL;ES616;53855;_T;HAB;1531.0;A
2021;TOTAL;ES616;53855;M;HAB;764.0;A
2021;TOTAL;ES616;53855;F;HAB;767.0;A
2021;TOTAL;ES616;53933;_T;HAB;7780.0;A
2021;TOTAL;ES616;53933;M;HAB;3556.0;A
2021;TOTAL;ES616;53933;F;HAB;4224.0;A
2021;TOTAL;ES616;54155;_T;HAB;10322.0;A
2021;TOTAL;ES616;54155;M;HAB;4922.0;A
2021;TOTAL;ES616;54155;F;HAB;5400.0;A
2021;TOTAL;ES616;54236;_T;HAB;520.0;A
2021;TOTAL;ES616;54236;M;HAB;253.0;A
2021;TOTAL;ES616;54236;F;HAB;267.0;A
2021;TOTAL;ES616;54344;_T;HAB;543699.0;A
2021;TOTAL;ES616;54344;M;HAB;270069.0;A
2021;TOTAL;ES616;54344;F;HAB;273630.0;A
2021;TOTAL;ES616;54452;_T;HAB;1928.0;A
2021;TOTAL;ES616;54452;M;HAB;930.0;A
2021;TOTAL;ES616;54452;F;HAB;998.0;A
2021;TOTAL;ES616;54559;_T;HAB;2734.0;A
2021;TOTAL;ES616;54559;M;HAB;1296.0;A
2021;TOTAL;ES616;54559;F;HAB;1438.0;A
2021;TOTAL;ES616;54565;_T;HAB;34036.0;A
2021;TOTAL;ES616;54565;M;HAB;16080.0;A
2021;TOTAL;ES616;54565;F;HAB;17956.0;A
2021;TOTAL;ES616;54887;_T;HAB;23204.0;A
2021;TOTAL;ES616;54887;M;HAB;11764.0;A
2021;TOTAL;ES616;54887;F;HAB;11440.0;A
2021;TOTAL;2798;54888;_T;HAB;992.0;A
2021;TOTAL;2798;54888;M;HAB;519.0;A
2021;TOTAL;2798;54888;F;HAB;473.0;A
2021;TOTAL;2798;53700;_T;HAB;964.0;A
2021;TOTAL;2798;53700;M;HAB;501.0;A
2021;TOTAL;2798;53700;F;HAB;463.0;A
2021;TOTAL;2798;54560;_T;HAB;919.0;A
2021;TOTAL;2798;54560;M;HAB;480.0;A
2021;TOTAL;2798;54560;F;HAB;439.0;A
2021;TOTAL;2798;53933;_T;HAB;1.0;A
2021;TOTAL;2798;53933;F;HAB;1.0;A
2021;TOTAL;2798;54155;_T;HAB;8.0;A
2021;TOTAL;2798;54155;M;HAB;2.0;A
2021;TOTAL;2798;54155;F;HAB;6.0;A
2021;TOTAL;2798;54344;_T;HAB;904.0;A
2021;TOTAL;2798;54344;M;HAB;475.0;A
2021;TOTAL;2798;54344;F;HAB;429.0;A
2021;TOTAL;2798;54452;_T;HAB;3.0;A
2021;TOTAL;2798;54452;F;HAB;3.0;A
2021;TOTAL;2798;54559;_T;HAB;3.0;A
2021;TOTAL;2798;54559;M;HAB;3.0;A
2021;TOTAL;2798;54565;_T;HAB;45.0;A
2021;TOTAL;2798;54565;M;HAB;21.0;A
2021;TOTAL;2798;54565;F;HAB;24.0;A
2021;TOTAL;2798;54887;_T;HAB;28.0;A
2021;TOTAL;2798;54887;M;HAB;18.0;A
2021;TOTAL;2798;54887;F;HAB;10.0;A
2021;TOTAL;2800;54888;_T;HAB;21623.0;A
2021;TOTAL;2800;54888;M;HAB;10662.0;A
2021;TOTAL;2800;54888;F;HAB;10961.0;A
2021;TOTAL;2800;53700;_T;HAB;20401.0;A
2021;TOTAL;2800;53700;M;HAB;10027.0;A
2021;TOTAL;2800;53700;F;HAB;10374.0;A
2021;TOTAL;2800;54560;_T;HAB;19556.0;A
2021;TOTAL;2800;54560;M;HAB;9628.0;A
2021;TOTAL;2800;54560;F;HAB;9928.0;A
2021;TOTAL;2800;53809;_T;HAB;45.0;A
2021;TOTAL;2800;53809;M;HAB;18.0;A
2021;TOTAL;2800;53809;F;HAB;27.0;A
