TEMPORAL;EDAD;TERRITORIO;SEXO;RELAC_RESID_NAC;INDICATOR;OBS_VALUE;FREQ
2021;TOTAL;ES61;_T;53588;HAB;8472407.0;A
2021;TOTAL;ES61;_T;53583;HAB;4505119.0;A
2021;TOTAL;ES61;_T;53584;HAB;1969353.0;A
2021;TOTAL;ES61;_T;53585;HAB;564146.0;A
2021;TOTAL;ES61;_T;53586;HAB;538886.0;A
2021;TOTAL;ES61;_T;53587;HAB;894903.0;A
2021;TOTAL;ES61;M;53588;HAB;4173339.0;A
2021;TOTAL;ES61;M;53583;HAB;2249390.0;A
2021;TOTAL;ES61;M;53584;HAB;963516.0;A
2021;TOTAL;ES61;M;53585;HAB;264823.0;A
2021;TOTAL;ES61;M;53586;HAB;257223.0;A
2021;TOTAL;ES61;M;53587;HAB;438387.0;A
2021;TOTAL;ES61;F;53588;HAB;4299068.0;A
2021;TOTAL;ES61;F;53583;HAB;2255729.0;A
2021;TOTAL;ES61;F;53584;HAB;1005837.0;A
2021;TOTAL;ES61;F;53585;HAB;299323.0;A
2021;TOTAL;ES61;F;53586;HAB;281663.0;A
2021;TOTAL;ES61;F;53587;HAB;456516.0;A
2021;TOTAL;ES611;_T;53588;HAB;731792.0;A
2021;TOTAL;ES611;_T;53583;HAB;294518.0;A
2021;TOTAL;ES611;_T;53584;HAB;170365.0;A
2021;TOTAL;ES611;_T;53585;HAB;55285.0;A
2021;TOTAL;ES611;_T;53586;HAB;48868.0;A
2021;TOTAL;ES611;_T;53587;HAB;162756.0;A
2021;TOTAL;ES611;M;53588;HAB;373136.0;A
2021;TOTAL;ES611;M;53583;HAB;148093.0;A
2021;TOTAL;ES611;M;53584;HAB;84118.0;A
2021;TOTAL;ES611;M;53585;HAB;26757.0;A
2021;TOTAL;ES611;M;53586;HAB;23919.0;A
2021;TOTAL;ES611;M;53587;HAB;90249.0;A
2021;TOTAL;ES611;F;53588;HAB;358656.0;A
2021;TOTAL;ES611;F;53583;HAB;146425.0;A
2021;TOTAL;ES611;F;53584;HAB;86247.0;A
2021;TOTAL;ES611;F;53585;HAB;28528.0;A
2021;TOTAL;ES611;F;53586;HAB;24949.0;A
2021;TOTAL;ES611;F;53587;HAB;72507.0;A
2021;TOTAL;ES612;_T;53588;HAB;1245960.0;A
2021;TOTAL;ES612;_T;53583;HAB;770125.0;A
2021;TOTAL;ES612;_T;53584;HAB;260209.0;A
2021;TOTAL;ES612;_T;53585;HAB;68367.0;A
2021;TOTAL;ES612;_T;53586;HAB;74461.0;A
2021;TOTAL;ES612;_T;53587;HAB;72798.0;A
2021;TOTAL;ES612;M;53588;HAB;614084.0;A
2021;TOTAL;ES612;M;53583;HAB;382781.0;A
2021;TOTAL;ES612;M;53584;HAB;127500.0;A
2021;TOTAL;ES612;M;53585;HAB;32216.0;A
2021;TOTAL;ES612;M;53586;HAB;36544.0;A
2021;TOTAL;ES612;M;53587;HAB;35043.0;A
2021;TOTAL;ES612;F;53588;HAB;631876.0;A
2021;TOTAL;ES612;F;53583;HAB;387344.0;A
2021;TOTAL;ES612;F;53584;HAB;132709.0;A
2021;TOTAL;ES612;F;53585;HAB;36151.0;A
2021;TOTAL;ES612;F;53586;HAB;37917.0;A
2021;TOTAL;ES612;F;53587;HAB;37755.0;A
2021;TOTAL;ES613;_T;53588;HAB;776789.0;A
2021;TOTAL;ES613;_T;53583;HAB;540260.0;A
2021;TOTAL;ES613;_T;53584;HAB;123274.0;A
2021;TOTAL;ES613;_T;53585;HAB;40229.0;A
2021;TOTAL;ES613;_T;53586;HAB;41393.0;A
2021;TOTAL;ES613;_T;53587;HAB;31633.0;A
2021;TOTAL;ES613;M;53588;HAB;380473.0;A
2021;TOTAL;ES613;M;53583;HAB;270230.0;A
2021;TOTAL;ES613;M;53584;HAB;58080.0;A
2021;TOTAL;ES613;M;53585;HAB;18464.0;A
2021;TOTAL;ES613;M;53586;HAB;19486.0;A
2021;TOTAL;ES613;M;53587;HAB;14213.0;A
2021;TOTAL;ES613;F;53588;HAB;396316.0;A
2021;TOTAL;ES613;F;53583;HAB;270030.0;A
2021;TOTAL;ES613;F;53584;HAB;65194.0;A
2021;TOTAL;ES613;F;53585;HAB;21765.0;A
2021;TOTAL;ES613;F;53586;HAB;21907.0;A
2021;TOTAL;ES613;F;53587;HAB;17420.0;A
2021;TOTAL;ES614;_T;53588;HAB;921338.0;A
2021;TOTAL;ES614;_T;53583;HAB;431539.0;A
2021;TOTAL;ES614;_T;53584;HAB;274974.0;A
2021;TOTAL;ES614;_T;53585;HAB;60942.0;A
2021;TOTAL;ES614;_T;53586;HAB;63042.0;A
2021;TOTAL;ES614;_T;53587;HAB;90841.0;A
2021;TOTAL;ES614;M;53588;HAB;453683.0;A
2021;TOTAL;ES614;M;53583;HAB;217423.0;A
2021;TOTAL;ES614;M;53584;HAB;132802.0;A
2021;TOTAL;ES614;M;53585;HAB;28047.0;A
2021;TOTAL;ES614;M;53586;HAB;30020.0;A
2021;TOTAL;ES614;M;53587;HAB;45391.0;A
2021;TOTAL;ES614;F;53588;HAB;467655.0;A
2021;TOTAL;ES614;F;53583;HAB;214116.0;A
2021;TOTAL;ES614;F;53584;HAB;142172.0;A
2021;TOTAL;ES614;F;53585;HAB;32895.0;A
