TEMPORAL;LUG_NAC_PADRON;TERRITORIO;SEXO;INDICATOR;OBS_VALUE;FREQ
2021;54887;ES616;_T;HAB;23204.0;A
2021;54887;ES616;M;HAB;11764.0;A
2021;54887;ES616;F;HAB;11440.0;A
2021;54887;2798;_T;HAB;28.0;A
2021;54887;2798;M;HAB;18.0;A
2021;54887;2798;F;HAB;10.0;A
2021;54887;2800;_T;HAB;1222.0;A
2021;54887;2800;M;HAB;635.0;A
2021;54887;2800;F;HAB;587.0;A
2021;54887;2801;_T;HAB;456.0;A
2021;54887;2801;M;HAB;202.0;A
2021;54887;2801;F;HAB;254.0;A
2021;54887;2802;_T;HAB;15.0;A
2021;54887;2802;M;HAB;5.0;A
2021;54887;2802;F;HAB;10.0;A
2021;54887;2803;_T;HAB;930.0;A
2021;54887;2803;M;HAB;405.0;A
2021;54887;2803;F;HAB;525.0;A
2021;54887;2804;_T;HAB;69.0;A
2021;54887;2804;M;HAB;29.0;A
2021;54887;2804;F;HAB;40.0;A
2021;54887;2805;_T;HAB;86.0;A
2021;54887;2805;M;HAB;47.0;A
2021;54887;2805;F;HAB;39.0;A
2021;54887;2806;_T;HAB;28.0;A
2021;54887;2806;M;HAB;19.0;A
2021;54887;2806;F;HAB;9.0;A
2021;54887;2907;_T;HAB;163.0;A
2021;54887;2907;M;HAB;105.0;A
2021;54887;2907;F;HAB;58.0;A
2021;54887;2807;_T;HAB;631.0;A
2021;54887;2807;M;HAB;301.0;A
2021;54887;2807;F;HAB;330.0;A
2021;54887;2808;_T;HAB;359.0;A
2021;54887;2808;M;HAB;188.0;A
2021;54887;2808;F;HAB;171.0;A
2021;54887;2809;_T;HAB;25.0;A
2021;54887;2809;M;HAB;11.0;A
2021;54887;2809;F;HAB;14.0;A
2021;54887;2810;_T;HAB;454.0;A
2021;54887;2810;M;HAB;305.0;A
2021;54887;2810;F;HAB;149.0;A
2021;54887;2904;_T;HAB;47.0;A
2021;54887;2904;M;HAB;22.0;A
2021;54887;2904;F;HAB;25.0;A
2021;54887;2812;_T;HAB;58.0;A
2021;54887;2812;M;HAB;21.0;A
2021;54887;2812;F;HAB;37.0;A
2021;54887;2813;_T;HAB;63.0;A
2021;54887;2813;M;HAB;37.0;A
2021;54887;2813;F;HAB;26.0;A
2021;54887;2814;_T;HAB;29.0;A
2021;54887;2814;M;HAB;9.0;A
2021;54887;2814;F;HAB;20.0;A
2021;54887;2815;_T;HAB;37.0;A
2021;54887;2815;M;HAB;20.0;A
2021;54887;2815;F;HAB;17.0;A
2021;54887;2816;_T;HAB;104.0;A
2021;54887;2816;M;HAB;64.0;A
2021;54887;2816;F;HAB;40.0;A
2021;54887;2817;_T;HAB;63.0;A
2021;54887;2817;M;HAB;33.0;A
2021;54887;2817;F;HAB;30.0;A
2021;54887;2818;_T;HAB;115.0;A
2021;54887;2818;M;HAB;84.0;A
2021;54887;2818;F;HAB;31.0;A
2021;54887;2819;_T;HAB;15.0;A
2021;54887;2819;M;HAB;8.0;A
2021;54887;2819;F;HAB;7.0;A
2021;54887;2903;_T;HAB;56.0;A
2021;54887;2903;M;HAB;31.0;A
2021;54887;2903;F;HAB;25.0;A
2021;54887;2822;_T;HAB;378.0;A
2021;54887;2822;M;HAB;166.0;A
2021;54887;2822;F;HAB;212.0;A
2021;54887;2823;_T;HAB;74.0;A
2021;54887;2823;M;HAB;37.0;A
2021;54887;2823;F;HAB;37.0;A
2021;54887;2825;_T;HAB;323.0;A
2021;54887;2825;M;HAB;168.0;A
2021;54887;2825;F;HAB;155.0;A
2021;54887;2826;_T;HAB;15.0;A
2021;54887;2826;M;HAB;7.0;A
2021;54887;2826;F;HAB;8.0;A
2021;54887;2827;_T;HAB;249.0;A
2021;54887;2827;M;HAB;123.0;A
2021;54887;2827;F;HAB;126.0;A
2021;54887;2828;_T;HAB;48.0;A
2021;54887;2828;M;HAB;28.0;A
2021;54887;2828;F;HAB;20.0;A
2021;54887;2829;_T;HAB;37.0;A
2021;54887;2829;M;HAB;21.0;A
2021;54887;2829;F;HAB;16.0;A
2021;54887;2830;_T;HAB;26.0;A
2021;54887;2830;M;HAB;9.0;A
2021;54887;2830;F;HAB;17.0;A
2021;54887;2831;_T;HAB;6.0;A
2021;54887;2831;M;HAB;2.0;A
2021;54887;2831;F;HAB;4.0;A
2021;54887;2832;_T;HAB;102.0;A
2021;54887;2832;M;HAB;45.0;A
2021;54887;2832;F;HAB;57.0;A
2021;54887;2833;_T;HAB;170.0;A
2021;54887;2833;M;HAB;94.0;A
2021;54887;2833;F;HAB;76.0;A
2021;54887;2834;_T;HAB;66.0;A
2021;54887;2834;M;HAB;46.0;A
2021;54887;2834;F;HAB;20.0;A
2021;54887;2836;_T;HAB;23.0;A
2021;54887;2836;M;HAB;13.0;A
2021;54887;2836;F;HAB;10.0;A
2021;54887;2837;_T;HAB;127.0;A
2021;54887;2837;M;HAB;57.0;A
2021;54887;2837;F;HAB;70.0;A
2021;54887;2838;_T;HAB;60.0;A
2021;54887;2838;M;HAB;31.0;A
2021;54887;2838;F;HAB;29.0;A
2021;54887;2841;_T;HAB;23.0;A
2021;54887;2841;M;HAB;16.0;A
2021;54887;2841;F;HAB;7.0;A
2021;54887;2842;_T;HAB;43.0;A
2021;54887;2842;M;HAB;22.0;A
2021;54887;2842;F;HAB;21.0;A
2021;54887;2843;_T;HAB;16.0;A
2021;54887;2843;M;HAB;9.0;A
2021;54887;2843;F;HAB;7.0;A
2021;54887;2844;_T;HAB;141.0;A
2021;54887;2844;M;HAB;73.0;A
2021;54887;2844;F;HAB;68.0;A
2021;54887;2845;_T;HAB;86.0;A
2021;54887;2845;M;HAB;42.0;A
