TEMPORAL;EDAD;TERRITORIO;SEXO;RELAC_RESID_NAC;INDICATOR;OBS_VALUE;FREQ
2006;TOTAL;ES61;_T;53588;HAB;7975672.0;A
2006;TOTAL;ES61;_T;53583;HAB;4449905.0;A
2006;TOTAL;ES61;_T;53584;HAB;1870129.0;A
2006;TOTAL;ES61;_T;53585;HAB;556097.0;A
2006;TOTAL;ES61;_T;53586;HAB;511274.0;A
2006;TOTAL;ES61;_T;53587;HAB;588267.0;A
2006;TOTAL;ES61;M;53588;HAB;3958565.0;A
2006;TOTAL;ES61;M;53583;HAB;2227244.0;A
2006;TOTAL;ES61;M;53584;HAB;911326.0;A
2006;TOTAL;ES61;M;53585;HAB;261061.0;A
2006;TOTAL;ES61;M;53586;HAB;245175.0;A
2006;TOTAL;ES61;M;53587;HAB;313759.0;A
2006;TOTAL;ES61;F;53588;HAB;4017107.0;A
2006;TOTAL;ES61;F;53583;HAB;2222661.0;A
2006;TOTAL;ES61;F;53584;HAB;958803.0;A
2006;TOTAL;ES61;F;53585;HAB;295036.0;A
2006;TOTAL;ES61;F;53586;HAB;266099.0;A
2006;TOTAL;ES61;F;53587;HAB;274508.0;A
2006;TOTAL;ES611;_T;53588;HAB;635850.0;A
2006;TOTAL;ES611;_T;53583;HAB;260003.0;A
2006;TOTAL;ES611;_T;53584;HAB;162951.0;A
2006;TOTAL;ES611;_T;53585;HAB;53433.0;A
2006;TOTAL;ES611;_T;53586;HAB;42766.0;A
2006;TOTAL;ES611;_T;53587;HAB;116697.0;A
2006;TOTAL;ES611;M;53588;HAB;329632.0;A
2006;TOTAL;ES611;M;53583;HAB;130655.0;A
2006;TOTAL;ES611;M;53584;HAB;80120.0;A
2006;TOTAL;ES611;M;53585;HAB;26177.0;A
2006;TOTAL;ES611;M;53586;HAB;20964.0;A
2006;TOTAL;ES611;M;53587;HAB;71716.0;A
2006;TOTAL;ES611;F;53588;HAB;306218.0;A
2006;TOTAL;ES611;F;53583;HAB;129348.0;A
2006;TOTAL;ES611;F;53584;HAB;82831.0;A
2006;TOTAL;ES611;F;53585;HAB;27256.0;A
2006;TOTAL;ES611;F;53586;HAB;21802.0;A
2006;TOTAL;ES611;F;53587;HAB;44981.0;A
2006;TOTAL;ES612;_T;53588;HAB;1194062.0;A
2006;TOTAL;ES612;_T;53583;HAB;743141.0;A
2006;TOTAL;ES612;_T;53584;HAB;263947.0;A
