TEMPORAL;EDAD;TERRITORIO;LUG_NAC_PADRON;SEXO;INDICATOR;OBS_VALUE;FREQ
2021;TOTAL;2485;53700;F;HAB;8971.0;A
2021;TOTAL;2485;54560;_T;HAB;16447.0;A
2021;TOTAL;2485;54560;M;HAB;8170.0;A
2021;TOTAL;2485;54560;F;HAB;8277.0;A
2021;TOTAL;2485;53809;_T;HAB;167.0;A
2021;TOTAL;2485;53809;M;HAB;77.0;A
2021;TOTAL;2485;53809;F;HAB;90.0;A
2021;TOTAL;2485;53855;_T;HAB;117.0;A
2021;TOTAL;2485;53855;M;HAB;51.0;A
2021;TOTAL;2485;53855;F;HAB;66.0;A
2021;TOTAL;2485;53933;_T;HAB;206.0;A
2021;TOTAL;2485;53933;M;HAB;99.0;A
2021;TOTAL;2485;53933;F;HAB;107.0;A
2021;TOTAL;2485;54155;_T;HAB;14946.0;A
2021;TOTAL;2485;54155;M;HAB;7460.0;A
2021;TOTAL;2485;54155;F;HAB;7486.0;A
2021;TOTAL;2485;54236;_T;HAB;28.0;A
2021;TOTAL;2485;54236;M;HAB;17.0;A
2021;TOTAL;2485;54236;F;HAB;11.0;A
2021;TOTAL;2485;54344;_T;HAB;601.0;A
2021;TOTAL;2485;54344;M;HAB;277.0;A
2021;TOTAL;2485;54344;F;HAB;324.0;A
2021;TOTAL;2485;54452;_T;HAB;224.0;A
2021;TOTAL;2485;54452;M;HAB;108.0;A
2021;TOTAL;2485;54452;F;HAB;116.0;A
2021;TOTAL;2485;54559;_T;HAB;158.0;A
2021;TOTAL;2485;54559;M;HAB;81.0;A
2021;TOTAL;2485;54559;F;HAB;77.0;A
2021;TOTAL;2485;54565;_T;HAB;1350.0;A
2021;TOTAL;2485;54565;M;HAB;656.0;A
2021;TOTAL;2485;54565;F;HAB;694.0;A
2021;TOTAL;2485;54887;_T;HAB;1331.0;A
2021;TOTAL;2485;54887;M;HAB;602.0;A
2021;TOTAL;2485;54887;F;HAB;729.0;A
2021;TOTAL;2486;54888;_T;HAB;722.0;A
2021;TOTAL;2486;54888;M;HAB;398.0;A
2021;TOTAL;2486;54888;F;HAB;324.0;A
2021;TOTAL;2486;53700;_T;HAB;655.0;A
2021;TOTAL;2486;53700;M;HAB;367.0;A
2021;TOTAL;2486;53700;F;HAB;288.0;A
2021;TOTAL;2486;54560;_T;HAB;633.0;A
2021;TOTAL;2486;54560;M;HAB;351.0;A
2021;TOTAL;2486;54560;F;HAB;282.0;A
2021;TOTAL;2486;53809;_T;HAB;30.0;A
2021;TOTAL;2486;53809;M;HAB;17.0;A
2021;TOTAL;2486;53809;F;HAB;13.0;A
2021;TOTAL;2486;53933;_T;HAB;2.0;A
2021;TOTAL;2486;53933;M;HAB;2.0;A
2021;TOTAL;2486;54155;_T;HAB;590.0;A
2021;TOTAL;2486;54155;M;HAB;327.0;A
2021;TOTAL;2486;54155;F;HAB;263.0;A
2021;TOTAL;2486;54344;_T;HAB;1.0;A
2021;TOTAL;2486;54344;M;HAB;1.0;A
2021;TOTAL;2486;54452;_T;HAB;5.0;A
2021;TOTAL;2486;54452;M;HAB;4.0;A
2021;TOTAL;2486;54452;F;HAB;1.0;A
2021;TOTAL;2486;54559;_T;HAB;5.0;A
2021;TOTAL;2486;54559;F;HAB;5.0;A
2021;TOTAL;2486;54565;_T;HAB;22.0;A
2021;TOTAL;2486;54565;M;HAB;16.0;A
2021;TOTAL;2486;54565;F;HAB;6.0;A
2021;TOTAL;2486;54887;_T;HAB;67.0;A
2021;TOTAL;2486;54887;M;HAB;31.0;A
2021;TOTAL;2486;54887;F;HAB;36.0;A
2021;TOTAL;2487;54888;_T;HAB;403.0;A
2021;TOTAL;2487;54888;M;HAB;208.0;A
2021;TOTAL;2487;54888;F;HAB;195.0;A
2021;TOTAL;2487;53700;_T;HAB;387.0;A
2021;TOTAL;2487;53700;M;HAB;203.0;A
2021;TOTAL;2487;53700;F;HAB;184.0;A
2021;TOTAL;2487;54560;_T;HAB;347.0;A
2021;TOTAL;2487;54560;M;HAB;178.0;A
2021;TOTAL;2487;54560;F;HAB;169.0;A
2021;TOTAL;2487;53809;_T;HAB;10.0;A
2021;TOTAL;2487;53809;M;HAB;6.0;A
2021;TOTAL;2487;53809;F;HAB;4.0;A
2021;TOTAL;2487;54155;_T;HAB;332.0;A
2021;TOTAL;2487;54155;M;HAB;170.0;A
2021;TOTAL;2487;54155;F;HAB;162.0;A
2021;TOTAL;2487;54452;_T;HAB;4.0;A
2021;TOTAL;2487;54452;M;HAB;2.0;A
2021;TOTAL;2487;54452;F;HAB;2.0;A
2021;TOTAL;2487;54559;_T;HAB;1.0;A
2021;TOTAL;2487;54559;F;HAB;1.0;A
2021;TOTAL;2487;54565;_T;HAB;40.0;A
2021;TOTAL;2487;54565;M;HAB;25.0;A
2021;TOTAL;2487;54565;F;HAB;15.0;A
2021;TOTAL;2487;54887;_T;HAB;16.0;A
2021;TOTAL;2487;54887;M;HAB;5.0;A
2021;TOTAL;2487;54887;F;HAB;11.0;A
2021;TOTAL;2488;54888;_T;HAB;7473.0;A
2021;TOTAL;2488;54888;M;HAB;4135.0;A
2021;TOTAL;2488;54888;F;HAB;3338.0;A
2021;TOTAL;2488;53700;_T;HAB;5221.0;A
2021;TOTAL;2488;53700;M;HAB;2629.0;A
2021;TOTAL;2488;53700;F;HAB;2592.0;A
2021;TOTAL;2488;54560;_T;HAB;4994.0;A
2021;TOTAL;2488;54560;M;HAB;2518.0;A
2021;TOTAL;2488;54560;F;HAB;2476.0;A
2021;TOTAL;2488;53809;_T;HAB;211.0;A
2021;TOTAL;2488;53809;M;HAB;105.0;A
2021;TOTAL;2488;53809;F;HAB;106.0;A
2021;TOTAL;2488;53855;_T;HAB;5.0;A
2021;TOTAL;2488;53855;F;HAB;5.0;A
2021;TOTAL;2488;53933;_T;HAB;8.0;A
2021;TOTAL;2488;53933;M;HAB;6.0;A
2021;TOTAL;2488;53933;F;HAB;2.0;A
2021;TOTAL;2488;54155;_T;HAB;4712.0;A
2021;TOTAL;2488;54155;M;HAB;2375.0;A
2021;TOTAL;2488;54155;F;HAB;2337.0;A
2021;TOTAL;2488;54236;_T;HAB;2.0;A
2021;TOTAL;2488;54236;M;HAB;1.0;A
2021;TOTAL;2488;54236;F;HAB;1.0;A
2021;TOTAL;2488;54344;_T;HAB;16.0;A
2021;TOTAL;2488;54344;M;HAB;8.0;A
2021;TOTAL;2488;54344;F;HAB;8.0;A
2021;TOTAL;2488;54452;_T;HAB;26.0;A
2021;TOTAL;2488;54452;M;HAB;12.0;A
2021;TOTAL;2488;54452;F;HAB;14.0;A
2021;TOTAL;2488;54559;_T;HAB;14.0;A
2021;TOTAL;2488;54559;M;HAB;11.0;A
2021;TOTAL;2488;54559;F;HAB;3.0;A
2021;TOTAL;2488;54565;_T;HAB;227.0;A
2021;TOTAL;2488;54565;M;HAB;111.0;A
2021;TOTAL;2488;54565;F;HAB;116.0;A
2021;TOTAL;2488;54887;_T;HAB;2252.0;A
2021;TOTAL;2488;54887;M;HAB;1506.0;A
2021;TOTAL;2488;54887;F;HAB;746.0;A
2021;TOTAL;2489;54888;_T;HAB;786.0;A
2021;TOTAL;2489;54888;M;HAB;386.0;A
2021;TOTAL;2489;54888;F;HAB;400.0;A
2021;TOTAL;2489;53700;_T;HAB;753.0;A
2021;TOTAL;2489;53700;M;HAB;374.0;A
2021;TOTAL;2489;53700;F;HAB;379.0;A
2021;TOTAL;2489;54560;_T;HAB;718.0;A
2021;TOTAL;2489;54560;M;HAB;355.0;A
2021;TOTAL;2489;54560;F;HAB;363.0;A
2021;TOTAL;2489;53809;_T;HAB;1.0;A
2021;TOTAL;2489;53809;F;HAB;1.0;A
2021;TOTAL;2489;53855;_T;HAB;3.0;A
2021;TOTAL;2489;53855;M;HAB;1.0;A
2021;TOTAL;2489;53855;F;HAB;2.0;A
2021;TOTAL;2489;53933;_T;HAB;2.0;A
2021;TOTAL;2489;53933;F;HAB;2.0;A
2021;TOTAL;2489;54155;_T;HAB;707.0;A
2021;TOTAL;2489;54155;M;HAB;353.0;A
2021;TOTAL;2489;54155;F;HAB;354.0;A
2021;TOTAL;2489;54344;_T;HAB;2.0;A
2021;TOTAL;2489;54344;M;HAB;1.0;A
2021;TOTAL;2489;54344;F;HAB;1.0;A
2021;TOTAL;2489;54452;_T;HAB;2.0;A
2021;TOTAL;2489;54452;F;HAB;2.0;A
2021;TOTAL;2489;54559;_T;HAB;1.0;A
2021;TOTAL;2489;54559;F;HAB;1.0;A
