TEMPORAL;LUG_NAC_PADRON;TERRITORIO;SEXO;INDICATOR;OBS_VALUE;FREQ
2021;54887;ES61;_T;HAB;894903.0;A
2021;54887;ES61;M;HAB;438387.0;A
2021;54887;ES61;F;HAB;456516.0;A
2021;54887;ES611;_T;HAB;162756.0;A
2021;54887;ES611;M;HAB;90249.0;A
2021;54887;ES611;F;HAB;72507.0;A
2021;54887;2241;_T;HAB;126.0;A
2021;54887;2241;M;HAB;62.0;A
2021;54887;2241;F;HAB;64.0;A
2021;54887;2242;_T;HAB;113.0;A
2021;54887;2242;M;HAB;64.0;A
2021;54887;2242;F;HAB;49.0;A
2021;54887;2243;_T;HAB;3666.0;A
2021;54887;2243;M;HAB;2164.0;A
2021;54887;2243;F;HAB;1502.0;A
2021;54887;2244;_T;HAB;268.0;A
2021;54887;2244;M;HAB;132.0;A
2021;54887;2244;F;HAB;136.0;A
2021;54887;2245;_T;HAB;28.0;A
2021;54887;2245;M;HAB;11.0;A
2021;54887;2245;F;HAB;17.0;A
2021;54887;2246;_T;HAB;3757.0;A
2021;54887;2246;M;HAB;2021.0;A
2021;54887;2246;F;HAB;1736.0;A
2021;54887;2247;_T;HAB;33.0;A
2021;54887;2247;M;HAB;10.0;A
2021;54887;2247;F;HAB;23.0;A
2021;54887;2248;_T;HAB;60.0;A
2021;54887;2248;M;HAB;33.0;A
2021;54887;2248;F;HAB;27.0;A
2021;54887;2249;_T;HAB;12.0;A
2021;54887;2249;M;HAB;6.0;A
2021;54887;2249;F;HAB;6.0;A
2021;54887;2250;_T;HAB;35.0;A
2021;54887;2250;M;HAB;19.0;A
2021;54887;2250;F;HAB;16.0;A
2021;54887;2251;_T;HAB;390.0;A
2021;54887;2251;M;HAB;212.0;A
2021;54887;2251;F;HAB;178.0;A
2021;54887;2252;_T;HAB;3.0;A
2021;54887;2252;M;HAB;2.0;A
2021;54887;2252;F;HAB;1.0;A
2021;54887;2253;_T;HAB;27899.0;A
2021;54887;2253;M;HAB;14811.0;A
2021;54887;2253;F;HAB;13088.0;A
2021;54887;2254;_T;HAB;24.0;A
2021;54887;2254;M;HAB;12.0;A
2021;54887;2254;F;HAB;12.0;A
2021;54887;2255;_T;HAB;10.0;A
2021;54887;2255;M;HAB;5.0;A
2021;54887;2255;F;HAB;5.0;A
2021;54887;2256;_T;HAB;833.0;A
2021;54887;2256;M;HAB;489.0;A
2021;54887;2256;F;HAB;344.0;A
2021;54887;2257;_T;HAB;3241.0;A
2021;54887;2257;M;HAB;1618.0;A
2021;54887;2257;F;HAB;1623.0;A
2021;54887;2258;_T;HAB;35.0;A
2021;54887;2258;M;HAB;16.0;A
2021;54887;2258;F;HAB;19.0;A
2021;54887;2259;_T;HAB;10.0;A
2021;54887;2259;M;HAB;4.0;A
2021;54887;2259;F;HAB;6.0;A
2021;54887;9563;_T;HAB;597.0;A
2021;54887;9563;M;HAB;372.0;A
2021;54887;9563;F;HAB;225.0;A
2021;54887;2260;_T;HAB;14.0;A
2021;54887;2260;M;HAB;4.0;A
2021;54887;2260;F;HAB;10.0;A
2021;54887;2261;_T;HAB;26.0;A
2021;54887;2261;M;HAB;12.0;A
2021;54887;2261;F;HAB;14.0;A
2021;54887;2262;_T;HAB;582.0;A
2021;54887;2262;M;HAB;295.0;A
2021;54887;2262;F;HAB;287.0;A
2021;54887;2263;_T;HAB;12.0;A
2021;54887;2263;M;HAB;6.0;A
2021;54887;2263;F;HAB;6.0;A
2021;54887;2264;_T;HAB;308.0;A
2021;54887;2264;M;HAB;150.0;A
2021;54887;2264;F;HAB;158.0;A
2021;54887;2266;_T;HAB;3.0;A
2021;54887;2266;M;HAB;1.0;A
2021;54887;2266;F;HAB;2.0;A
2021;54887;2267;_T;HAB;40.0;A
2021;54887;2267;M;HAB;21.0;A
2021;54887;2267;F;HAB;19.0;A
2021;54887;2268;_T;HAB;5.0;A
2021;54887;2268;M;HAB;3.0;A
2021;54887;2268;F;HAB;2.0;A
2021;54887;2269;_T;HAB;1719.0;A
2021;54887;2269;M;HAB;992.0;A
2021;54887;2269;F;HAB;727.0;A
2021;54887;2270;_T;HAB;49.0;A
2021;54887;2270;M;HAB;25.0;A
2021;54887;2270;F;HAB;24.0;A
2021;54887;2271;_T;HAB;1092.0;A
2021;54887;2271;M;HAB;533.0;A
2021;54887;2271;F;HAB;559.0;A
2021;54887;2272;_T;HAB;1255.0;A
2021;54887;2272;M;HAB;664.0;A
2021;54887;2272;F;HAB;591.0;A
2021;54887;2273;_T;HAB;7.0;A
2021;54887;2273;M;HAB;3.0;A
2021;54887;2273;F;HAB;4.0;A
2021;54887;2277;_T;HAB;22.0;A
2021;54887;2277;M;HAB;11.0;A
2021;54887;2277;F;HAB;11.0;A
2021;54887;2278;_T;HAB;169.0;A
2021;54887;2278;M;HAB;92.0;A
2021;54887;2278;F;HAB;77.0;A
2021;54887;2274;_T;HAB;14.0;A
2021;54887;2274;M;HAB;6.0;A
2021;54887;2274;F;HAB;8.0;A
2021;54887;2276;_T;HAB;4224.0;A
2021;54887;2276;M;HAB;2346.0;A
2021;54887;2276;F;HAB;1878.0;A
2021;54887;2279;_T;HAB;316.0;A
2021;54887;2279;M;HAB;154.0;A
2021;54887;2279;F;HAB;162.0;A
2021;54887;2347;_T;HAB;22715.0;A
2021;54887;2347;M;HAB;12848.0;A
2021;54887;2347;F;HAB;9867.0;A
2021;54887;2282;_T;HAB;125.0;A
2021;54887;2282;M;HAB;57.0;A
2021;54887;2282;F;HAB;68.0;A
2021;54887;2284;_T;HAB;74.0;A
2021;54887;2284;M;HAB;37.0;A
2021;54887;2284;F;HAB;37.0;A
2021;54887;2285;_T;HAB;348.0;A
2021;54887;2285;M;HAB;213.0;A
2021;54887;2285;F;HAB;135.0;A
2021;54887;2286;_T;HAB;109.0;A
2021;54887;2286;M;HAB;66.0;A
2021;54887;2286;F;HAB;43.0;A
2021;54887;2287;_T;HAB;50.0;A
2021;54887;2287;M;HAB;17.0;A
2021;54887;2287;F;HAB;33.0;A
2021;54887;2288;_T;HAB;312.0;A
2021;54887;2288;M;HAB;167.0;A
2021;54887;2288;F;HAB;145.0;A
2021;54887;2289;_T;HAB;1296.0;A
2021;54887;2289;M;HAB;665.0;A
2021;54887;2289;F;HAB;631.0;A
2021;54887;2290;_T;HAB;2997.0;A
2021;54887;2290;M;HAB;1734.0;A
2021;54887;2290;F;HAB;1263.0;A
2021;54887;2291;_T;HAB;251.0;A
2021;54887;2291;M;HAB;154.0;A
2021;54887;2291;F;HAB;97.0;A
2021;54887;2292;_T;HAB;16.0;A
2021;54887;2292;M;HAB;9.0;A
2021;54887;2292;F;HAB;7.0;A
2021;54887;2293;_T;HAB;934.0;A
2021;54887;2293;M;HAB;442.0;A
2021;54887;2293;F;HAB;492.0;A
2021;54887;2294;_T;HAB;4849.0;A
2021;54887;2294;M;HAB;2488.0;A
2021;54887;2294;F;HAB;2361.0;A
2021;54887;2295;_T;HAB;43.0;A
2021;54887;2295;M;HAB;20.0;A
2021;54887;2295;F;HAB;23.0;A
2021;54887;2296;_T;HAB;49.0;A
2021;54887;2296;M;HAB;31.0;A
2021;54887;2296;F;HAB;18.0;A
2021;54887;2297;_T;HAB;14.0;A
2021;54887;2297;M;HAB;8.0;A
2021;54887;2297;F;HAB;6.0;A
2021;54887;2298;_T;HAB;94.0;A
2021;54887;2298;M;HAB;48.0;A
2021;54887;2298;F;HAB;46.0;A
2021;54887;2299;_T;HAB;31.0;A
