D_TEMPORAL_0;D_SEXO_0;D_AA_TERRITROIO_0;D_EDAD_0;INDICATOR;OBS_VALUE;FREQ
2019;3691;516752;4172;Número de autónomos;4400.0;A
2019;3691;516752;4210;Número de autónomos;9225.0;A
2019;3691;516752;4235;Número de autónomos;13950.0;A
2019;3691;516752;515745;Número de autónomos;13675.0;A
2019;3691;516752;4305;Número de autónomos;5225.0;A
2019;3691;516752;4306;Número de autónomos;46475.0;A
2019;3691;516753;4172;Número de autónomos;11150.0;A
2019;3691;516753;4210;Número de autónomos;29075.0;A
2019;3691;516753;4235;Número de autónomos;44050.0;A
2019;3691;516753;515745;Número de autónomos;34350.0;A
2019;3691;516753;4305;Número de autónomos;16950.0;A
2019;3691;516753;4306;Número de autónomos;135575.0;A
2019;3691;516754;4172;Número de autónomos;10150.0;A
2019;3691;516754;4210;Número de autónomos;29000.0;A
2019;3691;516754;4235;Número de autónomos;42550.0;A
2019;3691;516754;515745;Número de autónomos;30975.0;A
2019;3691;516754;4305;Número de autónomos;13125.0;A
2019;3691;516754;4306;Número de autónomos;125800.0;A
2019;3691;515892;4172;Número de autónomos;50450.0;A
2019;3691;515892;4210;Número de autónomos;133700.0;A
2019;3691;515892;4235;Número de autónomos;198400.0;A
2019;3691;515892;515745;Número de autónomos;158725.0;A
2019;3691;515892;4305;Número de autónomos;71800.0;A
2019;3691;515892;4306;Número de autónomos;613075.0;A
2020;3689;516728;4172;Número de autónomos;3575.0;A
2020;3689;516728;4210;Número de autónomos;8550.0;A
2020;3689;516728;4235;Número de autónomos;12700.0;A
2020;3689;516728;515745;Número de autónomos;11550.0;A
2020;3689;516728;4305;Número de autónomos;5225.0;A
2020;3689;516728;4306;Número de autónomos;41600.0;A
2020;3689;516748;4172;Número de autónomos;3500.0;A
2020;3689;516748;4210;Número de autónomos;9350.0;A
2020;3689;516748;4235;Número de autónomos;14700.0;A
2020;3689;516748;515745;Número de autónomos;12875.0;A
2020;3689;516748;4305;Número de autónomos;5500.0;A
2020;3689;516748;4306;Número de autónomos;45925.0;A
2020;3689;516749;4172;Número de autónomos;2500.0;A
2020;3689;516749;4210;Número de autónomos;6900.0;A
2020;3689;516749;4235;Número de autónomos;11775.0;A
2020;3689;516749;515745;Número de autónomos;10475.0;A
2020;3689;516749;4305;Número de autónomos;5475.0;A
2020;3689;516749;4306;Número de autónomos;37125.0;A
2020;3689;516750;4172;Número de autónomos;3200.0;A
2020;3689;516750;4210;Número de autónomos;10075.0;A
2020;3689;516750;4235;Número de autónomos;15175.0;A
2020;3689;516750;515745;Número de autónomos;13175.0;A
2020;3689;516750;4305;Número de autónomos;5825.0;A
2020;3689;516750;4306;Número de autónomos;47450.0;A
2020;3689;516751;4172;Número de autónomos;2100.0;A
2020;3689;516751;4210;Número de autónomos;3550.0;A
2020;3689;516751;4235;Número de autónomos;7900.0;A
2020;3689;516751;515745;Número de autónomos;5425.0;A
2020;3689;516751;4305;Número de autónomos;3025.0;A
2020;3689;516751;4306;Número de autónomos;22000.0;A
2020;3689;516752;4172;Número de autónomos;2375.0;A
2020;3689;516752;4210;Número de autónomos;5925.0;A
2020;3689;516752;4235;Número de autónomos;8825.0;A
2020;3689;516752;515745;Número de autónomos;9350.0;A
2020;3689;516752;4305;Número de autónomos;3600.0;A
2020;3689;516752;4306;Número de autónomos;30075.0;A
2020;3689;516753;4172;Número de autónomos;6750.0;A
2020;3689;516753;4210;Número de autónomos;16950.0;A
2020;3689;516753;4235;Número de autónomos;27850.0;A
2020;3689;516753;515745;Número de autónomos;23050.0;A
2020;3689;516753;4305;Número de autónomos;11375.0;A
2020;3689;516753;4306;Número de autónomos;85975.0;A
2020;3689;516754;4172;Número de autónomos;5725.0;A
2020;3689;516754;4210;Número de autónomos;16075.0;A
2020;3689;516754;4235;Número de autónomos;28200.0;A
2020;3689;516754;515745;Número de autónomos;20950.0;A
2020;3689;516754;4305;Número de autónomos;9525.0;A
2020;3689;516754;4306;Número de autónomos;80475.0;A
2020;3689;515892;4172;Número de autónomos;29850.0;A
2020;3689;515892;4210;Número de autónomos;78025.0;A
2020;3689;515892;4235;Número de autónomos;127975.0;A
2020;3689;515892;515745;Número de autónomos;107675.0;A
2020;3689;515892;4305;Número de autónomos;49775.0;A
2020;3689;515892;4306;Número de autónomos;393300.0;A
2020;3690;516728;4172;Número de autónomos;1950.0;A
2020;3690;516728;4210;Número de autónomos;5475.0;A
2020;3690;516728;4235;Número de autónomos;7775.0;A
2020;3690;516728;515745;Número de autónomos;6575.0;A
2020;3690;516728;4305;Número de autónomos;3600.0;A
2020;3690;516728;4306;Número de autónomos;25375.0;A
2020;3690;516748;4172;Número de autónomos;2200.0;A
2020;3690;516748;4210;Número de autónomos;5525.0;A
