D_TEMPORAL_0;D_AA_TERRITORIOIN_0;D_AA_DURACEMPREND_0;D_ANOCELEBRMATRIM_0;D_AA_MULTIVARIABL_0;INDICATOR;OBS_VALUE;FREQ
2020;516649;516610;5090;516632;Supervivientes;3200.0;A
2020;516649;516610;5091;516632;Supervivientes;3550.0;A
2020;516649;516610;5092;516632;Supervivientes;3250.0;A
2020;516649;516610;5093;516632;Supervivientes;;A
2020;516649;516610;5094;516632;Supervivientes;;A
2020;516649;516610;5095;516632;Supervivientes;;A
2020;516649;516610;5096;516632;Supervivientes;;A
2020;516649;516610;5097;516632;Supervivientes;;A
2020;516649;516611;5083;516632;Supervivientes;2275.0;A
2020;516649;516611;5084;516632;Supervivientes;2050.0;A
2020;516649;516611;5085;516632;Supervivientes;1975.0;A
2020;516649;516611;5086;516632;Supervivientes;1975.0;A
2020;516649;516611;5087;516632;Supervivientes;2200.0;A
2020;516649;516611;5088;516632;Supervivientes;2050.0;A
2020;516649;516611;5089;516632;Supervivientes;2450.0;A
2020;516649;516611;5090;516632;Supervivientes;2925.0;A
2020;516649;516611;5091;516632;Supervivientes;3150.0;A
2020;516649;516611;5092;516632;Supervivientes;;A
2020;516649;516611;5093;516632;Supervivientes;;A
2020;516649;516611;5094;516632;Supervivientes;;A
2020;516649;516611;5095;516632;Supervivientes;;A
2020;516649;516611;5096;516632;Supervivientes;;A
2020;516649;516611;5097;516632;Supervivientes;;A
2020;516649;516612;5083;516632;Supervivientes;1975.0;A
2020;516649;516612;5084;516632;Supervivientes;1825.0;A
2020;516649;516612;5085;516632;Supervivientes;1850.0;A
2020;516649;516612;5086;516632;Supervivientes;1850.0;A
2020;516649;516612;5087;516632;Supervivientes;1975.0;A
2020;516649;516612;5088;516632;Supervivientes;1800.0;A
2020;516649;516612;5089;516632;Supervivientes;2225.0;A
2020;516649;516612;5090;516632;Supervivientes;2725.0;A
2020;516649;516612;5091;516632;Supervivientes;;A
2020;516649;516612;5092;516632;Supervivientes;;A
2020;516649;516612;5093;516632;Supervivientes;;A
2020;516649;516612;5094;516632;Supervivientes;;A
2020;516649;516612;5095;516632;Supervivientes;;A
2020;516649;516612;5096;516632;Supervivientes;;A
2020;516649;516612;5097;516632;Supervivientes;;A
2020;516649;516613;5083;516632;Supervivientes;1675.0;A
2020;516649;516613;5084;516632;Supervivientes;1675.0;A
2020;516649;516613;5085;516632;Supervivientes;1725.0;A
2020;516649;516613;5086;516632;Supervivientes;1750.0;A
2020;516649;516613;5087;516632;Supervivientes;1850.0;A
2020;516649;516613;5088;516632;Supervivientes;1750.0;A
2020;516649;516613;5089;516632;Supervivientes;2075.0;A
2020;516649;516613;5090;516632;Supervivientes;;A
2020;516649;516613;5091;516632;Supervivientes;;A
2020;516649;516613;5092;516632;Supervivientes;;A
2020;516649;516613;5093;516632;Supervivientes;;A
2020;516649;516613;5094;516632;Supervivientes;;A
2020;516649;516613;5095;516632;Supervivientes;;A
2020;516649;516613;5096;516632;Supervivientes;;A
2020;516649;516613;5097;516632;Supervivientes;;A
2020;516649;516614;5083;516632;Supervivientes;1525.0;A
2020;516649;516614;5084;516632;Supervivientes;1525.0;A
2020;516649;516614;5085;516632;Supervivientes;1625.0;A
2020;516649;516614;5086;516632;Supervivientes;1650.0;A
2020;516649;516614;5087;516632;Supervivientes;1825.0;A
2020;516649;516614;5088;516632;Supervivientes;1575.0;A
2020;516649;516614;5089;516632;Supervivientes;;A
2020;516649;516614;5090;516632;Supervivientes;;A
2020;516649;516614;5091;516632;Supervivientes;;A
2020;516649;516614;5092;516632;Supervivientes;;A
2020;516649;516614;5093;516632;Supervivientes;;A
2020;516649;516614;5094;516632;Supervivientes;;A
2020;516649;516614;5095;516632;Supervivientes;;A
2020;516649;516614;5096;516632;Supervivientes;;A
2020;516649;516614;5097;516632;Supervivientes;;A
2020;516649;516615;5083;516632;Supervivientes;1450.0;A
2020;516649;516615;5084;516632;Supervivientes;1450.0;A
2020;516649;516615;5085;516632;Supervivientes;1525.0;A
2020;516649;516615;5086;516632;Supervivientes;1500.0;A
2020;516649;516615;5087;516632;Supervivientes;1700.0;A
2020;516649;516615;5088;516632;Supervivientes;;A
2020;516649;516615;5089;516632;Supervivientes;;A
2020;516649;516615;5090;516632;Supervivientes;;A
2020;516649;516615;5091;516632;Supervivientes;;A
2020;516649;516615;5092;516632;Supervivientes;;A
2020;516649;516615;5093;516632;Supervivientes;;A
2020;516649;516615;5094;516632;Supervivientes;;A
2020;516649;516615;5095;516632;Supervivientes;;A
2020;516649;516615;5096;516632;Supervivientes;;A
2020;516649;516615;5097;516632;Supervivientes;;A
2020;516659;516633;5083;516632;Supervivientes;11300.0;A
2020;516659;516633;5084;516632;Supervivientes;10600.0;A
2020;516659;516633;5085;516632;Supervivientes;10000.0;A
2020;516659;516633;5086;516632;Supervivientes;9750.0;A
2020;516659;516633;5087;516632;Supervivientes;10975.0;A
2020;516659;516633;5088;516632;Supervivientes;11875.0;A
2020;516659;516633;5089;516632;Supervivientes;13075.0;A
2020;516659;516633;5090;516632;Supervivientes;14725.0;A
2020;516659;516633;5091;516632;Supervivientes;16025.0;A
2020;516659;516633;5092;516632;Supervivientes;15500.0;A
2020;516659;516633;5093;516632;Supervivientes;14950.0;A
2020;516659;516633;5094;516632;Supervivientes;14450.0;A
2020;516659;516633;5095;516632;Supervivientes;16650.0;A
2020;516659;516633;5096;516632;Supervivientes;15075.0;A
2020;516659;516633;5097;516632;Supervivientes;13625.0;A
2020;516659;516606;5083;516632;Supervivientes;7375.0;A
2020;516659;516606;5084;516632;Supervivientes;6600.0;A
2020;516659;516606;5085;516632;Supervivientes;5975.0;A
2020;516659;516606;5086;516632;Supervivientes;5625.0;A
2020;516659;516606;5087;516632;Supervivientes;5850.0;A
2020;516659;516606;5088;516632;Supervivientes;6300.0;A
2020;516659;516606;5089;516632;Supervivientes;6500.0;A
2020;516659;516606;5090;516632;Supervivientes;7500.0;A
2020;516659;516606;5091;516632;Supervivientes;7700.0;A
2020;516659;516606;5092;516632;Supervivientes;7725.0;A
2020;516659;516606;5093;516632;Supervivientes;7125.0;A
2020;516659;516606;5094;516632;Supervivientes;6700.0;A
2020;516659;516606;5095;516632;Supervivientes;9275.0;A
2020;516659;516606;5096;516632;Supervivientes;7425.0;A
2020;516659;516606;5097;516632;Supervivientes;;A
2020;516659;516607;5083;516632;Supervivientes;5725.0;A
2020;516659;516607;5084;516632;Supervivientes;4750.0;A
2020;516659;516607;5085;516632;Supervivientes;4325.0;A
