D_TEMPORAL_0;D_SEXO_0;D_AA_TIPOCOTIZACA_0;D_AA_TERRITROIO_0;INDICATOR;OBS_VALUE;FREQ
2019;3691;515771;515892;Número de autónomos;613075.0;A
2019;3691;515772;516728;Número de autónomos;56050.0;A
2019;3691;515772;516748;Número de autónomos;57050.0;A
2019;3691;515772;516749;Número de autónomos;46025.0;A
2019;3691;515772;516750;Número de autónomos;59200.0;A
2019;3691;515772;516751;Número de autónomos;26325.0;A
2019;3691;515772;516752;Número de autónomos;33750.0;A
2019;3691;515772;516753;Número de autónomos;110525.0;A
2019;3691;515772;516754;Número de autónomos;101400.0;A
2019;3691;515772;515892;Número de autónomos;494075.0;A
2019;3691;515774;516728;Número de autónomos;10375.0;A
2019;3691;515774;516748;Número de autónomos;13375.0;A
2019;3691;515774;516749;Número de autónomos;11975.0;A
2019;3691;515774;516750;Número de autónomos;13725.0;A
2019;3691;515774;516751;Número de autónomos;6775.0;A
2019;3691;515774;516752;Número de autónomos;12725.0;A
2019;3691;515774;516753;Número de autónomos;25050.0;A
2019;3691;515774;516754;Número de autónomos;24400.0;A
2019;3691;515774;515892;Número de autónomos;119000.0;A
2019;3691;515775;516728;Número de autónomos;7675.0;A
2019;3691;515775;516748;Número de autónomos;9075.0;A
2019;3691;515775;516749;Número de autónomos;8700.0;A
2019;3691;515775;516750;Número de autónomos;9850.0;A
2019;3691;515775;516751;Número de autónomos;4700.0;A
2019;3691;515775;516752;Número de autónomos;9700.0;A
2019;3691;515775;516753;Número de autónomos;18625.0;A
2019;3691;515775;516754;Número de autónomos;17325.0;A
2019;3691;515775;515892;Número de autónomos;86125.0;A
2019;3691;515776;516728;Número de autónomos;775.0;A
2019;3691;515776;516748;Número de autónomos;1350.0;A
2019;3691;515776;516749;Número de autónomos;850.0;A
2019;3691;515776;516750;Número de autónomos;1050.0;A
2019;3691;515776;516751;Número de autónomos;625.0;A
2019;3691;515776;516752;Número de autónomos;625.0;A
2019;3691;515776;516753;Número de autónomos;2150.0;A
2019;3691;515776;516754;Número de autónomos;2300.0;A
2019;3691;515776;515892;Número de autónomos;9775.0;A
2019;3691;515777;516728;Número de autónomos;1925.0;A
2019;3691;515777;516748;Número de autónomos;2950.0;A
2019;3691;515777;516749;Número de autónomos;2425.0;A
2019;3691;515777;516750;Número de autónomos;2825.0;A
2019;3691;515777;516751;Número de autónomos;1450.0;A
2019;3691;515777;516752;Número de autónomos;2400.0;A
2019;3691;515777;516753;Número de autónomos;4275.0;A
2019;3691;515777;516754;Número de autónomos;4775.0;A
2019;3691;515777;515892;Número de autónomos;23100.0;A
2020;3689;515771;516728;Número de autónomos;41600.0;A
2020;3689;515771;516748;Número de autónomos;45925.0;A
2020;3689;515771;516749;Número de autónomos;37125.0;A
2020;3689;515771;516750;Número de autónomos;47450.0;A
2020;3689;515771;516751;Número de autónomos;22000.0;A
2020;3689;515771;516752;Número de autónomos;30075.0;A
2020;3689;515771;516753;Número de autónomos;85975.0;A
2020;3689;515771;516754;Número de autónomos;80475.0;A
2020;3689;515771;515892;Número de autónomos;393300.0;A
2020;3689;515772;516728;Número de autónomos;26275.0;A
2020;3689;515772;516748;Número de autónomos;19400.0;A
2020;3689;515772;516749;Número de autónomos;16950.0;A
2020;3689;515772;516750;Número de autónomos;21325.0;A
2020;3689;515772;516751;Número de autónomos;10825.0;A
2020;3689;515772;516752;Número de autónomos;10850.0;A
2020;3689;515772;516753;Número de autónomos;37750.0;A
2020;3689;515772;516754;Número de autónomos;36075.0;A
2020;3689;515772;515892;Número de autónomos;180700.0;A
2020;3689;515774;516728;Número de autónomos;15325.0;A
2020;3689;515774;516748;Número de autónomos;26525.0;A
2020;3689;515774;516749;Número de autónomos;20175.0;A
2020;3689;515774;516750;Número de autónomos;26125.0;A
2020;3689;515774;516751;Número de autónomos;11175.0;A
2020;3689;515774;516752;Número de autónomos;19225.0;A
2020;3689;515774;516753;Número de autónomos;48225.0;A
2020;3689;515774;516754;Número de autónomos;44400.0;A
2020;3689;515774;515892;Número de autónomos;212600.0;A
2020;3689;515775;516728;Número de autónomos;3375.0;A
2020;3689;515775;516748;Número de autónomos;3300.0;A
2020;3689;515775;516749;Número de autónomos;3050.0;A
2020;3689;515775;516750;Número de autónomos;3600.0;A
2020;3689;515775;516751;Número de autónomos;2025.0;A
2020;3689;515775;516752;Número de autónomos;5075.0;A
