D_TEMPORAL_0;D_SEXO_0;D_MES_0;D_AA_TERRITROIO_0;D_AA_TIPOMOVIMIEN_0;INDICATOR;OBS_VALUE;FREQ
2019;3689;55908;516728;515926;Número de movimientos;575.0;A
2019;3689;55908;516748;515926;Número de movimientos;850.0;A
2019;3689;55908;516749;515926;Número de movimientos;700.0;A
2019;3689;55908;516750;515926;Número de movimientos;675.0;A
2019;3689;55908;516751;515926;Número de movimientos;*;A
2019;3689;55908;516752;515926;Número de movimientos;*;A
2019;3689;55908;516753;515926;Número de movimientos;1475.0;A
2019;3689;55908;516754;515926;Número de movimientos;925.0;A
2019;3689;55908;515892;515926;Número de movimientos;5975.0;A
2019;3689;55909;516728;515926;Número de movimientos;525.0;A
2019;3689;55909;516748;515926;Número de movimientos;825.0;A
2019;3689;55909;516749;515926;Número de movimientos;*;A
2019;3689;55909;516750;515926;Número de movimientos;550.0;A
2019;3689;55909;516751;515926;Número de movimientos;*;A
2019;3689;55909;516752;515926;Número de movimientos;*;A
2019;3689;55909;516753;515926;Número de movimientos;1725.0;A
2019;3689;55909;516754;515926;Número de movimientos;1175.0;A
2019;3689;55909;515892;515926;Número de movimientos;5825.0;A
2019;3689;55910;516728;515926;Número de movimientos;600.0;A
2019;3689;55910;516748;515926;Número de movimientos;1025.0;A
2019;3689;55910;516749;515926;Número de movimientos;*;A
2019;3689;55910;516750;515926;Número de movimientos;625.0;A
2019;3689;55910;516751;515926;Número de movimientos;*;A
2019;3689;55910;516752;515926;Número de movimientos;575.0;A
2019;3689;55910;516753;515926;Número de movimientos;1500.0;A
2019;3689;55910;516754;515926;Número de movimientos;725.0;A
2019;3689;55910;515892;515926;Número de movimientos;5650.0;A
2019;3689;55911;516728;515926;Número de movimientos;700.0;A
2019;3689;55911;516748;515926;Número de movimientos;825.0;A
2019;3689;55911;516749;515926;Número de movimientos;800.0;A
2019;3689;55911;516750;515926;Número de movimientos;750.0;A
2019;3689;55911;516751;515926;Número de movimientos;525.0;A
2019;3689;55911;516752;515926;Número de movimientos;525.0;A
2019;3689;55911;516753;515926;Número de movimientos;1475.0;A
2019;3689;55911;516754;515926;Número de movimientos;1525.0;A
2019;3689;55911;515892;515926;Número de movimientos;7125.0;A
2019;3689;55912;516728;515926;Número de movimientos;500.0;A
2019;3689;55912;516748;515926;Número de movimientos;975.0;A
2019;3689;55912;516749;515926;Número de movimientos;550.0;A
2019;3689;55912;516750;515926;Número de movimientos;600.0;A
2019;3689;55912;516751;515926;Número de movimientos;*;A
2019;3689;55912;516752;515926;Número de movimientos;550.0;A
2019;3689;55912;516753;515926;Número de movimientos;1100.0;A
2019;3689;55912;516754;515926;Número de movimientos;1075.0;A
2019;3689;55912;515892;515926;Número de movimientos;5750.0;A
2019;3689;55913;516728;515926;Número de movimientos;*;A
2019;3689;55913;516748;515926;Número de movimientos;725.0;A
2019;3689;55913;516749;515926;Número de movimientos;675.0;A
2019;3689;55913;516750;515926;Número de movimientos;800.0;A
2019;3689;55913;516751;515926;Número de movimientos;*;A
