D_TEMPORAL_0;D_SEXO_0;D_AA_TIPOULTIEMPR_0;D_AA_TERRITROIO_0;INDICATOR;OBS_VALUE;FREQ
2019;3691;515781;516754;Número de autónomos;19425.0;A
2019;3691;515781;515892;Número de autónomos;74575.0;A
2019;3691;515782;516728;Número de autónomos;4875.0;A
2019;3691;515782;516748;Número de autónomos;7075.0;A
2019;3691;515782;516749;Número de autónomos;5625.0;A
2019;3691;515782;516750;Número de autónomos;6050.0;A
2019;3691;515782;516751;Número de autónomos;3300.0;A
2019;3691;515782;516752;Número de autónomos;4550.0;A
2019;3691;515782;516753;Número de autónomos;11850.0;A
2019;3691;515782;516754;Número de autónomos;10825.0;A
2019;3691;515782;515892;Número de autónomos;54400.0;A
2019;3691;515778;516728;Número de autónomos;66425.0;A
2019;3691;515778;516748;Número de autónomos;70425.0;A
2019;3691;515778;516749;Número de autónomos;58000.0;A
2019;3691;515778;516750;Número de autónomos;72925.0;A
2019;3691;515778;516751;Número de autónomos;33100.0;A
2019;3691;515778;516752;Número de autónomos;46475.0;A
2019;3691;515778;516753;Número de autónomos;135575.0;A
2019;3691;515778;516754;Número de autónomos;125800.0;A
2019;3691;515778;515892;Número de autónomos;613075.0;A
2020;3689;515779;516728;Número de autónomos;29775.0;A
2020;3689;515779;516748;Número de autónomos;31225.0;A
2020;3689;515779;516749;Número de autónomos;24250.0;A
2020;3689;515779;516750;Número de autónomos;32850.0;A
2020;3689;515779;516751;Número de autónomos;14350.0;A
2020;3689;515779;516752;Número de autónomos;21400.0;A
2020;3689;515779;516753;Número de autónomos;57075.0;A
2020;3689;515779;516754;Número de autónomos;51600.0;A
2020;3689;515779;515892;Número de autónomos;264025.0;A
2020;3689;515780;516728;Número de autónomos;3600.0;A
2020;3689;515780;516748;Número de autónomos;5175.0;A
2020;3689;515780;516749;Número de autónomos;5700.0;A
2020;3689;515780;516750;Número de autónomos;6900.0;A
2020;3689;515780;516751;Número de autónomos;3025.0;A
2020;3689;515780;516752;Número de autónomos;3450.0;A
2020;3689;515780;516753;Número de autónomos;9025.0;A
2020;3689;515780;516754;Número de autónomos;7975.0;A
2020;3689;515780;515892;Número de autónomos;45300.0;A
2020;3689;515781;516728;Número de autónomos;6050.0;A
2020;3689;515781;516748;Número de autónomos;6250.0;A
2020;3689;515781;516749;Número de autónomos;4800.0;A
2020;3689;515781;516750;Número de autónomos;5175.0;A
2020;3689;515781;516751;Número de autónomos;3000.0;A
2020;3689;515781;516752;Número de autónomos;3150.0;A
2020;3689;515781;516753;Número de autónomos;14925.0;A
2020;3689;515781;516754;Número de autónomos;15800.0;A
2020;3689;515781;515892;Número de autónomos;59725.0;A
2020;3689;515782;516728;Número de autónomos;2175.0;A
2020;3689;515782;516748;Número de autónomos;3275.0;A
2020;3689;515782;516749;Número de autónomos;2375.0;A
2020;3689;515782;516750;Número de autónomos;2525.0;A
2020;3689;515782;516751;Número de autónomos;1625.0;A
2020;3689;515782;516752;Número de autónomos;2075.0;A
2020;3689;515782;516753;Número de autónomos;4950.0;A
2020;3689;515782;516754;Número de autónomos;5100.0;A
2020;3689;515782;515892;Número de autónomos;24250.0;A
2020;3689;515778;516728;Número de autónomos;41600.0;A
2020;3689;515778;516748;Número de autónomos;45925.0;A
2020;3689;515778;516749;Número de autónomos;37125.0;A
2020;3689;515778;516750;Número de autónomos;47450.0;A
2020;3689;515778;516751;Número de autónomos;22000.0;A
2020;3689;515778;516752;Número de autónomos;30075.0;A
2020;3689;515778;516753;Número de autónomos;85975.0;A
2020;3689;515778;516754;Número de autónomos;80475.0;A
2020;3689;515778;515892;Número de autónomos;393300.0;A
2020;3690;515779;516728;Número de autónomos;18200.0;A
2020;3690;515779;516748;Número de autónomos;16075.0;A
2020;3690;515779;516749;Número de autónomos;12150.0;A
2020;3690;515779;516750;Número de autónomos;17150.0;A
2020;3690;515779;516751;Número de autónomos;7200.0;A
2020;3690;515779;516752;Número de autónomos;10800.0;A
2020;3690;515779;516753;Número de autónomos;32925.0;A
2020;3690;515779;516754;Número de autónomos;31050.0;A
2020;3690;515779;515892;Número de autónomos;146475.0;A
2020;3690;515780;516728;Número de autónomos;2475.0;A
2020;3690;515780;516748;Número de autónomos;2275.0;A
2020;3690;515780;516749;Número de autónomos;2500.0;A
2020;3690;515780;516750;Número de autónomos;2725.0;A
2020;3690;515780;516751;Número de autónomos;1300.0;A
2020;3690;515780;516752;Número de autónomos;1525.0;A
2020;3690;515780;516753;Número de autónomos;4275.0;A
2020;3690;515780;516754;Número de autónomos;3100.0;A
2020;3690;515780;515892;Número de autónomos;20375.0;A
2020;3690;515781;516728;Número de autónomos;1800.0;A
2020;3690;515781;516748;Número de autónomos;2025.0;A
2020;3690;515781;516749;Número de autónomos;1725.0;A
2020;3690;515781;516750;Número de autónomos;2025.0;A
2020;3690;515781;516751;Número de autónomos;975.0;A
2020;3690;515781;516752;Número de autónomos;1050.0;A
2020;3690;515781;516753;Número de autónomos;5500.0;A
2020;3690;515781;516754;Número de autónomos;4875.0;A
2020;3690;515781;515892;Número de autónomos;20200.0;A
2020;3690;515782;516728;Número de autónomos;2900.0;A
2020;3690;515782;516748;Número de autónomos;3700.0;A
2020;3690;515782;516749;Número de autónomos;3150.0;A
2020;3690;515782;516750;Número de autónomos;3100.0;A
2020;3690;515782;516751;Número de autónomos;1800.0;A
2020;3690;515782;516752;Número de autónomos;2350.0;A
2020;3690;515782;516753;Número de autónomos;6400.0;A
2020;3690;515782;516754;Número de autónomos;5775.0;A
2020;3690;515782;515892;Número de autónomos;29400.0;A
2020;3690;515778;516728;Número de autónomos;25375.0;A
2020;3690;515778;516748;Número de autónomos;24075.0;A
2020;3690;515778;516749;Número de autónomos;19525.0;A
2020;3690;515778;516750;Número de autónomos;25000.0;A
2020;3690;515778;516751;Número de autónomos;11275.0;A
2020;3690;515778;516752;Número de autónomos;15725.0;A
2020;3690;515778;516753;Número de autónomos;49100.0;A
2020;3690;515778;516754;Número de autónomos;44800.0;A
2020;3690;515778;515892;Número de autónomos;216450.0;A
2020;3691;515779;516728;Número de autónomos;47975.0;A
2020;3691;515779;516748;Número de autónomos;47300.0;A
2020;3691;515779;516749;Número de autónomos;36400.0;A
2020;3691;515779;516750;Número de autónomos;50000.0;A
2020;3691;515779;516751;Número de autónomos;21550.0;A
2020;3691;515779;516752;Número de autónomos;32200.0;A
2020;3691;515779;516753;Número de autónomos;90000.0;A
2020;3691;515779;516754;Número de autónomos;82650.0;A
2020;3691;515779;515892;Número de autónomos;410500.0;A
2020;3691;515780;516728;Número de autónomos;6075.0;A
2020;3691;515780;516748;Número de autónomos;7450.0;A
2020;3691;515780;516749;Número de autónomos;8200.0;A
2020;3691;515780;516750;Número de autónomos;9625.0;A
2020;3691;515780;516751;Número de autónomos;4325.0;A
2020;3691;515780;516752;Número de autónomos;4975.0;A
2020;3691;515780;516753;Número de autónomos;13300.0;A
2020;3691;515780;516754;Número de autónomos;11075.0;A
2020;3691;515780;515892;Número de autónomos;65675.0;A
2020;3691;515781;516728;Número de autónomos;7850.0;A
2020;3691;515781;516748;Número de autónomos;8275.0;A
