D_TEMPORAL_0;D_SEXO_0;D_NACIONALIDAD_0;D_AA_TERRITROIO_0;INDICATOR;OBS_VALUE;FREQ
2020;3689;4781;516749;Número de autónomos;37125.0;A
2020;3689;4781;516750;Número de autónomos;47450.0;A
2020;3689;4781;516751;Número de autónomos;22000.0;A
2020;3689;4781;516752;Número de autónomos;30075.0;A
2020;3689;4781;516753;Número de autónomos;85975.0;A
2020;3689;4781;516754;Número de autónomos;80475.0;A
2020;3689;4781;515892;Número de autónomos;393300.0;A
2020;3690;4334;516728;Número de autónomos;22475.0;A
2020;3690;4334;516748;Número de autónomos;22150.0;A
2020;3690;4334;516749;Número de autónomos;18950.0;A
2020;3690;4334;516750;Número de autónomos;22600.0;A
2020;3690;4334;516751;Número de autónomos;10300.0;A
2020;3690;4334;516752;Número de autónomos;15150.0;A
2020;3690;4334;516753;Número de autónomos;38000.0;A
2020;3690;4334;516754;Número de autónomos;41925.0;A
2020;3690;4334;515892;Número de autónomos;192875.0;A
2020;3690;4780;516728;Número de autónomos;2900.0;A
2020;3690;4780;516748;Número de autónomos;1925.0;A
2020;3690;4780;516749;Número de autónomos;575.0;A
2020;3690;4780;516750;Número de autónomos;2400.0;A
2020;3690;4780;516751;Número de autónomos;975.0;A
2020;3690;4780;516752;Número de autónomos;575.0;A
2020;3690;4780;516753;Número de autónomos;11100.0;A
2020;3690;4780;516754;Número de autónomos;2875.0;A
2020;3690;4780;515892;Número de autónomos;23575.0;A
2020;3690;4781;516728;Número de autónomos;25375.0;A
2020;3690;4781;516748;Número de autónomos;24075.0;A
2020;3690;4781;516749;Número de autónomos;19525.0;A
2020;3690;4781;516750;Número de autónomos;25000.0;A
2020;3690;4781;516751;Número de autónomos;11275.0;A
2020;3690;4781;516752;Número de autónomos;15725.0;A
2020;3690;4781;516753;Número de autónomos;49100.0;A
2020;3690;4781;516754;Número de autónomos;44800.0;A
2020;3690;4781;515892;Número de autónomos;216450.0;A
2020;3691;4334;516728;Número de autónomos;59500.0;A
2020;3691;4334;516748;Número de autónomos;65150.0;A
2020;3691;4334;516749;Número de autónomos;54925.0;A
2020;3691;4334;516750;Número de autónomos;66400.0;A
2020;3691;4334;516751;Número de autónomos;30800.0;A
2020;3691;4334;516752;Número de autónomos;44500.0;A
2020;3691;4334;516753;Número de autónomos;105750.0;A
2020;3691;4334;516754;Número de autónomos;118950.0;A
2020;3691;4334;515892;Número de autónomos;549750.0;A
2020;3691;4780;516728;Número de autónomos;7475.0;A
2020;3691;4780;516748;Número de autónomos;4850.0;A
2020;3691;4780;516749;Número de autónomos;1725.0;A
2020;3691;4780;516750;Número de autónomos;6050.0;A
2020;3691;4780;516751;Número de autónomos;2475.0;A
2020;3691;4780;516752;Número de autónomos;1300.0;A
2020;3691;4780;516753;Número de autónomos;29325.0;A
2020;3691;4780;516754;Número de autónomos;6325.0;A
2020;3691;4780;515892;Número de autónomos;60000.0;A
2020;3691;4781;516728;Número de autónomos;66975.0;A
2020;3691;4781;516748;Número de autónomos;70000.0;A
2020;3691;4781;516749;Número de autónomos;56650.0;A
2020;3691;4781;516750;Número de autónomos;72450.0;A
2020;3691;4781;516751;Número de autónomos;33275.0;A
2020;3691;4781;516752;Número de autónomos;45800.0;A
2020;3691;4781;516753;Número de autónomos;135075.0;A
2020;3691;4781;516754;Número de autónomos;125275.0;A
2020;3691;4781;515892;Número de autónomos;609750.0;A
