D_TEMPORAL_0;D_SEXO_0;D_AA_SITPREVULTEM_0;D_AA_TERRITROIO_0;INDICATOR;OBS_VALUE;FREQ
2019;3690;518712;516754;Número de autónomos;4400.0;A
2019;3690;518712;515892;Número de autónomos;25175.0;A
2019;3690;518713;516728;Número de autónomos;8650.0;A
2019;3690;518713;516748;Número de autónomos;9175.0;A
2019;3690;518713;516749;Número de autónomos;6800.0;A
2019;3690;518713;516750;Número de autónomos;8850.0;A
2019;3690;518713;516751;Número de autónomos;4300.0;A
2019;3690;518713;516752;Número de autónomos;5675.0;A
2019;3690;518713;516753;Número de autónomos;18700.0;A
2019;3690;518713;516754;Número de autónomos;16675.0;A
2019;3690;518713;515892;Número de autónomos;79375.0;A
2019;3690;518714;516728;Número de autónomos;2650.0;A
2019;3690;518714;516748;Número de autónomos;3125.0;A
2019;3690;518714;516749;Número de autónomos;2100.0;A
2019;3690;518714;516750;Número de autónomos;3125.0;A
2019;3690;518714;516751;Número de autónomos;1400.0;A
2019;3690;518714;516752;Número de autónomos;1750.0;A
2019;3690;518714;516753;Número de autónomos;6500.0;A
2019;3690;518714;516754;Número de autónomos;6175.0;A
2019;3690;518714;515892;Número de autónomos;27075.0;A
2019;3690;7196;516728;Número de autónomos;25125.0;A
2019;3690;7196;516748;Número de autónomos;24275.0;A
2019;3690;7196;516749;Número de autónomos;19700.0;A
2019;3690;7196;516750;Número de autónomos;25225.0;A
2019;3690;7196;516751;Número de autónomos;11125.0;A
2019;3690;7196;516752;Número de autónomos;15925.0;A
2019;3690;7196;516753;Número de autónomos;49875.0;A
2019;3690;7196;516754;Número de autónomos;44725.0;A
2019;3690;7196;515892;Número de autónomos;217600.0;A
2019;3691;515798;516728;Número de autónomos;33400.0;A
2019;3691;515798;516748;Número de autónomos;31150.0;A
2019;3691;515798;516749;Número de autónomos;27300.0;A
2019;3691;515798;516750;Número de autónomos;32075.0;A
2019;3691;515798;516751;Número de autónomos;14650.0;A
2019;3691;515798;516752;Número de autónomos;22725.0;A
2019;3691;515798;516753;Número de autónomos;53900.0;A
2019;3691;515798;516754;Número de autónomos;55525.0;A
2019;3691;515798;515892;Número de autónomos;272650.0;A
2019;3691;518710;516728;Número de autónomos;7600.0;A
2019;3691;518710;516748;Número de autónomos;10800.0;A
2019;3691;518710;516749;Número de autónomos;7600.0;A
2019;3691;518710;516750;Número de autónomos;10050.0;A
2019;3691;518710;516751;Número de autónomos;3925.0;A
2019;3691;518710;516752;Número de autónomos;6275.0;A
2019;3691;518710;516753;Número de autónomos;17350.0;A
2019;3691;518710;516754;Número de autónomos;18500.0;A
2019;3691;518710;515892;Número de autónomos;82850.0;A
2019;3691;515799;516728;Número de autónomos;25800.0;A
2019;3691;515799;516748;Número de autónomos;20350.0;A
2019;3691;515799;516749;Número de autónomos;19700.0;A
2019;3691;515799;516750;Número de autónomos;22025.0;A
2019;3691;515799;516751;Número de autónomos;10725.0;A
2019;3691;515799;516752;Número de autónomos;16450.0;A
2019;3691;515799;516753;Número de autónomos;36550.0;A
2019;3691;515799;516754;Número de autónomos;37025.0;A
2019;3691;515799;515892;Número de autónomos;189800.0;A
2019;3691;518711;516728;Número de autónomos;33025.0;A
2019;3691;518711;516748;Número de autónomos;39275.0;A
2019;3691;518711;516749;Número de autónomos;30700.0;A
2019;3691;518711;516750;Número de autónomos;40850.0;A
2019;3691;518711;516751;Número de autónomos;18450.0;A
2019;3691;518711;516752;Número de autónomos;23750.0;A
2019;3691;518711;516753;Número de autónomos;81675.0;A
2019;3691;518711;516754;Número de autónomos;70275.0;A
2019;3691;518711;515892;Número de autónomos;340425.0;A
2019;3691;518712;516728;Número de autónomos;6600.0;A
2019;3691;518712;516748;Número de autónomos;6675.0;A
2019;3691;518712;516749;Número de autónomos;6150.0;A
2019;3691;518712;516750;Número de autónomos;7575.0;A
