TIME_PERIOD,REF_AREA,D_TIPOMATRIMONIO_0,INDICATOR,OBS_VALUE,FREQ
2017,ES61,5664,DIV,17275.9301,A
2017,ES61,5668,DIV,160.68,A
2017,ES61,5666,DIV,84.466,A
2017,ES61,5667,DIV,76.214,A
2017,ES611,5669,DIV,1454.7143,A
2017,ES611,5664,DIV,1446.0577,A
2017,ES611,5668,DIV,8.6566,A
2017,ES611,5666,DIV,3.5677,A
2017,ES611,5667,DIV,5.0889,A
2017,ES612,5669,DIV,2406.3281,A
2017,ES612,5664,DIV,2368.7029,A
2017,ES612,5668,DIV,37.6252,A
2017,ES612,5666,DIV,12.8913,A
2017,ES612,5667,DIV,24.7339,A
2017,ES613,5669,DIV,1426.032,A
2017,ES613,5664,DIV,1405.2,A
2017,ES613,5668,DIV,20.832,A
2017,ES613,5666,DIV,6.6085,A
2017,ES613,5667,DIV,14.2235,A
2017,ES614,5669,DIV,1990.6668,A
2017,ES614,5664,DIV,1969.764,A
2017,ES614,5668,DIV,20.9028,A
2017,ES614,5666,DIV,16.8724,A
2017,ES614,5667,DIV,4.0304,A
2017,ES615,5669,DIV,1060.4795,A
2017,ES615,5664,DIV,1051.9832,A
2017,ES615,5668,DIV,8.4963,A
2017,ES615,5666,DIV,6.5155,A
2017,ES615,5667,DIV,1.9808,A
2017,ES616,5669,DIV,1127.8821,A
2017,ES616,5664,DIV,1127.8821,A
2017,ES617,5669,DIV,3652.1307,A
2017,ES617,5664,DIV,3614.9226,A
2017,ES617,5668,DIV,37.2081,A
2017,ES617,5666,DIV,21.7821,A
2017,ES617,5667,DIV,15.426,A
2017,ES618,5669,DIV,4318.3766,A
2017,ES618,5664,DIV,4291.4176,A
2017,ES618,5668,DIV,26.959,A
2017,ES618,5666,DIV,16.2285,A
2017,ES618,5667,DIV,10.7305,A
2016,ES61,5669,DIV,16968.2676,A
2016,ES61,5664,DIV,16778.8408,A
2016,ES61,5668,DIV,189.4268,A
2016,ES61,5666,DIV,118.7851,A
2016,ES61,5667,DIV,70.6417,A
2016,ES611,5669,DIV,1425.5804,A
2016,ES611,5664,DIV,1414.9309,A
2016,ES611,5668,DIV,10.6495,A
2016,ES611,5666,DIV,1.3299,A
2016,ES611,5667,DIV,9.3196,A
2016,ES612,5669,DIV,2275.825,A
2016,ES612,5664,DIV,2257.6356,A
2016,ES612,5668,DIV,18.1894,A
2016,ES612,5666,DIV,12.4596,A
2016,ES612,5667,DIV,5.7298,A
2016,ES613,5669,DIV,1473.292,A
2016,ES613,5664,DIV,1452.1577,A
2016,ES613,5668,DIV,21.1343,A
2016,ES613,5666,DIV,14.6098,A
2016,ES613,5667,DIV,6.5245,A
2016,ES614,5669,DIV,1937.4432,A
2016,ES614,5664,DIV,1913.6128,A
2016,ES614,5668,DIV,23.8304,A
2016,ES614,5666,DIV,16.3728,A
2016,ES614,5667,DIV,7.4576,A
