ESTADO_CIVIL;TIME_PERIOD;CERTIFIC_DISCAPAC;REF_AREA;INDICATOR;OBS_VALUE;FREQ;SEXO;EDAD;NIVEL_ESTUDIOS_TER;RELACTIVIDAD;SITUAC_PROFES;PERCEP_PRES_INVAL;SITUACION_DEPEND;COMP_HOG_ACTIVIDAD;AMBITO_ESTUD_HOG;PRESENC_DISCAPAC
DIV_DISREP;2020;5733;ES61;POP;33263.864949999996;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
DIV_DISREP;2019;5732;ES61;POP;308033.61764;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
DIV_DISREP;2019;5733;ES61;POP;38410.73251;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
DIV_DISREP;2018;5732;ES61;POP;319272.10516000004;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
DIV_DISREP;2018;5733;ES61;POP;42917.99658;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
DIV_DISREP;2017;5732;ES61;POP;318053.65258;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
DIV_DISREP;2017;5733;ES61;POP;41853.960530000004;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
DIV_DISREP;2016;5732;ES61;POP;308348.4326;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
DIV_DISREP;2016;5733;ES61;POP;39625.421709999995;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
DIV_DISREP;2015;5732;ES61;POP;307275.58444;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
DIV_DISREP;2015;5733;ES61;POP;33326.765020000006;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
