TEMPORAL;CNO11;SEXO;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2005;6728;M;ES61;PARADOS;24.6990175;M
2005;6728;F;ES61;PARADOS;38.483995;M
2005;6728;_T;ES61;PARADOS;63.1830125;M
2005;6744;M;ES61;PARADOS;51.824375;M
2005;6744;F;ES61;PARADOS;85.591015;M
2005;6744;_T;ES61;PARADOS;137.41539;M
2005;6727;M;ES61;PARADOS;219.52712;M
2005;6727;F;ES61;PARADOS;261.5957575;M
2005;6727;_T;ES61;PARADOS;481.1228775;M
2006;6728;M;ES61;PARADOS;17.6905975;M
2006;6728;F;ES61;PARADOS;36.3625125;M
2006;6728;_T;ES61;PARADOS;54.05311;M
2006;6744;M;ES61;PARADOS;45.03124;M
2006;6744;F;ES61;PARADOS;78.7991075;M
2006;6744;_T;ES61;PARADOS;123.8303475;M
2006;6727;M;ES61;PARADOS;200.1438975;M
2006;6727;F;ES61;PARADOS;253.212145;M
2006;6727;_T;ES61;PARADOS;453.3560425;M
2007;6728;M;ES61;PARADOS;17.3742625;M
2007;6728;F;ES61;PARADOS;33.0832025;M
2007;6728;_T;ES61;PARADOS;50.457465;M
2007;6744;M;ES61;PARADOS;44.3234925;M
2007;6744;F;ES61;PARADOS;84.98818;M
2007;6744;_T;ES61;PARADOS;129.3116725;M
2007;6727;M;ES61;PARADOS;210.2070625;M
2007;6727;F;ES61;PARADOS;263.3318575;M
2007;6727;_T;ES61;PARADOS;473.53892;M
2008;6728;M;ES61;PARADOS;22.112165;M
2008;6728;F;ES61;PARADOS;33.79063;M
2008;6728;_T;ES61;PARADOS;55.902795;M
2008;6744;M;ES61;PARADOS;62.5301325;M
2008;6744;F;ES61;PARADOS;106.5938525;M
2008;6744;_T;ES61;PARADOS;169.123985;M
2008;6727;M;ES61;PARADOS;342.31488;M
2008;6727;F;ES61;PARADOS;338.9612625;M
2008;6727;_T;ES61;PARADOS;681.2761425;M
2009;6728;M;ES61;PARADOS;26.728835;M
2009;6728;F;ES61;PARADOS;43.3236275;M
2009;6728;_T;ES61;PARADOS;70.0524625;M
2009;6744;M;ES61;PARADOS;133.3617075;M
2009;6744;F;ES61;PARADOS;155.602435;M
2009;6744;_T;ES61;PARADOS;288.9641425;M
2009;6727;M;ES61;PARADOS;540.8570225;M
2009;6727;F;ES61;PARADOS;449.326755;M
2009;6727;_T;ES61;PARADOS;990.1837775;M
2010;6038;M;ES61;PARADOS;3.4095375;M
2010;6038;F;ES61;PARADOS;1.13268;M
2010;6038;_T;ES61;PARADOS;4.5422175;M
2010;6203;M;ES61;PARADOS;10.503185;M
2010;6203;F;ES61;PARADOS;13.1778875;M
2010;6203;_T;ES61;PARADOS;23.6810725;M
2010;6333;M;ES61;PARADOS;19.554685;M
2010;6333;F;ES61;PARADOS;15.7814325;M
2010;6333;_T;ES61;PARADOS;35.3361175;M
2010;6375;M;ES61;PARADOS;8.6268925;M
2010;6375;F;ES61;PARADOS;17.82586;M
2010;6375;_T;ES61;PARADOS;26.4527525;M
2010;6463;M;ES61;PARADOS;43.5447875;M
2010;6463;F;ES61;PARADOS;76.0883775;M
2010;6463;_T;ES61;PARADOS;119.633165;M
2010;6489;M;ES61;PARADOS;6.7149075;M
2010;6489;F;ES61;PARADOS;2.1042575;M
2010;6489;_T;ES61;PARADOS;8.819165;M
2010;6601;M;ES61;PARADOS;119.7099725;M
2010;6601;F;ES61;PARADOS;7.4476775;M
2010;6601;_T;ES61;PARADOS;127.15765;M
2010;6667;M;ES61;PARADOS;26.4319;M
2010;6667;F;ES61;PARADOS;4.3726675;M
2010;6667;_T;ES61;PARADOS;30.8045675;M
2010;6726;M;ES61;PARADOS;118.10329;M
2010;6726;F;ES61;PARADOS;116.769325;M
2010;6726;_T;ES61;PARADOS;234.872615;M
2010;5989;M;ES61;PARADOS;0.104325;M
2010;5989;F;ES61;PARADOS;0.0689275;M
2010;5989;_T;ES61;PARADOS;0.1732525;M
2010;6728;M;ES61;PARADOS;33.99959;M
2010;6728;F;ES61;PARADOS;47.69799;M
2010;6728;_T;ES61;PARADOS;81.69758;M
2010;6744;M;ES61;PARADOS;209.351735;M
2010;6744;F;ES61;PARADOS;202.495355;M
2010;6744;_T;ES61;PARADOS;411.84709;M
2010;6727;M;ES61;PARADOS;600.0548075;M
2010;6727;F;ES61;PARADOS;504.9624375;M
2010;6727;_T;ES61;PARADOS;1105.017245;M
2011;6038;M;ES61;PARADOS;3.1936375;M
2011;6038;F;ES61;PARADOS;1.15651;M
2011;6038;_T;ES61;PARADOS;4.3501475;M
2011;6203;M;ES61;PARADOS;11.36204;M
2011;6203;F;ES61;PARADOS;13.401095;M
2011;6203;_T;ES61;PARADOS;24.763135;M
2011;6333;M;ES61;PARADOS;19.3854225;M
2011;6333;F;ES61;PARADOS;10.71873;M
2011;6333;_T;ES61;PARADOS;30.1041525;M
2011;6375;M;ES61;PARADOS;10.9387625;M
2011;6375;F;ES61;PARADOS;20.684405;M
2011;6375;_T;ES61;PARADOS;31.6231675;M
2011;6463;M;ES61;PARADOS;47.0171175;M
2011;6463;F;ES61;PARADOS;79.617105;M
2011;6463;_T;ES61;PARADOS;126.6342225;M
2011;6489;M;ES61;PARADOS;9.4985825;M
2011;6489;F;ES61;PARADOS;1.3887025;M
2011;6489;_T;ES61;PARADOS;10.887285;M
2011;6601;M;ES61;PARADOS;107.60721;M
2011;6601;F;ES61;PARADOS;11.358785;M
2011;6601;_T;ES61;PARADOS;118.965995;M
2011;6667;M;ES61;PARADOS;24.735005;M
2011;6667;F;ES61;PARADOS;3.799405;M
2011;6667;_T;ES61;PARADOS;28.53441;M
2011;6726;M;ES61;PARADOS;132.4465125;M
2011;6726;F;ES61;PARADOS;122.1838425;M
2011;6726;_T;ES61;PARADOS;254.630355;M
2011;5989;M;ES61;PARADOS;0.378265;M
2011;5989;_T;ES61;PARADOS;0.378265;M
2011;6728;M;ES61;PARADOS;39.787965;M
2011;6728;F;ES61;PARADOS;55.4937475;M
2011;6728;_T;ES61;PARADOS;95.2817125;M
2011;6744;M;ES61;PARADOS;238.23806;M
2011;6744;F;ES61;PARADOS;242.1177775;M
2011;6744;_T;ES61;PARADOS;480.3558375;M
2011;6727;M;ES61;PARADOS;644.58858;M
2011;6727;F;ES61;PARADOS;561.920105;M
2011;6727;_T;ES61;PARADOS;1206.508685;M
2012;6038;M;ES61;PARADOS;2.72577;M
2012;6038;F;ES61;PARADOS;0.8511325;M
2012;6038;_T;ES61;PARADOS;3.5769025;M
2012;6203;M;ES61;PARADOS;12.251005;M
2012;6203;F;ES61;PARADOS;16.4072425;M
2012;6203;_T;ES61;PARADOS;28.6582475;M
2012;6333;M;ES61;PARADOS;20.67076;M
2012;6333;F;ES61;PARADOS;13.13988;M
2012;6333;_T;ES61;PARADOS;33.81064;M
2012;6375;M;ES61;PARADOS;10.2499025;M
2012;6375;F;ES61;PARADOS;22.2861025;M
2012;6375;_T;ES61;PARADOS;32.536005;M
2012;6463;M;ES61;PARADOS;55.891805;M
2012;6463;F;ES61;PARADOS;92.48827;M
2012;6463;_T;ES61;PARADOS;148.380075;M
2012;6489;M;ES61;PARADOS;9.1893025;M
2012;6489;F;ES61;PARADOS;1.58801;M
2012;6489;_T;ES61;PARADOS;10.7773125;M
2012;6601;M;ES61;PARADOS;104.986595;M
2012;6601;F;ES61;PARADOS;9.7461975;M
2012;6601;_T;ES61;PARADOS;114.7327925;M
2012;6667;M;ES61;PARADOS;30.598565;M
2012;6667;F;ES61;PARADOS;2.9960425;M
2012;6667;_T;ES61;PARADOS;33.5946075;M
2012;6726;M;ES61;PARADOS;146.2094325;M
2012;6726;F;ES61;PARADOS;138.257965;M
2012;6726;_T;ES61;PARADOS;284.4673975;M
2012;5989;M;ES61;PARADOS;0.18129;M
2012;5989;_T;ES61;PARADOS;0.18129;M
2012;6728;M;ES61;PARADOS;51.1674725;M
2012;6728;F;ES61;PARADOS;69.1066275;M
2012;6728;_T;ES61;PARADOS;120.2741;M
2012;6744;M;ES61;PARADOS;299.94062;M
2012;6744;F;ES61;PARADOS;278.7354025;M
2012;6744;_T;ES61;PARADOS;578.6760225;M
2012;6727;M;ES61;PARADOS;744.06252;M
2012;6727;F;ES61;PARADOS;645.6028725;M
2012;6727;_T;ES61;PARADOS;1389.6653925;M
2013;6038;M;ES61;PARADOS;2.109355;M
2013;6038;F;ES61;PARADOS;0.933925;M
2013;6038;_T;ES61;PARADOS;3.04328;M
2013;6203;M;ES61;PARADOS;10.933765;M
2013;6203;F;ES61;PARADOS;19.3922525;M
2013;6203;_T;ES61;PARADOS;30.3260175;M
2013;6333;M;ES61;PARADOS;20.4957675;M
2013;6333;F;ES61;PARADOS;11.8101875;M
2013;6333;_T;ES61;PARADOS;32.305955;M
2013;6375;M;ES61;PARADOS;8.9815875;M
2013;6375;F;ES61;PARADOS;20.188975;M
2013;6375;_T;ES61;PARADOS;29.1705625;M
2013;6463;M;ES61;PARADOS;60.7151675;M
2013;6463;F;ES61;PARADOS;85.0292175;M
2013;6463;_T;ES61;PARADOS;145.744385;M
2013;6489;M;ES61;PARADOS;7.1582225;M
2013;6489;F;ES61;PARADOS;2.2066975;M
2013;6489;_T;ES61;PARADOS;9.36492;M
2013;6601;M;ES61;PARADOS;91.5831375;M
2013;6601;F;ES61;PARADOS;7.0765825;M
2013;6601;_T;ES61;PARADOS;98.65972;M
2013;6667;M;ES61;PARADOS;31.2240275;M
2013;6667;F;ES61;PARADOS;3.41429;M
2013;6667;_T;ES61;PARADOS;34.6383175;M
2013;6726;M;ES61;PARADOS;141.6958775;M
2013;6726;F;ES61;PARADOS;144.69557;M
2013;6726;_T;ES61;PARADOS;286.3914475;M
2013;5989;M;ES61;PARADOS;0.1490875;M
2013;5989;_T;ES61;PARADOS;0.1490875;M
2013;6728;M;ES61;PARADOS;50.9045375;M
2013;6728;F;ES61;PARADOS;74.2922;M
2013;6728;_T;ES61;PARADOS;125.1967375;M
2013;6744;M;ES61;PARADOS;341.9924225;M
2013;6744;F;ES61;PARADOS;323.577195;M
2013;6744;_T;ES61;PARADOS;665.5696175;M
2013;6727;M;ES61;PARADOS;767.942955;M
2013;6727;F;ES61;PARADOS;692.6170925;M
2013;6727;_T;ES61;PARADOS;1460.5600475;M
2014;6038;M;ES61;PARADOS;1.6608025;M
2014;6038;F;ES61;PARADOS;0.43004;M
2014;6038;_T;ES61;PARADOS;2.0908425;M
2014;6203;M;ES61;PARADOS;9.26325;M
