TEMPORAL;SEXO;EDAD;CNED2014;NIVEL;RELACTIVIDAD;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2014;M;Y15-29;61285;46593;48940;ES61;TASA_ACTI;7.4043913089410855;M
2014;M;Y15-29;61288;46593;48940;ES61;TASA_ACTI;60.13497904542141;M
2014;M;Y15-29;61291;46593;48940;ES61;TASA_ACTI;41.78066303147066;M
2014;M;Y15-29;61311;46593;48940;ES61;TASA_ACTI;35.39137316713402;M
2014;M;Y15-29;61332;46593;48940;ES61;TASA_ACTI;57.9936531869943;M
2014;M;Y15-29;61283;46593;48940;ES61;TASA_ACTI;42.85842010203908;M
2014;M;Y25-34;61285;46593;48940;ES61;TASA_ACTI;31.689834682986902;M
2014;M;Y25-34;61288;46593;48940;ES61;TASA_ACTI;92.14037593897334;M
2014;M;Y25-34;61291;46593;48940;ES61;TASA_ACTI;94.66037441410117;M
2014;M;Y25-34;61311;46593;48940;ES61;TASA_ACTI;87.88982700835378;M
2014;M;Y25-34;61332;46593;48940;ES61;TASA_ACTI;91.72215598258335;M
2014;M;Y25-34;61283;46593;48940;ES61;TASA_ACTI;91.4541364896442;M
2014;M;Y30-44;61285;46593;48940;ES61;TASA_ACTI;48.120511794530394;M
2014;M;Y30-44;61288;46593;48940;ES61;TASA_ACTI;87.58136425198653;M
2014;M;Y30-44;61291;46593;48940;ES61;TASA_ACTI;92.51100150509434;M
2014;M;Y30-44;61311;46593;48940;ES61;TASA_ACTI;95.06638039034239;M
2014;M;Y30-44;61332;46593;48940;ES61;TASA_ACTI;97.48390458904488;M
2014;M;Y30-44;61283;46593;48940;ES61;TASA_ACTI;93.4182089218032;M
2014;M;Y45-54;61285;46593;48940;ES61;TASA_ACTI;56.23090717520394;M
2014;M;Y45-54;61288;46593;48940;ES61;TASA_ACTI;82.55860064670529;M
2014;M;Y45-54;61291;46593;48940;ES61;TASA_ACTI;88.6634687007242;M
2014;M;Y45-54;61311;46593;48940;ES61;TASA_ACTI;91.33092015340543;M
2014;M;Y45-54;61332;46593;48940;ES61;TASA_ACTI;92.90972917466772;M
2014;M;Y45-54;61283;46593;48940;ES61;TASA_ACTI;88.56635100740357;M
2014;M;Y45-64;61285;46593;48940;ES61;TASA_ACTI;28.253686319392763;M
2014;M;Y45-64;61288;46593;48940;ES61;TASA_ACTI;54.74353551679927;M
2014;M;Y45-64;61291;46593;48940;ES61;TASA_ACTI;65.87652438718501;M
2014;M;Y45-64;61311;46593;48940;ES61;TASA_ACTI;64.7586898282602;M
2014;M;Y45-64;61332;46593;48940;ES61;TASA_ACTI;67.57142194229819;M
2014;M;Y45-64;61283;46593;48940;ES61;TASA_ACTI;61.190814421397356;M
2014;M;Y65-100;61288;46593;48940;ES61;TASA_ACTI;1.0512596021486629;M
2014;M;Y65-100;61291;46593;48940;ES61;TASA_ACTI;1.0802783149634723;M
2014;M;Y65-100;61311;46593;48940;ES61;TASA_ACTI;2.821846390696841;M
2014;M;Y65-100;61332;46593;48940;ES61;TASA_ACTI;9.624320363998999;M
2014;M;Y65-100;61283;46593;48940;ES61;TASA_ACTI;2.1969153726804267;M
2014;M;TOTAL;61285;46593;48940;ES61;TASA_ACTI;16.677292368550642;M
2014;M;TOTAL;61288;46593;48940;ES61;TASA_ACTI;41.49535963307969;M
2014;M;TOTAL;61291;46593;48940;ES61;TASA_ACTI;74.38826257457285;M
2014;M;TOTAL;61311;46593;48940;ES61;TASA_ACTI;71.97542475129335;M
2014;M;TOTAL;61332;46593;48940;ES61;TASA_ACTI;80.37206305689456;M
2014;M;TOTAL;61283;46593;48940;ES61;TASA_ACTI;65.85963747267624;M
2014;F;Y15-29;61285;46593;48940;ES61;TASA_ACTI;1.5999117186893594;M
2014;F;Y15-29;61288;46593;48940;ES61;TASA_ACTI;42.78390164555781;M
2014;F;Y15-29;61291;46593;48940;ES61;TASA_ACTI;36.23762404699197;M
2014;F;Y15-29;61311;46593;48940;ES61;TASA_ACTI;27.767378123978148;M
2014;F;Y15-29;61332;46593;48940;ES61;TASA_ACTI;61.99082746005475;M
2014;F;Y15-29;61283;46593;48940;ES61;TASA_ACTI;36.7074304980083;M
2014;F;Y25-34;61285;46593;48940;ES61;TASA_ACTI;30.15303196578245;M
2014;F;Y25-34;61288;46593;48940;ES61;TASA_ACTI;70.95196448223507;M
2014;F;Y25-34;61291;46593;48940;ES61;TASA_ACTI;83.87296561112545;M
2014;F;Y25-34;61311;46593;48940;ES61;TASA_ACTI;87.35897394499514;M
2014;F;Y25-34;61332;46593;48940;ES61;TASA_ACTI;88.93710550472082;M
2014;F;Y25-34;61283;46593;48940;ES61;TASA_ACTI;85.3532084790943;M
2014;F;Y30-44;61285;46593;48940;ES61;TASA_ACTI;55.89573166306256;M
2014;F;Y30-44;61288;46593;48940;ES61;TASA_ACTI;71.01321867153355;M
2014;F;Y30-44;61291;46593;48940;ES61;TASA_ACTI;76.68484613676125;M
2014;F;Y30-44;61311;46593;48940;ES61;TASA_ACTI;82.43679195712649;M
2014;F;Y30-44;61332;46593;48940;ES61;TASA_ACTI;88.39007005018786;M
2014;F;Y30-44;61283;46593;48940;ES61;TASA_ACTI;81.82677723058231;M
2014;F;Y45-54;61285;46593;48940;ES61;TASA_ACTI;51.29206880333677;M
2014;F;Y45-54;61288;46593;48940;ES61;TASA_ACTI;58.36095614159752;M
2014;F;Y45-54;61291;46593;48940;ES61;TASA_ACTI;63.98188653268143;M
2014;F;Y45-54;61311;46593;48940;ES61;TASA_ACTI;70.74779427233182;M
2014;F;Y45-54;61332;46593;48940;ES61;TASA_ACTI;85.39217910011226;M
2014;F;Y45-54;61283;46593;48940;ES61;TASA_ACTI;69.2467543193413;M
2014;F;Y45-64;61285;46593;48940;ES61;TASA_ACTI;22.299808771315575;M
2014;F;Y45-64;61288;46593;48940;ES61;TASA_ACTI;29.933879404304975;M
2014;F;Y45-64;61291;46593;48940;ES61;TASA_ACTI;37.990710433757435;M
2014;F;Y45-64;61311;46593;48940;ES61;TASA_ACTI;46.258688279686325;M
2014;F;Y45-64;61332;46593;48940;ES61;TASA_ACTI;65.6951713059462;M
2014;F;Y45-64;61283;46593;48940;ES61;TASA_ACTI;39.25109705934148;M
2014;F;Y65-100;61285;46593;48940;ES61;TASA_ACTI;0.06192049340373216;M
2014;F;Y65-100;61288;46593;48940;ES61;TASA_ACTI;0.9385700140285993;M
2014;F;Y65-100;61291;46593;48940;ES61;TASA_ACTI;1.3891455737001157;M
2014;F;Y65-100;61311;46593;48940;ES61;TASA_ACTI;1.2521645562207926;M
2014;F;Y65-100;61332;46593;48940;ES61;TASA_ACTI;5.6122629830187645;M
2014;F;Y65-100;61283;46593;48940;ES61;TASA_ACTI;1.094093002472168;M
2014;F;TOTAL;61285;46593;48940;ES61;TASA_ACTI;7.35342319378431;M
2014;F;TOTAL;61288;46593;48940;ES61;TASA_ACTI;22.604914305281508;M
2014;F;TOTAL;61291;46593;48940;ES61;TASA_ACTI;57.54351833349237;M
2014;F;TOTAL;61311;46593;48940;ES61;TASA_ACTI;61.27169246205351;M
2014;F;TOTAL;61332;46593;48940;ES61;TASA_ACTI;80.11402973250249;M
2014;F;TOTAL;61283;46593;48940;ES61;TASA_ACTI;52.07786683317852;M
2014;_T;Y15-29;61285;46593;48940;ES61;TASA_ACTI;3.859354126055139;M
2014;_T;Y15-29;61288;46593;48940;ES61;TASA_ACTI;53.12946425653456;M
2014;_T;Y15-29;61291;46593;48940;ES61;TASA_ACTI;39.264617548871264;M
