TEMPORAL;CNAE09;SEXO;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2010;7662;F;ES61;PARADOS;3.5462925;M
2010;7662;_T;ES61;PARADOS;127.6589875;M
2010;7715;M;ES61;PARADOS;137.28133;M
2010;7715;F;ES61;PARADOS;185.432905;M
2010;7715;_T;ES61;PARADOS;322.714235;M
2010;7716;M;ES61;PARADOS;57.4235825;M
2010;7716;F;ES61;PARADOS;76.685495;M
2010;7716;_T;ES61;PARADOS;134.1090775;M
2010;7889;M;ES61;PARADOS;15.25369;M
2010;7889;F;ES61;PARADOS;5.573805;M
2010;7889;_T;ES61;PARADOS;20.827495;M
2010;8032;M;ES61;PARADOS;19.57842;M
2010;8032;F;ES61;PARADOS;23.19927;M
2010;8032;_T;ES61;PARADOS;42.77769;M
2010;8256;M;ES61;PARADOS;32.732575;M
2010;8256;F;ES61;PARADOS;46.9693725;M
2010;8256;_T;ES61;PARADOS;79.7019475;M
2010;8346;M;ES61;PARADOS;12.2930625;M
2010;8346;F;ES61;PARADOS;33.0049625;M
2010;8346;_T;ES61;PARADOS;45.298025;M
2010;8456;M;ES61;PARADOS;209.351735;M
2010;8456;F;ES61;PARADOS;202.495355;M
2010;8456;_T;ES61;PARADOS;411.84709;M
2010;6950;M;ES61;PARADOS;33.99959;M
2010;6950;F;ES61;PARADOS;47.69799;M
2010;6950;_T;ES61;PARADOS;81.69758;M
2010;6949;M;ES61;PARADOS;600.0548075;M
2010;6949;F;ES61;PARADOS;504.9624375;M
2010;6949;_T;ES61;PARADOS;1105.017245;M
2011;6980;M;ES61;PARADOS;77.27338;M
2011;6980;F;ES61;PARADOS;64.7400625;M
2011;6980;_T;ES61;PARADOS;142.0134425;M
2011;7057;M;ES61;PARADOS;29.289655;M
2011;7057;F;ES61;PARADOS;8.912355;M
2011;7057;_T;ES61;PARADOS;38.20201;M
2011;7662;M;ES61;PARADOS;102.7097025;M
2011;7662;F;ES61;PARADOS;3.163025;M
2011;7662;_T;ES61;PARADOS;105.8727275;M
2011;7715;M;ES61;PARADOS;157.2898175;M
2011;7715;F;ES61;PARADOS;187.4931375;M
2011;7715;_T;ES61;PARADOS;344.782955;M
2011;7716;M;ES61;PARADOS;58.063175;M
2011;7716;F;ES61;PARADOS;75.41222;M
2011;7716;_T;ES61;PARADOS;133.475395;M
2011;7889;M;ES61;PARADOS;16.715555;M
2011;7889;F;ES61;PARADOS;6.5167675;M
2011;7889;_T;ES61;PARADOS;23.2323225;M
2011;8032;M;ES61;PARADOS;19.9671475;M
2011;8032;F;ES61;PARADOS;19.863935;M
2011;8032;_T;ES61;PARADOS;39.8310825;M
2011;8256;M;ES61;PARADOS;45.573335;M
2011;8256;F;ES61;PARADOS;54.54197;M
2011;8256;_T;ES61;PARADOS;100.115305;M
2011;8346;M;ES61;PARADOS;16.970605;M
2011;8346;F;ES61;PARADOS;31.158245;M
2011;8346;_T;ES61;PARADOS;48.12885;M
2011;8456;M;ES61;PARADOS;238.23806;M
2011;8456;F;ES61;PARADOS;242.1177775;M
2011;8456;_T;ES61;PARADOS;480.3558375;M
2011;6950;M;ES61;PARADOS;39.787965;M
2011;6950;F;ES61;PARADOS;55.4937475;M
2011;6950;_T;ES61;PARADOS;95.2817125;M
2011;6949;M;ES61;PARADOS;644.58858;M
2011;6949;F;ES61;PARADOS;561.920105;M
2011;6949;_T;ES61;PARADOS;1206.508685;M
2012;6980;M;ES61;PARADOS;91.533055;M
2012;6980;F;ES61;PARADOS;63.64785;M
2012;6980;_T;ES61;PARADOS;155.180905;M
2012;7057;M;ES61;PARADOS;36.39888;M
2012;7057;F;ES61;PARADOS;8.9241875;M
2012;7057;_T;ES61;PARADOS;45.3230675;M
2012;7662;M;ES61;PARADOS;95.947705;M
2012;7662;F;ES61;PARADOS;4.7267;M
2012;7662;_T;ES61;PARADOS;100.674405;M
2012;7715;M;ES61;PARADOS;169.0747875;M
2012;7715;F;ES61;PARADOS;220.462105;M
2012;7715;_T;ES61;PARADOS;389.5368925;M
2012;7716;M;ES61;PARADOS;66.96813;M
2012;7716;F;ES61;PARADOS;88.8397375;M
2012;7716;_T;ES61;PARADOS;155.8078675;M
2012;7889;M;ES61;PARADOS;17.9539875;M
2012;7889;F;ES61;PARADOS;7.5455375;M
2012;7889;_T;ES61;PARADOS;25.499525;M
2012;8032;M;ES61;PARADOS;22.8629975;M
2012;8032;F;ES61;PARADOS;25.3195775;M
2012;8032;_T;ES61;PARADOS;48.182575;M
2012;8256;M;ES61;PARADOS;42.2487625;M
2012;8256;F;ES61;PARADOS;63.3817675;M
2012;8256;_T;ES61;PARADOS;105.63053;M
2012;8346;M;ES61;PARADOS;19.04091;M
2012;8346;F;ES61;PARADOS;35.375485;M
2012;8346;_T;ES61;PARADOS;54.416395;M
2012;8456;M;ES61;PARADOS;299.94062;M
2012;8456;F;ES61;PARADOS;278.7354025;M
2012;8456;_T;ES61;PARADOS;578.6760225;M
2012;6950;M;ES61;PARADOS;51.1674725;M
2012;6950;F;ES61;PARADOS;69.1066275;M
2012;6950;_T;ES61;PARADOS;120.2741;M
2012;6949;M;ES61;PARADOS;744.06252;M
2012;6949;F;ES61;PARADOS;645.6028725;M
2012;6949;_T;ES61;PARADOS;1389.6653925;M
2013;6980;M;ES61;PARADOS;90.3077725;M
2013;6980;F;ES61;PARADOS;65.88936;M
2013;6980;_T;ES61;PARADOS;156.1971325;M
2013;7057;M;ES61;PARADOS;29.2047275;M
2013;7057;F;ES61;PARADOS;11.418785;M
2013;7057;_T;ES61;PARADOS;40.6235125;M
2013;7662;M;ES61;PARADOS;81.0711025;M
2013;7662;F;ES61;PARADOS;3.06417;M
2013;7662;_T;ES61;PARADOS;84.1352725;M
2013;7715;M;ES61;PARADOS;174.4623925;M
2013;7715;F;ES61;PARADOS;214.3753825;M
2013;7715;_T;ES61;PARADOS;388.837775;M
2013;7716;M;ES61;PARADOS;74.9869925;M
2013;7716;F;ES61;PARADOS;87.9083775;M
2013;7716;_T;ES61;PARADOS;162.89537;M
2013;7889;M;ES61;PARADOS;21.3050875;M
2013;7889;F;ES61;PARADOS;7.8016425;M
2013;7889;_T;ES61;PARADOS;29.10673;M
2013;8032;M;ES61;PARADOS;19.54594;M
2013;8032;F;ES61;PARADOS;23.30315;M
2013;8032;_T;ES61;PARADOS;42.84909;M
2013;8256;M;ES61;PARADOS;41.59756;M
2013;8256;F;ES61;PARADOS;58.61488;M
2013;8256;_T;ES61;PARADOS;100.21244;M
2013;8346;M;ES61;PARADOS;17.0268125;M
2013;8346;F;ES61;PARADOS;36.7473325;M
2013;8346;_T;ES61;PARADOS;53.774145;M
2013;8456;M;ES61;PARADOS;341.9924225;M
2013;8456;F;ES61;PARADOS;323.577195;M
2013;8456;_T;ES61;PARADOS;665.5696175;M
2013;6950;M;ES61;PARADOS;50.9045375;M
2013;6950;F;ES61;PARADOS;74.2922;M
2013;6950;_T;ES61;PARADOS;125.1967375;M
2013;6949;M;ES61;PARADOS;767.942955;M
2013;6949;F;ES61;PARADOS;692.6170925;M
2013;6949;_T;ES61;PARADOS;1460.5600475;M
2014;6980;M;ES61;PARADOS;93.3708075;M
2014;6980;F;ES61;PARADOS;62.7163625;M
2014;6980;_T;ES61;PARADOS;156.08717;M
2014;7057;M;ES61;PARADOS;22.74842;M
2014;7057;F;ES61;PARADOS;10.198625;M
2014;7057;_T;ES61;PARADOS;32.947045;M
2014;7662;M;ES61;PARADOS;63.839735;M
2014;7662;F;ES61;PARADOS;2.2171775;M
2014;7662;_T;ES61;PARADOS;66.0569125;M
2014;7715;M;ES61;PARADOS;161.888175;M
2014;7715;F;ES61;PARADOS;207.5835175;M
2014;7715;_T;ES61;PARADOS;369.4716925;M
2014;7716;M;ES61;PARADOS;72.399145;M
2014;7716;F;ES61;PARADOS;84.6939175;M
2014;7716;_T;ES61;PARADOS;157.0930625;M
2014;7889;M;ES61;PARADOS;15.6219625;M
2014;7889;F;ES61;PARADOS;6.0587675;M
2014;7889;_T;ES61;PARADOS;21.68073;M
2014;8032;M;ES61;PARADOS;18.39714;M
2014;8032;F;ES61;PARADOS;20.9835675;M
2014;8032;_T;ES61;PARADOS;39.3807075;M
2014;8256;M;ES61;PARADOS;39.6117675;M
2014;8256;F;ES61;PARADOS;59.6620775;M
2014;8256;_T;ES61;PARADOS;99.273845;M
2014;8346;M;ES61;PARADOS;15.85816;M
2014;8346;F;ES61;PARADOS;36.1851875;M
2014;8346;_T;ES61;PARADOS;52.0433475;M
2014;8456;M;ES61;PARADOS;325.75244;M
2014;8456;F;ES61;PARADOS;326.2766875;M
2014;8456;_T;ES61;PARADOS;652.0291275;M
2014;6950;M;ES61;PARADOS;56.9199175;M
2014;6950;F;ES61;PARADOS;71.1140625;M
2014;6950;_T;ES61;PARADOS;128.03398;M
2014;6949;M;ES61;PARADOS;724.519495;M
2014;6949;F;ES61;PARADOS;680.1064325;M
2014;6949;_T;ES61;PARADOS;1404.6259275;M
2015;6980;M;ES61;PARADOS;90.2821275;M
2015;6980;F;ES61;PARADOS;60.5704075;M
2015;6980;_T;ES61;PARADOS;150.852535;M
2015;7057;M;ES61;PARADOS;19.184245;M
2015;7057;F;ES61;PARADOS;7.09405;M
2015;7057;_T;ES61;PARADOS;26.278295;M
2015;7662;M;ES61;PARADOS;58.0277125;M
2015;7662;F;ES61;PARADOS;1.042955;M
2015;7662;_T;ES61;PARADOS;59.0706675;M
2015;7715;M;ES61;PARADOS;158.49401;M
2015;7715;F;ES61;PARADOS;201.01463;M
2015;7715;_T;ES61;PARADOS;359.50864;M
2015;7716;M;ES61;PARADOS;63.391015;M
2015;7716;F;ES61;PARADOS;73.135635;M
2015;7716;_T;ES61;PARADOS;136.52665;M
2015;7889;M;ES61;PARADOS;12.31717;M
2015;7889;F;ES61;PARADOS;4.331665;M
2015;7889;_T;ES61;PARADOS;16.648835;M
2015;8032;M;ES61;PARADOS;18.5385825;M
2015;8032;F;ES61;PARADOS;18.7504325;M
2015;8032;_T;ES61;PARADOS;37.289015;M
2015;8256;M;ES61;PARADOS;46.405375;M
2015;8256;F;ES61;PARADOS;70.803815;M
2015;8256;_T;ES61;PARADOS;117.20919;M
2015;8346;M;ES61;PARADOS;17.8418675;M
2015;8346;F;ES61;PARADOS;33.9930825;M
2015;8346;_T;ES61;PARADOS;51.83495;M
2015;8456;M;ES61;PARADOS;267.181205;M
2015;8456;F;ES61;PARADOS;292.52772;M
2015;8456;_T;ES61;PARADOS;559.708925;M
2015;6950;M;ES61;PARADOS;48.85454;M
2015;6950;F;ES61;PARADOS;70.6846625;M
2015;6950;_T;ES61;PARADOS;119.5392025;M
2015;6949;M;ES61;PARADOS;642.02384;M
2015;6949;F;ES61;PARADOS;632.934425;M
2015;6949;_T;ES61;PARADOS;1274.958265;M
2016;6980;M;ES61;PARADOS;90.85982;M
2016;6980;F;ES61;PARADOS;55.739095;M
2016;6980;_T;ES61;PARADOS;146.598915;M
2016;7057;M;ES61;PARADOS;21.2854425;M
2016;7057;F;ES61;PARADOS;8.81951;M
2016;7057;_T;ES61;PARADOS;30.1049525;M
2016;7662;M;ES61;PARADOS;53.35628;M
2016;7662;F;ES61;PARADOS;0.850245;M
2016;7662;_T;ES61;PARADOS;54.206525;M
2016;7715;M;ES61;PARADOS;145.66155;M
2016;7715;F;ES61;PARADOS;192.8729625;M
2016;7715;_T;ES61;PARADOS;338.5345125;M
2016;7716;M;ES61;PARADOS;62.0870675;M
2016;7716;F;ES61;PARADOS;77.0741475;M
2016;7716;_T;ES61;PARADOS;139.161215;M
2016;7889;M;ES61;PARADOS;11.655755;M
2016;7889;F;ES61;PARADOS;4.1344025;M
2016;7889;_T;ES61;PARADOS;15.7901575;M
2016;8032;M;ES61;PARADOS;16.4947925;M
2016;8032;F;ES61;PARADOS;20.83228;M
2016;8032;_T;ES61;PARADOS;37.3270725;M
2016;8256;M;ES61;PARADOS;40.4603625;M
2016;8256;F;ES61;PARADOS;62.6657875;M
2016;8256;_T;ES61;PARADOS;103.12615;M
2016;8346;M;ES61;PARADOS;14.9635725;M
2016;8346;F;ES61;PARADOS;28.166345;M
2016;8346;_T;ES61;PARADOS;43.1299175;M
2016;8456;M;ES61;PARADOS;216.554835;M
2016;8456;F;ES61;PARADOS;259.6919975;M
2016;8456;_T;ES61;PARADOS;476.2468325;M
2016;6950;M;ES61;PARADOS;43.942365;M
2016;6950;F;ES61;PARADOS;61.44577;M
2016;6950;_T;ES61;PARADOS;105.388135;M
2016;6949;M;ES61;PARADOS;571.6602925;M
2016;6949;F;ES61;PARADOS;579.41958;M
2016;6949;_T;ES61;PARADOS;1151.0798725;M
2017;6980;M;ES61;PARADOS;73.5705175;M
2017;6980;F;ES61;PARADOS;53.5555275;M
2017;6980;_T;ES61;PARADOS;127.126045;M
2017;7057;M;ES61;PARADOS;16.946465;M
2017;7057;F;ES61;PARADOS;9.09565;M
2017;7057;_T;ES61;PARADOS;26.042115;M
2017;7662;M;ES61;PARADOS;39.7022725;M
2017;7662;F;ES61;PARADOS;0.6962;M
2017;7662;_T;ES61;PARADOS;40.3984725;M
2017;7715;M;ES61;PARADOS;138.96417;M
2017;7715;F;ES61;PARADOS;171.86081;M
