TEMPORAL;SEXO;EDAD;RELACTIVIDAD;NIVEL;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2005;F;Y65-100;48939;46593;ES61;POP;0.198435;M
2005;F;Y65-100;48940;46593;ES61;POP;5.01071;M
2005;F;Y65-100;48946;46593;ES61;POP;629.394125;M
2005;F;TOTAL;48952;46593;ES61;POP;3240.40816;M
2005;F;TOTAL;48934;46593;ES61;POP;136.53108;M
2005;F;TOTAL;48936;46593;ES61;POP;1103.6779975;M
2005;F;TOTAL;48937;46593;ES61;POP;38.483995;M
2005;F;TOTAL;48939;46593;ES61;POP;261.5957575;M
2005;F;TOTAL;48940;46593;ES61;POP;1365.273755;M
2005;F;TOTAL;48946;46593;ES61;POP;1875.134405;M
2005;_T;Y15-29;48952;46593;ES61;POP;970.3350575;M
2005;_T;Y15-29;48934;46593;ES61;POP;47.6738975;M
2005;_T;Y15-29;48936;46593;ES61;POP;380.792355;M
2005;_T;Y15-29;48937;46593;ES61;POP;37.764145;M
2005;_T;Y15-29;48939;46593;ES61;POP;124.22856;M
2005;_T;Y15-29;48940;46593;ES61;POP;505.020915;M
2005;_T;Y15-29;48946;46593;ES61;POP;465.3141425;M
2005;_T;Y25-34;48952;46593;ES61;POP;1330.354205;M
2005;_T;Y25-34;48934;46593;ES61;POP;95.877165;M
2005;_T;Y25-34;48936;46593;ES61;POP;924.9200275;M
2005;_T;Y25-34;48937;46593;ES61;POP;17.291655;M
2005;_T;Y25-34;48939;46593;ES61;POP;147.297665;M
2005;_T;Y25-34;48940;46593;ES61;POP;1072.2176925;M
2005;_T;Y25-34;48946;46593;ES61;POP;258.1365125;M
2005;_T;Y30-44;48952;46593;ES61;POP;1253.8192975;M
2005;_T;Y30-44;48934;46593;ES61;POP;72.32705;M
2005;_T;Y30-44;48936;46593;ES61;POP;848.328265;M
2005;_T;Y30-44;48937;46593;ES61;POP;5.30675;M
2005;_T;Y30-44;48939;46593;ES61;POP;112.16385;M
2005;_T;Y30-44;48940;46593;ES61;POP;960.492115;M
2005;_T;Y30-44;48946;46593;ES61;POP;293.3271825;M
2005;_T;Y45-54;48952;46593;ES61;POP;955.699575;M
2005;_T;Y45-54;48934;46593;ES61;POP;37.22365;M
2005;_T;Y45-54;48936;46593;ES61;POP;566.8888975;M
2005;_T;Y45-54;48937;46593;ES61;POP;2.2105125;M
2005;_T;Y45-54;48939;46593;ES61;POP;66.1666025;M
2005;_T;Y45-54;48940;46593;ES61;POP;633.0555;M
2005;_T;Y45-54;48946;46593;ES61;POP;322.644075;M
2005;_T;Y45-64;48952;46593;ES61;POP;749.5786875;M
2005;_T;Y45-64;48934;46593;ES61;POP;11.5392125;M
2005;_T;Y45-64;48936;46593;ES61;POP;260.5486;M
2005;_T;Y45-64;48937;46593;ES61;POP;0.60995;M
2005;_T;Y45-64;48939;46593;ES61;POP;30.639565;M
2005;_T;Y45-64;48940;46593;ES61;POP;291.188165;M
2005;_T;Y45-64;48946;46593;ES61;POP;458.3905225;M
2005;_T;Y65-100;48952;46593;ES61;POP;1106.60386;M
2005;_T;Y65-100;48934;46593;ES61;POP;0.6050775;M
2005;_T;Y65-100;48936;46593;ES61;POP;17.63805;M
2005;_T;Y65-100;48939;46593;ES61;POP;0.626635;M
2005;_T;Y65-100;48940;46593;ES61;POP;18.264685;M
2005;_T;Y65-100;48946;46593;ES61;POP;1088.339175;M
2005;_T;TOTAL;48952;46593;ES61;POP;6366.3906825;M
2005;_T;TOTAL;48934;46593;ES61;POP;265.2460525;M
