TEMPORAL;TERRITORIO;SEXO;EPA_RELACTIVIDAD;EPA_NIVEL;INDICATOR;OBS_VALUE;FREQ
2005;ES616;M;48952;46593;POP;261.759775;M
2005;ES616;M;48940;46593;POP;167.213115;M
2005;ES616;M;48936;46593;POP;149.2317825;M
2005;ES616;M;48934;46593;POP;9.536455;M
2005;ES616;M;48939;46593;POP;17.9813325;M
2005;ES616;M;48937;46593;POP;1.713795;M
2005;ES616;M;48946;46593;POP;94.54666;M
2005;ES616;F;48952;46593;POP;270.4664425;M
2005;ES616;F;48940;46593;POP;95.130055;M
2005;ES616;F;48936;46593;POP;71.249615;M
2005;ES616;F;48934;46593;POP;6.97973;M
2005;ES616;F;48939;46593;POP;23.88044;M
2005;ES616;F;48937;46593;POP;3.93494;M
2005;ES616;F;48946;46593;POP;175.3363875;M
2005;ES616;_T;48952;46593;POP;532.2262175;M
2005;ES616;_T;48940;46593;POP;262.34317;M
2005;ES616;_T;48936;46593;POP;220.4813975;M
2005;ES616;_T;48934;46593;POP;16.516185;M
2005;ES616;_T;48939;46593;POP;41.8617725;M
2005;ES616;_T;48937;46593;POP;5.648735;M
2005;ES616;_T;48946;46593;POP;269.8830475;M
2005;ES617;M;48952;46593;POP;579.16695;M
2005;ES617;M;48940;46593;POP;387.2439225;M
2005;ES617;M;48936;46593;POP;352.372725;M
2005;ES617;M;48934;46593;POP;21.3370825;M
2005;ES617;M;48939;46593;POP;34.8711975;M
2005;ES617;M;48937;46593;POP;3.253885;M
2005;ES617;M;48946;46593;POP;191.9230275;M
2005;ES617;F;48952;46593;POP;602.7343275;M
2005;ES617;F;48940;46593;POP;268.73012;M
2005;ES617;F;48936;46593;POP;227.8390275;M
2005;ES617;F;48934;46593;POP;24.775505;M
2005;ES617;F;48939;46593;POP;40.8910925;M
2005;ES617;F;48937;46593;POP;4.6218375;M
2005;ES617;F;48946;46593;POP;334.0042075;M
2005;ES617;_T;48952;46593;POP;1181.9012775;M
2005;ES617;_T;48940;46593;POP;655.9740425;M
2005;ES617;_T;48936;46593;POP;580.2117525;M
2005;ES617;_T;48934;46593;POP;46.1125875;M
2005;ES617;_T;48939;46593;POP;75.76229;M
2005;ES617;_T;48937;46593;POP;7.8757225;M
2005;ES617;_T;48946;46593;POP;525.927235;M
2005;ES618;M;48952;46593;POP;710.9353825;M
2005;ES618;M;48940;46593;POP;495.479135;M
2005;ES618;M;48936;46593;POP;447.084335;M
2005;ES618;M;48934;46593;POP;35.097625;M
2005;ES618;M;48939;46593;POP;48.3948;M
2005;ES618;M;48937;46593;POP;6.130255;M
2005;ES618;M;48946;46593;POP;215.4562475;M
2005;ES618;F;48952;46593;POP;754.042835;M
2005;ES618;F;48940;46593;POP;334.548345;M
2005;ES618;F;48936;46593;POP;268.4788675;M
