TEMPORAL;CNO11;SEXO;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2012;6463;F;ES61;ASALARIADOS;316.51329;M
2012;6463;_T;ES61;ASALARIADOS;538.629785;M
2012;6489;M;ES61;ASALARIADOS;23.2643425;M
2012;6489;F;ES61;ASALARIADOS;5.1162625;M
2012;6489;_T;ES61;ASALARIADOS;28.380605;M
2012;6601;M;ES61;ASALARIADOS;185.3451125;M
2012;6601;F;ES61;ASALARIADOS;22.84946;M
2012;6601;_T;ES61;ASALARIADOS;208.1945725;M
2012;6667;M;ES61;ASALARIADOS;132.523575;M
2012;6667;F;ES61;ASALARIADOS;9.72831;M
2012;6667;_T;ES61;ASALARIADOS;142.251885;M
2012;6726;M;ES61;ASALARIADOS;179.0773525;M
2012;6726;F;ES61;ASALARIADOS;241.96191;M
2012;6726;_T;ES61;ASALARIADOS;421.0392625;M
2012;5989;M;ES61;ASALARIADOS;22.8303775;M
2012;5989;F;ES61;ASALARIADOS;3.013355;M
2012;5989;_T;ES61;ASALARIADOS;25.8437325;M
2012;6727;M;ES61;ASALARIADOS;1163.2919425;M
2012;6727;F;ES61;ASALARIADOS;1014.50686;M
2012;6727;_T;ES61;ASALARIADOS;2177.7988025;M
2013;6038;M;ES61;ASALARIADOS;32.614575;M
2013;6038;F;ES61;ASALARIADOS;13.049395;M
2013;6038;_T;ES61;ASALARIADOS;45.66397;M
2013;6203;M;ES61;ASALARIADOS;137.5196775;M
2013;6203;F;ES61;ASALARIADOS;182.229955;M
2013;6203;_T;ES61;ASALARIADOS;319.7496325;M
2013;6333;M;ES61;ASALARIADOS;117.1642325;M
2013;6333;F;ES61;ASALARIADOS;79.0347225;M
2013;6333;_T;ES61;ASALARIADOS;196.198955;M
2013;6375;M;ES61;ASALARIADOS;78.8328175;M
2013;6375;F;ES61;ASALARIADOS;131.3184575;M
2013;6375;_T;ES61;ASALARIADOS;210.151275;M
2013;6463;M;ES61;ASALARIADOS;222.23423;M
2013;6463;F;ES61;ASALARIADOS;295.1182675;M
2013;6463;_T;ES61;ASALARIADOS;517.3524975;M
2013;6489;M;ES61;ASALARIADOS;27.42366;M
2013;6489;F;ES61;ASALARIADOS;2.5690375;M
2013;6489;_T;ES61;ASALARIADOS;29.9926975;M
2013;6601;M;ES61;ASALARIADOS;175.7552675;M
2013;6601;F;ES61;ASALARIADOS;19.97797;M
2013;6601;_T;ES61;ASALARIADOS;195.7332375;M
2013;6667;M;ES61;ASALARIADOS;125.292675;M
2013;6667;F;ES61;ASALARIADOS;9.981325;M
2013;6667;_T;ES61;ASALARIADOS;135.274;M
2013;6726;M;ES61;ASALARIADOS;170.7156625;M
2013;6726;F;ES61;ASALARIADOS;242.342965;M
2013;6726;_T;ES61;ASALARIADOS;413.0586275;M
2013;5989;M;ES61;ASALARIADOS;19.0481025;M
2013;5989;F;ES61;ASALARIADOS;1.7712;M
2013;5989;_T;ES61;ASALARIADOS;20.8193025;M
2013;6727;M;ES61;ASALARIADOS;1106.6009;M
2013;6727;F;ES61;ASALARIADOS;977.393295;M
2013;6727;_T;ES61;ASALARIADOS;2083.994195;M
2014;6038;M;ES61;ASALARIADOS;28.7687975;M
2014;6038;F;ES61;ASALARIADOS;9.86432;M
2014;6038;_T;ES61;ASALARIADOS;38.6331175;M
