TEMPORAL;SEXO;EDAD;CLASEINACTIV;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2005;_T;Y15-29;47517;ES61;INACTIVOS;42.3995075;M
2005;_T;Y15-29;47513;ES61;INACTIVOS;5.784225;M
2005;_T;Y15-29;47514;ES61;INACTIVOS;2.7343425;M
2005;_T;Y15-29;47520;ES61;INACTIVOS;17.1753475;M
2005;_T;Y15-29;47522;ES61;INACTIVOS;7.859765;M
2005;_T;Y15-29;47523;ES61;INACTIVOS;465.3141425;M
2005;_T;Y30-44;47511;ES61;INACTIVOS;66.0982325;M
2005;_T;Y30-44;47512;ES61;INACTIVOS;5.445105;M
2005;_T;Y30-44;47517;ES61;INACTIVOS;369.477775;M
2005;_T;Y30-44;47513;ES61;INACTIVOS;39.06741;M
2005;_T;Y30-44;47514;ES61;INACTIVOS;25.0878175;M
2005;_T;Y30-44;47520;ES61;INACTIVOS;28.927215;M
2005;_T;Y30-44;47522;ES61;INACTIVOS;17.36014;M
2005;_T;Y30-44;47523;ES61;INACTIVOS;551.463695;M
2005;_T;Y45-64;47511;ES61;INACTIVOS;11.566915;M
2005;_T;Y45-64;47512;ES61;INACTIVOS;141.730785;M
2005;_T;Y45-64;47517;ES61;INACTIVOS;414.1479425;M
2005;_T;Y45-64;47513;ES61;INACTIVOS;95.0312925;M
2005;_T;Y45-64;47514;ES61;INACTIVOS;84.981465;M
2005;_T;Y45-64;47520;ES61;INACTIVOS;22.98318;M
2005;_T;Y45-64;47522;ES61;INACTIVOS;10.5930175;M
2005;_T;Y45-64;47523;ES61;INACTIVOS;781.0345975;M
2005;_T;Y65-100;47511;ES61;INACTIVOS;5.449685;M
2005;_T;Y65-100;47512;ES61;INACTIVOS;611.6192825;M
2005;_T;Y65-100;47517;ES61;INACTIVOS;162.684885;M
2005;_T;Y65-100;47513;ES61;INACTIVOS;69.477655;M
2005;_T;Y65-100;47514;ES61;INACTIVOS;229.6163175;M
2005;_T;Y65-100;47520;ES61;INACTIVOS;8.7034475;M
2005;_T;Y65-100;47522;ES61;INACTIVOS;0.7879025;M
2005;_T;Y65-100;47523;ES61;INACTIVOS;1088.339175;M
2005;_T;TOTAL;47511;ES61;INACTIVOS;472.4132275;M
2005;_T;TOTAL;47512;ES61;INACTIVOS;758.8577325;M
2005;_T;TOTAL;47517;ES61;INACTIVOS;988.71011;M
2005;_T;TOTAL;47513;ES61;INACTIVOS;209.3605825;M
2005;_T;TOTAL;47514;ES61;INACTIVOS;342.4199425;M
2005;_T;TOTAL;47520;ES61;INACTIVOS;77.78919;M
2005;_T;TOTAL;47522;ES61;INACTIVOS;36.600825;M
2005;_T;TOTAL;47523;ES61;INACTIVOS;2886.15161;M
2006;M;Y15-29;47511;ES61;INACTIVOS;176.495355;M
2006;M;Y15-29;47512;ES61;INACTIVOS;0.1373075;M
2006;M;Y15-29;47517;ES61;INACTIVOS;4.27331;M
2006;M;Y15-29;47513;ES61;INACTIVOS;4.05234;M
2006;M;Y15-29;47514;ES61;INACTIVOS;1.7655975;M
2006;M;Y15-29;47520;ES61;INACTIVOS;13.4906075;M
2006;M;Y15-29;47522;ES61;INACTIVOS;4.06299;M
2006;M;Y15-29;47523;ES61;INACTIVOS;204.2775075;M
2006;M;Y30-44;47511;ES61;INACTIVOS;29.4510375;M
2006;M;Y30-44;47512;ES61;INACTIVOS;2.43743;M
2006;M;Y30-44;47517;ES61;INACTIVOS;19.5993825;M
2006;M;Y30-44;47513;ES61;INACTIVOS;27.45198;M
2006;M;Y30-44;47514;ES61;INACTIVOS;10.1337075;M
2006;M;Y30-44;47520;ES61;INACTIVOS;20.015705;M
2006;M;Y30-44;47522;ES61;INACTIVOS;7.46093;M
2006;M;Y30-44;47523;ES61;INACTIVOS;116.5501725;M
2006;M;Y45-64;47511;ES61;INACTIVOS;1.2906925;M
2006;M;Y45-64;47512;ES61;INACTIVOS;91.5842975;M
2006;M;Y45-64;47517;ES61;INACTIVOS;26.6219425;M
2006;M;Y45-64;47513;ES61;INACTIVOS;60.086715;M
2006;M;Y45-64;47514;ES61;INACTIVOS;24.3380275;M
2006;M;Y45-64;47520;ES61;INACTIVOS;19.8401675;M
2006;M;Y45-64;47522;ES61;INACTIVOS;6.4591225;M
2006;M;Y45-64;47523;ES61;INACTIVOS;230.220965;M
2006;M;Y65-100;47511;ES61;INACTIVOS;0.57165;M
2006;M;Y65-100;47512;ES61;INACTIVOS;450.1749225;M
2006;M;Y65-100;47517;ES61;INACTIVOS;2.239895;M
2006;M;Y65-100;47513;ES61;INACTIVOS;7.743395;M
2006;M;Y65-100;47514;ES61;INACTIVOS;8.31352;M
2006;M;Y65-100;47520;ES61;INACTIVOS;1.4630125;M
2006;M;Y65-100;47522;ES61;INACTIVOS;0.1111425;M
2006;M;Y65-100;47523;ES61;INACTIVOS;470.6175375;M
2006;M;TOTAL;47511;ES61;INACTIVOS;207.808735;M
2006;M;TOTAL;47512;ES61;INACTIVOS;544.3339575;M
2006;M;TOTAL;47517;ES61;INACTIVOS;52.73453;M
2006;M;TOTAL;47513;ES61;INACTIVOS;99.33443;M
