TEMPORAL;SEXO;NACIONALIDAD;EDAD;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2007;M;46925;Y65-100;ES61;ACTIVOS;12.2930525;M
2007;M;46925;TOTAL;ES61;ACTIVOS;2002.8929175;M
2007;M;46943;Y15-29;ES61;ACTIVOS;65.76891;M
2007;M;46943;Y30-44;ES61;ACTIVOS;102.83063;M
2007;M;46943;Y45-64;ES61;ACTIVOS;28.2397375;M
2007;M;46943;Y65-100;ES61;ACTIVOS;0.2290225;M
2007;M;46943;TOTAL;ES61;ACTIVOS;197.0683;M
2007;M;46944;Y15-29;ES61;ACTIVOS;578.104515;M
2007;M;46944;Y30-44;ES61;ACTIVOS;936.709605;M
2007;M;46944;Y45-64;ES61;ACTIVOS;672.6250225;M
2007;M;46944;Y65-100;ES61;ACTIVOS;12.522075;M
2007;M;46944;TOTAL;ES61;ACTIVOS;2199.9612175;M
2007;F;46925;Y15-29;ES61;ACTIVOS;404.709905;M
2007;F;46925;Y30-44;ES61;ACTIVOS;583.61629;M
2007;F;46925;Y45-64;ES61;ACTIVOS;356.1339475;M
2007;F;46925;Y65-100;ES61;ACTIVOS;3.870205;M
2007;F;46925;TOTAL;ES61;ACTIVOS;1348.3303475;M
2007;F;46943;Y15-29;ES61;ACTIVOS;55.7325275;M
2007;F;46943;Y30-44;ES61;ACTIVOS;78.87479;M
2007;F;46943;Y45-64;ES61;ACTIVOS;28.3067225;M
2007;F;46943;Y65-100;ES61;ACTIVOS;0.95491;M
2007;F;46943;TOTAL;ES61;ACTIVOS;163.86895;M
2007;F;46944;Y15-29;ES61;ACTIVOS;460.4424325;M
2007;F;46944;Y30-44;ES61;ACTIVOS;662.49108;M
2007;F;46944;Y45-64;ES61;ACTIVOS;384.44067;M
2007;F;46944;Y65-100;ES61;ACTIVOS;4.825115;M
2007;F;46944;TOTAL;ES61;ACTIVOS;1512.1992975;M
2007;_T;46925;Y15-29;ES61;ACTIVOS;917.04551;M
2007;_T;46925;Y30-44;ES61;ACTIVOS;1417.495265;M
2007;_T;46925;Y45-64;ES61;ACTIVOS;1000.5192325;M
2007;_T;46925;Y65-100;ES61;ACTIVOS;16.1632575;M
2007;_T;46925;TOTAL;ES61;ACTIVOS;3351.223265;M
2007;_T;46943;Y15-29;ES61;ACTIVOS;121.5014375;M
2007;_T;46943;Y30-44;ES61;ACTIVOS;181.70542;M
2007;_T;46943;Y45-64;ES61;ACTIVOS;56.54646;M
2007;_T;46943;Y65-100;ES61;ACTIVOS;1.1839325;M
2007;_T;46943;TOTAL;ES61;ACTIVOS;360.93725;M
2007;_T;46944;Y15-29;ES61;ACTIVOS;1038.5469475;M
2007;_T;46944;Y30-44;ES61;ACTIVOS;1599.200685;M
2007;_T;46944;Y45-64;ES61;ACTIVOS;1057.0656925;M
2007;_T;46944;Y65-100;ES61;ACTIVOS;17.34719;M
2007;_T;46944;TOTAL;ES61;ACTIVOS;3712.160515;M
2008;M;46925;Y15-29;ES61;ACTIVOS;500.2122825;M
2008;M;46925;Y30-44;ES61;ACTIVOS;852.85057;M
