ID;NAME;DESCRIPTION;PARENTCODE;ORDER
21;() España/CCAA/Provincias España/Municipios de Andalucía;España/CCAA/Provincias España/Municipios de Andalucía;;0
2240;(108) España;España;;1
3143;(C01) Andalucía;Andalucía;2240;2
3160;(C02) Aragón;Aragón;2240;3
3165;(C03) Principado de Asturias;Principado de Asturias;2240;4
3170;(C04) Islas Baleares/Illes Balears;Islas Baleares/Illes Balears;2240;5
3179;(C05) Canarias;Canarias;2240;6
3184;(C06) Cantabria;Cantabria;2240;7
3205;(C07) Castilla-La Mancha;Castilla-La Mancha;2240;8
3242;(C08) Castilla y León;Castilla y León;2240;9
3259;(C09) Cataluña/Catalunya;Cataluña/Catalunya;2240;10
3272;(C10) Comunidad Valenciana/Comunitat Valenciana;Comunidad Valenciana/Comunitat Valenciana;2240;11
3281;(C11) Extremadura;Extremadura;2240;12
3298;(C12) Galicia;Galicia;2240;13
3303;(C13) Comunidad de Madrid;Comunidad de Madrid;2240;14
3308;(C14) Región de Murcia;Región de Murcia;2240;15
3313;(C15) Comunidad Foral de Navarra;Comunidad Foral de Navarra;2240;16
3326;(C16) País Vasco/Euskadi;País Vasco/Euskadi;2240;17
3331;(C17) La Rioja;La Rioja;2240;18
3340;(C18) Ciudades Autónomas de Ceuta y Melilla;Ciudades Autónomas de Ceuta y Melilla;2240;19
3341;(RE00) Resto de España;Resto de España;2240;20
2352;(04) Almería;Almería;3143;21
2402;(11) Cádiz;Cádiz;3143;22
2482;(14) Córdoba;Córdoba;3143;23
2713;(18) Granada;Granada;3143;24
2797;(21) Huelva;Huelva;3143;25
2911;(23) Jaén;Jaén;3143;26
3023;(29) Málaga;Málaga;3143;27
3142;(41) Sevilla;Sevilla;3143;28
3144;(C01NC) Provincia sin especificar;Provincia sin especificar;3143;29
2241;(04001) Abla;Abla;2352;75
2242;(04002) Abrucena;Abrucena;2352;76
2243;(04003) Adra;Adra;2352;77
2244;(04004) Albanchez;Albanchez;2352;78
2245;(04005) Alboloduy;Alboloduy;2352;79
2246;(04006) Albox;Albox;2352;80
2247;(04007) Alcolea;Alcolea;2352;81
2248;(04008) Alcóntar;Alcóntar;2352;82
2249;(04009) Alcudia de Monteagud;Alcudia de Monteagud;2352;83
2250;(04010) Alhabia;Alhabia;2352;84
2251;(04011) Alhama de Almería;Alhama de Almería;2352;85
2252;(04012) Alicún;Alicún;2352;86
2253;(04013) Almería (capital);Almería (capital);2352;87
2254;(04014) Almócita;Almócita;2352;88
2255;(04015) Alsodux;Alsodux;2352;89
2256;(04016) Antas;Antas;2352;90
2257;(04017) Arboleas;Arboleas;2352;91
2258;(04018) Armuña de Almanzora;Armuña de Almanzora;2352;92
2259;(04019) Bacares;Bacares;2352;93
9563;(04904) Balanegra;Balanegra;2352;94
2260;(04020) Bayárcal;Bayárcal;2352;95
2261;(04021) Bayarque;Bayarque;2352;96
2262;(04022) Bédar;Bédar;2352;97
2263;(04023) Beires;Beires;2352;98
2264;(04024) Benahadux;Benahadux;2352;99
2265;(04025) Benínar;Benínar;2352;100
