,id,label,des,parentId
0,21,() España/CCAA/Provincias España/Municipios de Andalucía,España/CCAA/Provincias España/Municipios de Andalucía,null
1,2240,(108) España,España,null
2,3143,(C01) Andalucía,Andalucía,2240
3,3160,(C02) Aragón,Aragón,2240
4,3165,(C03) Principado de Asturias,Principado de Asturias,2240
5,3170,(C04) Islas Baleares/Illes Balears,Islas Baleares/Illes Balears,2240
6,3179,(C05) Canarias,Canarias,2240
7,3184,(C06) Cantabria,Cantabria,2240
8,3205,(C07) Castilla-La Mancha,Castilla-La Mancha,2240
9,3242,(C08) Castilla y León,Castilla y León,2240
10,3259,(C09) Cataluña/Catalunya,Cataluña/Catalunya,2240
11,3272,(C10) Comunidad Valenciana/Comunitat Valenciana,Comunidad Valenciana/Comunitat Valenciana,2240
12,3281,(C11) Extremadura,Extremadura,2240
13,3298,(C12) Galicia,Galicia,2240
14,3303,(C13) Comunidad de Madrid,Comunidad de Madrid,2240
15,3308,(C14) Región de Murcia,Región de Murcia,2240
16,3313,(C15) Comunidad Foral de Navarra,Comunidad Foral de Navarra,2240
17,3326,(C16) País Vasco/Euskadi,País Vasco/Euskadi,2240
18,3331,(C17) La Rioja,La Rioja,2240
19,3340,(C18) Ciudades Autónomas de Ceuta y Melilla,Ciudades Autónomas de Ceuta y Melilla,2240
20,3341,(RE00) Resto de España,Resto de España,2240
21,2352,(04) Almería,Almería,3143
22,2402,(11) Cádiz,Cádiz,3143
23,2482,(14) Córdoba,Córdoba,3143
24,2713,(18) Granada,Granada,3143
25,2797,(21) Huelva,Huelva,3143
26,2911,(23) Jaén,Jaén,3143
27,3023,(29) Málaga,Málaga,3143
28,3142,(41) Sevilla,Sevilla,3143
29,3144,(C01NC) Provincia sin especificar,Provincia sin especificar,3143
30,2241,(04001) Abla,Abla,2352
31,2242,(04002) Abrucena,Abrucena,2352
32,2243,(04003) Adra,Adra,2352
33,2244,(04004) Albanchez,Albanchez,2352
34,2245,(04005) Alboloduy,Alboloduy,2352
35,2246,(04006) Albox,Albox,2352
36,2247,(04007) Alcolea,Alcolea,2352
37,2248,(04008) Alcóntar,Alcóntar,2352
38,2249,(04009) Alcudia de Monteagud,Alcudia de Monteagud,2352
39,2250,(04010) Alhabia,Alhabia,2352
40,2251,(04011) Alhama de Almería,Alhama de Almería,2352
41,2252,(04012) Alicún,Alicún,2352
42,2253,(04013) Almería (capital),Almería (capital),2352
43,2254,(04014) Almócita,Almócita,2352
44,2255,(04015) Alsodux,Alsodux,2352
45,2256,(04016) Antas,Antas,2352
46,2257,(04017) Arboleas,Arboleas,2352
47,2258,(04018) Armuña de Almanzora,Armuña de Almanzora,2352
48,2259,(04019) Bacares,Bacares,2352
49,9563,(04904) Balanegra,Balanegra,2352
50,2260,(04020) Bayárcal,Bayárcal,2352
51,2261,(04021) Bayarque,Bayarque,2352
52,2262,(04022) Bédar,Bédar,2352
53,2263,(04023) Beires,Beires,2352
54,2264,(04024) Benahadux,Benahadux,2352
55,2265,(04025) Benínar,Benínar,2352
56,2266,(04026) Benitagla,Benitagla,2352
57,2267,(04027) Benizalón,Benizalón,2352
58,2268,(04028) Bentarique,Bentarique,2352
59,2269,(04029) Berja,Berja,2352
60,2270,(04030) Canjáyar,Canjáyar,2352
61,2271,(04031) Cantoria,Cantoria,2352
62,2272,(04032) Carboneras,Carboneras,2352
63,2273,(04033) Castro de Filabres,Castro de Filabres,2352
64,2274,(04034) Cóbdar,Cóbdar,2352
65,2276,(04035) Cuevas de Vera,Cuevas de Vera,2352
66,2275,(04035) Cuevas del Almanzora,Cuevas del Almanzora,2352
67,2277,(04036) Chercos,Chercos,2352
68,2278,(04037) Chirivel,Chirivel,2352
69,2279,(04038) Dalías,Dalías,2352
70,2281,(04040) Doña María Ocaña,Doña María Ocaña,2352
71,2282,(04041) Enix,Enix,2352
72,2283,(04042) Escúllar,Escúllar,2352
73,2284,(04043) Felix,Felix,2352
74,2285,(04044) Fines,Fines,2352
75,2286,(04045) Fiñana,Fiñana,2352
76,2287,(04046) Fondón,Fondón,2352
77,2288,(04047) Gádor,Gádor,2352
78,2289,(04048) Gallardos (Los),Gallardos (Los),2352
79,2290,(04049) Garrucha,Garrucha,2352
80,2291,(04050) Gérgal,Gérgal,2352
81,2292,(04051) Huécija,Huécija,2352
82,2293,(04052) Huércal de Almería,Huércal de Almería,2352
83,2294,(04053) Huércal-Overa,Huércal-Overa,2352
84,2295,(04054) Íllar,Íllar,2352
85,2296,(04055) Instinción,Instinción,2352
86,2297,(04056) Laroya,Laroya,2352
87,2298,(04057) Láujar de Andarax,Láujar de Andarax,2352
88,2299,(04058) Líjar,Líjar,2352
89,2300,(04059) Lubrín,Lubrín,2352
90,2301,(04060) Lucainena de las Torres,Lucainena de las Torres,2352
91,2302,(04061) Lúcar,Lúcar,2352
92,2303,(04062) Macael,Macael,2352
93,2304,(04063) María,María,2352
94,2280,(04039) Darrical,Darrical,2352
95,2305,(04064) Mojácar,Mojácar,2352
96,2306,(04065) Nacimiento,Nacimiento,2352
97,2307,(04066) Níjar,Níjar,2352
98,2308,(04067) Ohanes,Ohanes,2352
99,2309,(04068) Olula de Castro,Olula de Castro,2352
100,2310,(04069) Olula del Río,Olula del Río,2352
101,2311,(04070) Oria,Oria,2352
102,2312,(04071) Padules,Padules,2352
103,2313,(04072) Partaloa,Partaloa,2352
104,2314,(04073) Paterna del Río,Paterna del Río,2352
105,2315,(04074) Pechina,Pechina,2352
106,2316,(04075) Pulpí,Pulpí,2352
107,2317,(04076) Purchena,Purchena,2352
108,2318,(04077) Rágol,Rágol,2352
109,2319,(04078) Rioja,Rioja,2352
110,2320,(04079) Roquetas de Mar,Roquetas de Mar,2352
111,2321,(04080) Santa Cruz de Marchena,Santa Cruz de Marchena,2352
112,2322,(04081) Santa Fe de Mondújar,Santa Fe de Mondújar,2352
113,2323,(04082) Senés,Senés,2352
114,2324,(04083) Serón,Serón,2352
